frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.03271629006,17396.43482,383.6719209,16.56500238,-16.56500238
1,2048,4096,2048,0.0464399093,0.09287981859,0.08118607918,59713.00932,49371.25057,0.8259483057,-0.8259483057
2,4096,6144,2048,0.09287981859,0.1393197279,0.1609048087,268505.5858,168994.9263,2.010796589,-2.010796589
3,6144,8192,2048,0.1393197279,0.1857596372,0.1997065008,526759.5068,244865.4962,3.326847889,-3.326847889
4,8192,10240,2048,0.1857596372,0.2321995465,0.2127569778,597889.4107,316267.4517,2.765663623,-2.765663623
5,10240,12288,2048,0.2321995465,0.2786394558,0.2280704932,305213.46,702397.6676,-3.619793786,3.619793786
6,12288,14336,2048,0.2786394558,0.3250793651,0.2063285407,311178.6552,357297.0227,-0.6001959764,0.6001959764
7,14336,16384,2048,0.3250793651,0.3715192744,0.1874973495,160931.4738,145158.1556,0.4479954712,-0.4479954712
8,16384,18432,2048,0.3715192744,0.4179591837,0.2199577167,234654.2591,328230.6676,-1.457507148,1.457507148
9,18432,20480,2048,0.4179591837,0.464399093,0.2141491794,486642.2671,298061.1483,2.129044565,-2.129044565
10,20480,22528,2048,0.464399093,0.5108390023,0.1548160967,184431.2727,261375.2553,-1.514299068,1.514299068
11,22528,24576,2048,0.5108390023,0.5572789116,0.09858300217,76874.39662,97700.96807,-1.041171469,1.041171469
12,24576,26624,2048,0.5572789116,0.6037188209,0.2034139979,641884.1886,139261.7318,6.636248863,-6.636248863
13,26624,28672,2048,0.6037188209,0.6501587302,0.1551627686,111948.7378,258108.7755,-3.627835689,3.627835689
14,28672,30720,2048,0.6501587302,0.6965986395,0.1388925601,19811.08461,286510.7271,-11.60232634,11.60232634
15,30720,32768,2048,0.6965986395,0.7430385488,0.1260434112,145120.2509,74975.85989,2.868065651,-2.868065651
16,32768,34816,2048,0.7430385488,0.789478458,0.1351744693,209221.1593,111265.5837,2.742447534,-2.742447534
17,34816,36864,2048,0.789478458,0.8359183673,0.1523171604,52123.44991,261579.4795,-7.005705185,7.005705185
18,36864,38912,2048,0.8359183673,0.8823582766,0.1769002696,320483.8496,232017.6006,1.402852174,-1.402852174
19,38912,40960,2048,0.8823582766,0.9287981859,0.1619007018,259540.2661,131431.1107,2.955065674,-2.955065674
20,40960,43008,2048,0.9287981859,0.9752380952,0.1518969419,184645.629,125332.5264,1.682752371,-1.682752371
21,43008,45056,2048,0.9752380952,1.021678005,0.2201141724,648168.9365,165056.5215,5.940555254,-5.940555254
22,45056,47104,2048,1.021678005,1.068117914,0.2595445634,782988.5266,457368.5209,2.33489128,-2.33489128
23,47104,49152,2048,1.068117914,1.114557823,0.1537456039,302667.0307,37006.97616,9.126815159,-9.126815159
24,49152,51200,2048,1.114557823,1.160997732,0.04687514954,28131.68871,6388.238698,6.438146677,-6.438146677
25,51200,53248,2048,1.160997732,1.207437642,0.02006165917,5268.952876,944.5363711,7.465056285,-7.465056285
26,53248,55296,2048,1.207437642,1.253877551,0.01253017139,1819.895265,284.3041352,8.062632183,-8.062632183
27,55296,57344,2048,1.253877551,1.30031746,0.005989742541,730.5857866,41.56857177,12.44906116,-12.44906116
28,57344,59392,2048,1.30031746,1.34675737,0.01083988124,954.577963,26.61267025,15.54722951,-15.54722951
29,59392,61440,2048,1.34675737,1.393197279,0.02179347763,7663.073109,22.3835665,25.34473683,-25.34473683
30,61440,63488,2048,1.393197279,1.439637188,0.032217035,18381.30691,16.04645732,30.58997221,-30.58997221
31,63488,65536,2048,1.439637188,1.486077098,0.02918580025,14514.13352,40.7670237,25.51482108,-25.51482108
32,65536,67584,2048,1.486077098,1.532517007,0.0287987148,12554.38437,28.29630708,26.47065661,-26.47065661
33,67584,69632,2048,1.532517007,1.578956916,0.04905875633,40342.68296,81.24888654,26.95947359,-26.95947359
34,69632,71680,2048,1.578956916,1.625396825,0.06194349661,69252.9648,90.01473713,28.86124753,-28.86124753
35,71680,73728,2048,1.625396825,1.671836735,0.06169605651,71249.03087,261.562281,24.35203845,-24.35203845
36,73728,75776,2048,1.671836735,1.718276644,0.03914764195,23255.09725,444.314171,17.18827995,-17.18827995
37,75776,77824,2048,1.718276644,1.764716553,0.04501206129,40236.75084,536.0942222,18.75381777,-18.75381777
38,77824,79872,2048,1.764716553,1.811156463,0.04563765304,29812.24444,592.409495,17.01772663,-17.01772663
