frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.2077239962,341000.9248,577821.2827,-2.290379772,2.290379772
1,2048,4096,2048,0.0464399093,0.09287981859,0.2524830712,113573.8969,997576.6581,-9.436677513,9.436677513
2,4096,6144,2048,0.09287981859,0.1393197279,0.2318066053,108134.0505,630450.4174,-7.656884655,7.656884655
3,6144,8192,2048,0.1393197279,0.1857596372,0.2867651088,193402.5372,1253692.118,-8.117287284,8.117287284
4,8192,10240,2048,0.1857596372,0.2321995465,0.2503066002,180588.9305,802201.0751,-6.475921136,6.475921136
5,10240,12288,2048,0.2321995465,0.2786394558,0.3099788201,138506.6848,1387143.342,-10.00650607,10.00650607
6,12288,14336,2048,0.2786394558,0.3250793651,0.2751799207,137330.766,1068798.351,-8.911279328,8.911279328
7,14336,16384,2048,0.3250793651,0.3715192744,0.3426148209,16964.55674,2131141.796,-20.9906983,20.9906983
8,16384,18432,2048,0.3715192744,0.4179591837,0.2404957507,22075.96791,744996.3302,-15.28234379,15.28234379
9,18432,20480,2048,0.4179591837,0.464399093,0.2730973019,117439.3965,1346708.646,-10.59459838,10.59459838
10,20480,22528,2048,0.464399093,0.5108390023,0.2785432003,403530.7429,1020989.163,-4.031445054,4.031445054
11,22528,24576,2048,0.5108390023,0.5572789116,0.2197677357,209059.084,604043.9227,-4.607994761,4.607994761
12,24576,26624,2048,0.5572789116,0.6037188209,0.1806520384,191989.7741,332235.7236,-2.381682306,2.381682306
13,26624,28672,2048,0.6037188209,0.6501587302,0.2367117447,280469.6594,543596.7541,-2.873909677,2.873909677
14,28672,30720,2048,0.6501587302,0.6965986395,0.3034506389,280554.0396,1353745.935,-6.835206393,6.835206393
15,30720,32768,2048,0.6965986395,0.7430385488,0.1712009599,139996.0261,247661.4503,-2.477427038,2.477427038
16,32768,34816,2048,0.7430385488,0.789478458,0.1963878078,84041.88409,694436.8829,-9.171369989,9.171369989
17,34816,36864,2048,0.789478458,0.8359183673,0.2357191559,82901.6741,997135.8294,-10.80191021,10.80191021
18,36864,38912,2048,0.8359183673,0.8823582766,0.218377407,231679.0044,445088.2973,-2.835594973,2.835594973
19,38912,40960,2048,0.8823582766,0.9287981859,0.2302566627,213503.318,641552.7689,-4.77827755,4.77827755
20,40960,43008,2048,0.9287981859,0.9752380952,0.3123424479,130332.7701,1481386.914,-10.55614878,10.55614878
21,43008,45056,2048,0.9752380952,1.021678005,0.3285211976,21983.71041,1716122.018,-18.92447169,18.92447169
22,45056,47104,2048,1.021678005,1.068117914,0.2559485183,40137.81289,999045.5479,-13.96031585,13.96031585
23,47104,49152,2048,1.068117914,1.114557823,0.2654738605,518.4762845,1257296.363,-33.84708763,33.84708763
24,49152,51200,2048,1.114557823,1.160997732,0.1964745345,9190.166482,739414.7521,-19.05564732,19.05564732
25,51200,53248,2048,1.160997732,1.207437642,0.1453011726,26400.35886,348961.2199,-11.21167336,11.21167336
26,53248,55296,2048,1.207437642,1.253877551,0.1871990499,136663.3892,451892.2446,-5.193827011,5.193827011
27,55296,57344,2048,1.253877551,1.30031746,0.2618726732,140117.5303,981623.7134,-8.454525674,8.454525674
28,57344,59392,2048,1.30031746,1.34675737,0.2887377634,23031.58677,1509011.306,-18.16368634,18.16368634
29,59392,61440,2048,1.34675737,1.393197279,0.1232922169,58015.37242,305001.3674,-7.207587019,7.207587019
30,61440,63488,2048,1.393197279,1.439637188,0.07218426364,70525.81434,20363.25251,5.395009628,-5.395009628
31,63488,65536,2048,1.439637188,1.486077098,0.03108514638,8435.34979,10728.88311,-1.044514177,1.044514177
32,65536,67584,2048,1.486077098,1.532517007,0.01713874237,2776.958356,973.7112916,4.551391608,-4.551391608
33,67584,69632,2048,1.532517007,1.578956916,0.0453773224,15476.44351,388.2986183,16.00505322,-16.00505322
34,69632,71680,2048,1.578956916,1.625396825,0.1107912774,192037.3423,947.7947572,23.06671385,-23.06671385
35,71680,73728,2048,1.625396825,1.671836735,0.1173142093,187205.3247,524.7324523,25.52380273,-25.52380273
36,73728,75776,2048,1.671836735,1.718276644,0.122104949,264970.7918,1339.159184,22.96365799,-22.96365799
37,75776,77824,2048,1.718276644,1.764716553,0.1333906214,285915.0086,3683.226113,18.90008573,-18.90008573
38,77824,79872,2048,1.764716553,1.811156463,0.2049058073,711469.022,5538.434588,21.08768964,-21.08768964
39,79872,81920,2048,1.811156463,1.857596372,0.1812436143,555671.9199,9477.858729,17.6810822,-17.6810822
40,81920,83968,2048,1.857596372,1.904036281,0.1217831504,186889.795,20556.87343,9.586285258,-9.586285258
41,83968,86016,2048,1.904036281,1.95047619,0.2127266343,693533.5971,18401.61808,15.76211492,-15.76211492
42,86016,88064,2048,1.95047619,1.9969161,0.2270545733,882608.1572,15569.34055,17.53497719,-17.53497719
