frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.09213780466,29696.80574,11587.64187,4.087146738,-4.087146738
1,2048,4096,2048,0.0464399093,0.09287981859,0.1526541642,348120.705,36318.69001,9.815996789,-9.815996789
2,4096,6144,2048,0.09287981859,0.1393197279,0.1778494569,343731.5829,17345.38857,12.97035405,-12.97035405
3,6144,8192,2048,0.1393197279,0.1857596372,0.172171993,288072.497,58256.67709,6.941560878,-6.941560878
4,8192,10240,2048,0.1857596372,0.2321995465,0.1512694542,187861.4742,87246.83822,3.330880288,-3.330880288
5,10240,12288,2048,0.2321995465,0.2786394558,0.1884782127,290260.5288,252100.8923,0.6121359926,-0.6121359926
6,12288,14336,2048,0.2786394558,0.3250793651,0.2183515543,475882.5908,373094.5651,1.056808947,-1.056808947
7,14336,16384,2048,0.3250793651,0.3715192744,0.2211480463,438322.6737,418744.0373,0.1984530063,-0.1984530063
8,16384,18432,2048,0.3715192744,0.4179591837,0.2165724893,444591.0216,169690.2322,4.183038439,-4.183038439
9,18432,20480,2048,0.4179591837,0.464399093,0.2970775689,1342432.737,143382.2413,9.713971696,-9.713971696
10,20480,22528,2048,0.464399093,0.5108390023,0.2892381946,1240414.134,101068.8305,10.88949466,-10.88949466
11,22528,24576,2048,0.5108390023,0.5572789116,0.2755011121,1165086.286,150859.5231,8.877853596,-8.877853596
12,24576,26624,2048,0.5572789116,0.6037188209,0.2577989432,933379.69,155025.2502,7.796559055,-7.796559055
13,26624,28672,2048,0.6037188209,0.6501587302,0.2758227759,1039890.174,215071.7197,6.844041669,-6.844041669
14,28672,30720,2048,0.6501587302,0.6965986395,0.2214761455,625443.5305,124755.4969,7.001284141,-7.001284141
15,30720,32768,2048,0.6965986395,0.7430385488,0.2691947708,1251381.913,47002.4522,14.25269357,-14.25269357
16,32768,34816,2048,0.7430385488,0.789478458,0.2249162158,629687.2679,258012.6568,3.874839012,-3.874839012
17,34816,36864,2048,0.789478458,0.8359183673,0.2257301402,723685.7889,144364.4162,7.000898854,-7.000898854
18,36864,38912,2048,0.8359183673,0.8823582766,0.2090009539,480523.5094,251730.3791,2.807790104,-2.807790104
19,38912,40960,2048,0.8823582766,0.9287981859,0.2287558877,822945.0377,61386.98882,11.272945,-11.272945
20,40960,43008,2048,0.9287981859,0.9752380952,0.2336765805,860891.9304,68285.90739,11.00617552,-11.00617552
21,43008,45056,2048,0.9752380952,1.021678005,0.2334552181,843160.5341,55883.73203,11.78624869,-11.78624869
22,45056,47104,2048,1.021678005,1.068117914,0.2434283004,994598.1135,36172.25126,14.39272092,-14.39272092
23,47104,49152,2048,1.068117914,1.114557823,0.2329803353,851004.6486,41305.33422,13.13925792,-13.13925792
24,49152,51200,2048,1.114557823,1.160997732,0.2229717076,751005.6673,66974.81416,10.49731697,-10.49731697
25,51200,53248,2048,1.160997732,1.207437642,0.1760673521,292049.636,183227.3442,2.024663825,-2.024663825
26,53248,55296,2048,1.207437642,1.253877551,0.05003943606,4122.783587,17194.81576,-6.202069882,6.202069882
27,55296,57344,2048,1.253877551,1.30031746,0.02755376084,4610.692243,5819.108617,-1.01090329,1.01090329
28,57344,59392,2048,1.30031746,1.34675737,0.01304312202,544.8490464,527.4254121,0.1411514425,-0.1411514425
29,59392,61440,2048,1.34675737,1.393197279,0.008194881926,455.5179618,303.2166635,1.76752442,-1.76752442
30,61440,63488,2048,1.393197279,1.439637188,0.1075977134,163224.6514,339.7006144,26.81689417,-26.81689417
31,63488,65536,2048,1.439637188,1.486077098,0.1951949853,619268.5049,1031.601136,27.78367181,-27.78367181
32,65536,67584,2048,1.486077098,1.532517007,0.1787996431,550161.3231,1270.158297,26.36632206,-26.36632206
33,67584,69632,2048,1.532517007,1.578956916,0.184778358,664140.4991,2044.624925,25.11646313,-25.11646313
34,69632,71680,2048,1.578956916,1.625396825,0.12769406,194198.4298,2702.91773,18.56412887,-18.56412887
35,71680,73728,2048,1.625396825,1.671836735,0.1572864792,410709.3597,1870.985397,23.41464202,-23.41464202
36,73728,75776,2048,1.671836735,1.718276644,0.2555374522,1126515.679,2513.795669,26.51407267,-26.51407267
37,75776,77824,2048,1.718276644,1.764716553,0.2647779388,1141541.319,2626.160107,26.38170436,-26.38170436
38,77824,79872,2048,1.764716553,1.811156463,0.1560945807,281193.081,3040.053613,19.66123388,-19.66123388
39,79872,81920,2048,1.811156463,1.857596372,0.1069229649,130236.2377,3406.232728,15.82457524,-15.82457524
40,81920,83968,2048,1.857596372,1.904036281,0.1920638384,666087.2132,3438.217563,22.87197742,-22.87197742
41,83968,86016,2048,1.904036281,1.95047619,0.1738350363,445575.4675,2805.22508,22.00953558,-22.00953558
42,86016,88064,2048,1.95047619,1.9969161,0.1637820902,292794.7132,2646.44941,20.43899634,-20.43899634
43,88064,90112,2048,1.9969161,2.043356009,0.1409578412,269105.4885,1377.52752,22.90822272,-22.90822272
