frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.06253490901,8870.323316,117.7202301,18.77088347,-18.77088347
1,2048,4096,2048,0.0464399093,0.09287981859,0.0513901072,15513.8853,75.43510461,23.13147079,-23.13147079
2,4096,6144,2048,0.09287981859,0.1393197279,0.07240151557,3702.401406,43.76396382,19.27366852,-19.27366852
3,6144,8192,2048,0.1393197279,0.1857596372,0.0616229525,7351.72372,54.55385516,21.29563731,-21.29563731
4,8192,10240,2048,0.1857596372,0.2321995465,0.05574701193,6159.09121,48.20407668,21.06432867,-21.06432867
5,10240,12288,2048,0.2321995465,0.2786394558,0.05427160723,9631.196681,33.49389682,24.58714574,-24.58714574
6,12288,14336,2048,0.2786394558,0.3250793651,0.1053922151,60072.71332,28530.68283,3.233650824,-3.233650824
7,14336,16384,2048,0.3250793651,0.3715192744,0.1441490224,90846.80556,251706.0196,-4.42583941,4.42583941
8,16384,18432,2048,0.3715192744,0.4179591837,0.1664828105,77171.95811,383976.5017,-6.968451276,6.968451276
9,18432,20480,2048,0.4179591837,0.464399093,0.1320485005,104437.8364,134252.211,-1.090635807,1.090635807
10,20480,22528,2048,0.464399093,0.5108390023,0.1654452495,51106.18608,372937.2769,-8.631623234,8.631623234
11,22528,24576,2048,0.5108390023,0.5572789116,0.1407392795,60655.35994,278411.1541,-6.618174463,6.618174463
12,24576,26624,2048,0.5572789116,0.6037188209,0.1402938698,81849.90949,206383.7537,-4.016573036,4.016573036
13,26624,28672,2048,0.6037188209,0.6501587302,0.1473987792,171127.0721,139003.5495,0.9029282966,-0.9029282966
14,28672,30720,2048,0.6501587302,0.6965986395,0.1198951917,186206.3662,51589.76893,5.574309423,-5.574309423
15,30720,32768,2048,0.6965986395,0.7430385488,0.07909581396,41501.14502,68437.81106,-2.172360314,2.172360314
16,32768,34816,2048,0.7430385488,0.789478458,0.09660796798,125411.2755,21948.94892,7.569228571,-7.569228571
17,34816,36864,2048,0.789478458,0.8359183673,0.1156789078,40790.1101,137179.8464,-5.267354346,5.267354346
18,36864,38912,2048,0.8359183673,0.8823582766,0.1094954185,55798.19492,122926.2875,-3.430246161,3.430246161
19,38912,40960,2048,0.8823582766,0.9287981859,0.1140568466,183367.9059,81831.98548,3.504002368,-3.504002368
20,40960,43008,2048,0.9287981859,0.9752380952,0.1411565083,57109.06388,378279.1961,-8.211074161,8.211074161
21,43008,45056,2048,0.9752380952,1.021678005,0.1346870578,65372.62916,227109.8982,-5.408401108,5.408401108
22,45056,47104,2048,1.021678005,1.068117914,0.124729446,140709.5763,90623.77353,1.910815133,-1.910815133
23,47104,49152,2048,1.068117914,1.114557823,0.1157699621,12082.665,208432.3443,-12.36802379,12.36802379
24,49152,51200,2048,1.114557823,1.160997732,0.1214693091,81856.18219,162406.9967,-2.9755325,2.9755325
25,51200,53248,2048,1.160997732,1.207437642,0.1009442532,74085.27297,96566.08198,-1.150927255,1.150927255
26,53248,55296,2048,1.207437642,1.253877551,0.1125335162,182626.1662,27965.93981,8.149335838,-8.149335838
27,55296,57344,2048,1.253877551,1.30031746,0.1136804228,160595.9014,2349.504165,18.34758238,-18.34758238
28,57344,59392,2048,1.30031746,1.34675737,0.07409462489,41353.32741,3494.399944,10.7313785,-10.7313785
29,59392,61440,2048,1.34675737,1.393197279,0.04862420206,20280.20716,1012.706911,13.01588613,-13.01588613
30,61440,63488,2048,1.393197279,1.439637188,0.04294048114,9614.787749,146.2896174,18.17726197,-18.17726197
31,63488,65536,2048,1.439637188,1.486077098,0.02331456785,4454.902302,80.72217741,17.41845316,-17.41845316
32,65536,67584,2048,1.486077098,1.532517007,0.05439726336,20065.52894,3876.480392,7.140130209,-7.140130209
33,67584,69632,2048,1.532517007,1.578956916,0.0585970726,23249.35706,7854.169543,4.713106755,-4.713106755
34,69632,71680,2048,1.578956916,1.625396825,0.04658838869,24742.15553,1598.422741,11.89745883,-11.89745883
35,71680,73728,2048,1.625396825,1.671836735,0.04808029296,18014.79022,1712.305614,10.22047928,-10.22047928
36,73728,75776,2048,1.671836735,1.718276644,0.06975575504,57256.82412,10469.50037,7.379012986,-7.379012986
37,75776,77824,2048,1.718276644,1.764716553,0.07035524483,37037.09608,6759.70792,7.387089973,-7.387089973
38,77824,79872,2048,1.764716553,1.811156463,0.06157224924,20479.93702,9572.544079,3.303012419,-3.303012419
39,79872,81920,2048,1.811156463,1.857596372,0.0614745643,22788.89814,13494.68176,2.2756068,-2.2756068
40,81920,83968,2048,1.857596372,1.904036281,0.07211419338,37216.71263,32623.64898,0.5720547347,-0.5720547347
41,83968,86016,2048,1.904036281,1.95047619,0.09238470786,101405.8652,9943.924437,10.08505259,-10.08505259
42,86016,88064,2048,1.95047619,1.9969161,0.06091645907,41002.28104,965.5196878,16.28046884,-16.28046884
43,88064,90112,2048,1.9969161,2.043356009,0.04851569976,27729.87697,2042.077775,11.32875664,-11.32875664
