frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.007821265865,380.7364514,10.87173474,15.4432561,-15.4432561
1,2048,4096,2048,0.0464399093,0.09287981859,0.008432382312,201.1915081,8.661084891,13.66037351,-13.66037351
2,4096,6144,2048,0.09287981859,0.1393197279,0.01187057624,404.5897986,8.812431858,16.61919156,-16.61919156
3,6144,8192,2048,0.1393197279,0.1857596372,0.01407188405,577.4031493,895.5928371,-1.906314632,1.906314632
4,8192,10240,2048,0.1857596372,0.2321995465,0.02017877811,3074.088828,1148.818456,4.274650084,-4.274650084
5,10240,12288,2048,0.2321995465,0.2786394558,0.05440452484,39108.44529,7306.804941,7.285430377,-7.285430377
6,12288,14336,2048,0.2786394558,0.3250793651,0.09351280362,128332.3537,18755.11096,8.352165218,-8.352165218
7,14336,16384,2048,0.3250793651,0.3715192744,0.1805677785,386686.7923,221205.6088,2.42563204,-2.42563204
8,16384,18432,2048,0.3715192744,0.4179591837,0.1793654581,511037.2449,55180.18167,9.666694271,-9.666694271
9,18432,20480,2048,0.4179591837,0.464399093,0.1773021295,324373.6196,244646.9221,1.225057707,-1.225057707
10,20480,22528,2048,0.464399093,0.5108390023,0.1852983681,393738.3453,182921.4826,3.329429991,-3.329429991
11,22528,24576,2048,0.5108390023,0.5572789116,0.166466864,469768.7558,20921.9444,13.51282085,-13.51282085
12,24576,26624,2048,0.5572789116,0.6037188209,0.1518247577,233592.8347,207574.2893,0.5128595729,-0.5128595729
13,26624,28672,2048,0.6037188209,0.6501587302,0.1241496125,188455.408,29373.51238,8.072527236,-8.072527236
14,28672,30720,2048,0.6501587302,0.6965986395,0.1301144434,255465.1689,14502.52459,12.45888085,-12.45888085
15,30720,32768,2048,0.6965986395,0.7430385488,0.1546705984,255433.4558,188841.2256,1.311809688,-1.311809688
16,32768,34816,2048,0.7430385488,0.789478458,0.1197093143,173016.3538,50202.0636,5.373655858,-5.373655858
17,34816,36864,2048,0.789478458,0.8359183673,0.1394112795,225335.8683,127612.1313,2.469383649,-2.469383649
18,36864,38912,2048,0.8359183673,0.8823582766,0.1594866032,397361.5432,53893.52789,8.6764922,-8.6764922
19,38912,40960,2048,0.8823582766,0.9287981859,0.1280512763,174360.4869,49019.51371,5.510790745,-5.510790745
20,40960,43008,2048,0.9287981859,0.9752380952,0.1235593408,60805.84347,118646.8762,-2.903109913,2.903109913
21,43008,45056,2048,0.9752380952,1.021678005,0.1292874452,151387.8515,73143.51096,3.159152224,-3.159152224
22,45056,47104,2048,1.021678005,1.068117914,0.1456498458,256584.6953,121443.7502,3.248555782,-3.248555782
23,47104,49152,2048,1.068117914,1.114557823,0.1552386043,197131.3375,196450.1702,0.0150325901,-0.0150325901
24,49152,51200,2048,1.114557823,1.160997732,0.1067229316,67003.50015,111467.4339,-2.210505132,2.210505132
25,51200,53248,2048,1.160997732,1.207437642,0.1170814045,151207.19,107619.328,1.476821669,-1.476821669
26,53248,55296,2048,1.207437642,1.253877551,0.09166882259,23605.74578,85457.13051,-5.587305801,5.587305801
27,55296,57344,2048,1.253877551,1.30031746,0.1439941718,260058.9355,126512.0971,3.129397256,-3.129397256
28,57344,59392,2048,1.30031746,1.34675737,0.1090665684,102588.508,76880.24484,1.25283956,-1.25283956
29,59392,61440,2048,1.34675737,1.393197279,0.1217735697,182757.7052,90723.38185,3.041564655,-3.041564655
30,61440,63488,2048,1.393197279,1.439637188,0.09066263247,48319.00895,55105.16831,-0.5707431517,0.5707431517
31,63488,65536,2048,1.439637188,1.486077098,0.1005865309,80743.90006,55201.06696,1.651622506,-1.651622506
32,65536,67584,2048,1.486077098,1.532517007,0.08914877758,70862.63552,94216.64569,-1.237103378,1.237103378
33,67584,69632,2048,1.532517007,1.578956916,0.1012629634,30342.37426,125565.7351,-6.168215825,6.168215825
34,69632,71680,2048,1.578956916,1.625396825,0.09298734365,45503.87199,67480.47584,-1.711297834,1.711297834
35,71680,73728,2048,1.625396825,1.671836735,0.04799330318,15111.49141,36806.40757,-3.866161025,3.866161025
36,73728,75776,2048,1.671836735,1.718276644,0.02508617609,3410.51667,8042.105717,-3.725496011,3.725496011
37,75776,77824,2048,1.718276644,1.764716553,0.01797407616,586.1277196,6243.285404,-10.27420928,10.27420928
38,77824,79872,2048,1.764716553,1.811156463,0.007378291665,398.9778392,288.1427147,1.413411304,-1.413411304
39,79872,81920,2048,1.811156463,1.857596372,0.00568592139,97.72049,172.6284486,-2.471267317,2.471267317
40,81920,83968,2048,1.857596372,1.904036281,0.004176928317,93.25531854,58.37961505,2.034123829,-2.034123829
41,83968,86016,2048,1.904036281,1.95047619,0.008134947144,735.8010875,16.40820113,16.51699455,-16.51699455
42,86016,88064,2048,1.95047619,1.9969161,0.02526453536,9816.376019,75.20858937,21.15683743,-21.15683743
43,88064,90112,2048,1.9969161,2.043356009,0.04243600183,34320.58785,97.07036319,25.48468063,-25.48468063
44,90112,92160,2048,2.043356009,2.089795918,0.03382695237,19353.01281,104.1478074,22.69098453,-22.69098453
45,92160,94208,2048,2.089795918,2.136235828,0.04172755242,27652.33496,173.8978031,22.01437714,-22.01437714
46,94208,96256,2048,2.136235828,2.182675737,0.06669436174,75466.18769,394.9915894,22.81164563,-22.81164563
47,96256,98304,2048,2.182675737,2.229115646,0.07076612867,79069.3274,993.9037177,19.00663729,-19.00663729
48,98304,100352,2048,2.229115646,2.275555556,0.05639475087,42562.55847,728.1881286,17.66784131,-17.66784131
49,100352,102400,2048,2.275555556,2.321995465,0.05857275239,53805.19734,859.8260248,17.96413643,-17.96413643
50,102400,104448,2048,2.321995465,2.368435374,0.0713489912,50898.99293,1747.637367,14.64257868,-14.64257868
51,104448,106496,2048,2.368435374,2.414875283,0.08526956377,166232.2511,1447.581302,20.60072321,-20.60072321
