frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.04319981937,9375.278944,55.59452832,22.26952148,-22.26952148
1,2048,4096,2048,0.0464399093,0.09287981859,0.04811538722,6539.761066,62.75995024,20.17879291,-20.17879291
2,4096,6144,2048,0.09287981859,0.1393197279,0.03572958168,7333.341599,75.96523752,19.84687016,-19.84687016
3,6144,8192,2048,0.1393197279,0.1857596372,0.03239437652,2752.618807,94.77567319,14.63049195,-14.63049195
4,8192,10240,2048,0.1857596372,0.2321995465,0.03883659288,4737.446304,78.33147821,17.81607978,-17.81607978
5,10240,12288,2048,0.2321995465,0.2786394558,0.05336598636,7743.594824,103.2926156,18.74873346,-18.74873346
6,12288,14336,2048,0.2786394558,0.3250793651,0.1006096217,158176.9566,8163.881632,12.87246516,-12.87246516
7,14336,16384,2048,0.3250793651,0.3715192744,0.1603362025,161258.8682,250614.2219,-1.914821054,1.914821054
8,16384,18432,2048,0.3715192744,0.4179591837,0.1759215597,29495.56345,530850.1606,-12.55215256,12.55215256
9,18432,20480,2048,0.4179591837,0.464399093,0.1710295433,123186.0053,303740.8036,-3.919417657,3.919417657
10,20480,22528,2048,0.464399093,0.5108390023,0.1560095025,26474.7613,249914.9753,-9.749602273,9.749602273
11,22528,24576,2048,0.5108390023,0.5572789116,0.2010412735,76659.5439,638044.0066,-9.202844025,9.202844025
12,24576,26624,2048,0.5572789116,0.6037188209,0.2054820918,63099.13959,669904.9465,-10.25989747,10.25989747
13,26624,28672,2048,0.6037188209,0.6501587302,0.1995017723,107892.0091,592130.3814,-7.394280642,7.394280642
14,28672,30720,2048,0.6501587302,0.6965986395,0.128684163,44388.55579,230829.9444,-7.160211317,7.160211317
15,30720,32768,2048,0.6965986395,0.7430385488,0.1210368726,31205.30895,205873.7385,-8.193724643,8.193724643
16,32768,34816,2048,0.7430385488,0.789478458,0.111429578,11225.28081,192156.0761,-12.33456908,12.33456908
17,34816,36864,2048,0.789478458,0.8359183673,0.1553427024,116554.3848,357779.4985,-4.870868347,4.870868347
18,36864,38912,2048,0.8359183673,0.8823582766,0.1352454904,100434.1725,199501.5699,-2.980648118,2.980648118
19,38912,40960,2048,0.8823582766,0.9287981859,0.1427516666,179381.0037,151114.3724,0.7447067794,-0.7447067794
20,40960,43008,2048,0.9287981859,0.9752380952,0.1559112245,327402.0861,71060.65068,6.634522624,-6.634522624
