frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.02078273105,462.6524284,761.3020877,-2.163021747,2.163021747
1,2048,4096,2048,0.0464399093,0.09287981859,0.02237978335,1431.497932,195.2702498,8.65154643,-8.65154643
2,4096,6144,2048,0.09287981859,0.1393197279,0.02905849203,1755.766262,57.43962419,14.8525511,-14.8525511
3,6144,8192,2048,0.1393197279,0.1857596372,0.01513471805,1136.882386,13.92536243,19.11909031,-19.11909031
4,8192,10240,2048,0.1857596372,0.2321995465,0.02147520225,1958.94655,2534.570165,-1.118817321,1.118817321
5,10240,12288,2048,0.2321995465,0.2786394558,0.03085455446,1530.489061,6178.899463,-6.060808989,6.060808989
6,12288,14336,2048,0.2786394558,0.3250793651,0.03454182023,2050.632737,4029.17822,-2.933285913,2.933285913
7,14336,16384,2048,0.3250793651,0.3715192744,0.04332389487,4537.652379,10177.38327,-3.508049075,3.508049075
8,16384,18432,2048,0.3715192744,0.4179591837,0.1249990915,32559.88807,237682.4106,-8.633141401,8.633141401
9,18432,20480,2048,0.4179591837,0.464399093,0.1514746285,63040.21664,292312.2025,-6.662292483,6.662292483
10,20480,22528,2048,0.464399093,0.5108390023,0.1585082284,37777.91338,489608.8033,-11.12611251,11.12611251
11,22528,24576,2048,0.5108390023,0.5572789116,0.1572629042,12875.15391,395840.8609,-14.87768193,14.87768193
12,24576,26624,2048,0.5572789116,0.6037188209,0.1644775107,6461.535321,524512.9895,-19.09420525,19.09420525
13,26624,28672,2048,0.6037188209,0.6501587302,0.1045202185,22404.51426,97843.71894,-6.401974188,6.401974188
14,28672,30720,2048,0.6501587302,0.6965986395,0.1660697755,20722.56635,446805.6029,-13.33675072,13.33675072
15,30720,32768,2048,0.6965986395,0.7430385488,0.1366159851,26080.10863,294157.6223,-10.5227071,10.5227071
16,32768,34816,2048,0.7430385488,0.789478458,0.09816784039,47923.45833,47046.11088,0.08024422898,-0.08024422898
17,34816,36864,2048,0.789478458,0.8359183673,0.1079244649,58677.48756,113245.6753,-2.855501158,2.855501158
18,36864,38912,2048,0.8359183673,0.8823582766,0.12843761,272749.5282,30917.20712,9.455637526,-9.455637526
19,38912,40960,2048,0.8823582766,0.9287981859,0.1161509067,71472.7547,174280.6442,-3.871086356,3.871086356
20,40960,43008,2048,0.9287981859,0.9752380952,0.114140528,140139.4451,49105.63766,4.554290385,-4.554290385
21,43008,45056,2048,0.9752380952,1.021678005,0.08854720644,38930.97514,63895.97132,-2.151781944,2.151781944
22,45056,47104,2048,1.021678005,1.068117914,0.08281673132,35999.85293,97237.5113,-4.315331084,4.315331084
23,47104,49152,2048,1.068117914,1.114557823,0.1166089366,81542.86238,132705.5912,-2.115032689,2.115032689
24,49152,51200,2048,1.114557823,1.160997732,0.1336530105,168197.8222,124584.169,1.303575086,-1.303575086
25,51200,53248,2048,1.160997732,1.207437642,0.1374593036,180731.3913,144637.0766,0.9675395663,-0.9675395663
26,53248,55296,2048,1.207437642,1.253877551,0.1158205012,126421.3534,140044.9799,-0.4444711009,0.4444711009
27,55296,57344,2048,1.253877551,1.30031746,0.09060588605,10476.02708,163839.7406,-11.94222639,11.94222639
28,57344,59392,2048,1.30031746,1.34675737,0.1320970303,43383.91676,280438.2948,-8.105085596,8.105085596
29,59392,61440,2048,1.34675737,1.393197279,0.07982558436,13772.47534,43513.3086,-4.996101032,4.996101032
30,61440,63488,2048,1.393197279,1.439637188,0.06231837609,17470.04285,42004.62179,-3.810031084,3.810031084
