frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.04944007236,14617.49395,464.6495036,14.97747445,-14.97747445
1,2048,4096,2048,0.0464399093,0.09287981859,0.06203243083,17463.42885,190.6726536,19.61841108,-19.61841108
2,4096,6144,2048,0.09287981859,0.1393197279,0.06387569357,16039.68212,106.0976055,21.79490174,-21.79490174
3,6144,8192,2048,0.1393197279,0.1857596372,0.06982498307,10852.46881,47.24807039,23.6114447,-23.6114447
4,8192,10240,2048,0.1857596372,0.2321995465,0.05013590196,17047.18444,410.1748241,16.18683659,-16.18683659
5,10240,12288,2048,0.2321995465,0.2786394558,0.1267840574,207969.4777,14917.22312,11.44311615,-11.44311615
6,12288,14336,2048,0.2786394558,0.3250793651,0.129012867,105920.7602,123745.3561,-0.6754782049,0.6754782049
7,14336,16384,2048,0.3250793651,0.3715192744,0.168007951,104951.0517,337817.2273,-5.076949981,5.076949981
8,16384,18432,2048,0.3715192744,0.4179591837,0.1756743737,75243.39464,379281.3879,-7.024931509,7.024931509
9,18432,20480,2048,0.4179591837,0.464399093,0.1563181469,18647.21669,436704.6851,-13.69573834,13.69573834
10,20480,22528,2048,0.464399093,0.5108390023,0.1294944881,205152.9796,90648.28204,3.547182511,-3.547182511
11,22528,24576,2048,0.5108390023,0.5572789116,0.1611698844,244421.5507,245690.0305,-0.02248039106,0.02248039106
12,24576,26624,2048,0.5572789116,0.6037188209,0.186596592,38318.77761,564261.4042,-11.68068699,11.68068699
13,26624,28672,2048,0.6037188209,0.6501587302,0.1448373735,22204.59716,348836.8927,-11.96179511,11.96179511
14,28672,30720,2048,0.6501587302,0.6965986395,0.1029657902,128609.4463,31331.01583,6.132983924,-6.132983924
15,30720,32768,2048,0.6965986395,0.7430385488,0.1274968983,171914.2152,46269.62382,5.700158205,-5.700158205
16,32768,34816,2048,0.7430385488,0.789478458,0.1715237123,347130.7592,215467.5424,2.0711124,-2.0711124
17,34816,36864,2048,0.789478458,0.8359183673,0.1670429201,128948.6083,299498.0032,-3.659772721,3.659772721
18,36864,38912,2048,0.8359183673,0.8823582766,0.1630425358,177297.7384,262099.9498,-1.69763742,1.69763742
19,38912,40960,2048,0.8823582766,0.9287981859,0.142844317,105923.2851,217515.5093,-3.124987871,3.124987871
20,40960,43008,2048,0.9287981859,0.9752380952,0.1565471959,104884.5771,286132.2174,-4.358551292,4.358551292
21,43008,45056,2048,0.9752380952,1.021678005,0.09448247499,16564.45649,60684.23412,-5.638986847,5.638986847
22,45056,47104,2048,1.021678005,1.068117914,0.1440976971,230607.7002,125063.5309,2.657431186,-2.657431186
23,47104,49152,2048,1.068117914,1.114557823,0.1411435128,194153.0622,157435.702,0.910410197,-0.910410197
24,49152,51200,2048,1.114557823,1.160997732,0.1252836474,118728.7259,114184.2193,0.1694972042,-0.1694972042
25,51200,53248,2048,1.160997732,1.207437642,0.09527107809,40385.2538,69572.04504,-2.362119529,2.362119529
26,53248,55296,2048,1.207437642,1.253877551,0.1255414461,115164.411,129539.558,-0.5108411993,0.5108411993
27,55296,57344,2048,1.253877551,1.30031746,0.1093098366,146079.1972,21280.47488,8.366070585,-8.366070585
28,57344,59392,2048,1.30031746,1.34675737,0.08791726206,25308.06752,68419.52573,-4.31921075,4.31921075
29,59392,61440,2048,1.34675737,1.393197279,0.06320038083,43805.41835,13412.16218,5.140290361,-5.140290361
30,61440,63488,2048,1.393197279,1.439637188,0.05561594298,47158.05947,5188.546757,9.585101911,-9.585101911
31,63488,65536,2048,1.439637188,1.486077098,0.06614271072,60780.06789,11756.04991,7.134997597,-7.134997597
32,65536,67584,2048,1.486077098,1.532517007,0.03318313754,9025.531688,2080.979392,6.37205016,-6.37205016
33,67584,69632,2048,1.532517007,1.578956916,0.01793043169,3091.812696,265.732092,10.6576917,-10.6576917
34,69632,71680,2048,1.578956916,1.625396825,0.014834977,1119.587329,234.2675788,6.793457856,-6.793457856
35,71680,73728,2048,1.625396825,1.671836735,0.02172184742,1153.58795,53.39646945,13.34538168,-13.34538168
36,73728,75776,2048,1.671836735,1.718276644,0.01433655549,1463.542838,52.68088291,14.43752394,-14.43752394
37,75776,77824,2048,1.718276644,1.764716553,0.02032846153,1790.506966,1708.260536,0.2042190698,-0.2042190698
38,77824,79872,2048,1.764716553,1.811156463,0.01939019779,2653.152255,216.7346296,10.87833865,-10.87833865
39,79872,81920,2048,1.811156463,1.857596372,0.02801377555,5585.061862,77.6122517,18.57097704,-18.57097704
40,81920,83968,2048,1.857596372,1.904036281,0.02996879121,6675.849872,52.17677057,21.07029366,-21.07029366
41,83968,86016,2048,1.904036281,1.95047619,0.0283520024,8430.76373,54.38309328,21.90403012,-21.90403012
42,86016,88064,2048,1.95047619,1.9969161,0.02898570317,11974.8104,94.67525887,21.02032144,-21.02032144
43,88064,90112,2048,1.9969161,2.043356009,0.0245361667,6332.00361,160.802734,15.95247725,-15.95247725
44,90112,92160,2048,2.043356009,2.089795918,0.02482557607,8371.682292,357.6947428,13.69300181,-13.69300181
45,92160,94208,2048,2.089795918,2.136235828,0.02727768118,10223.92062,144.0111572,18.51221329,-18.51221329
46,94208,96256,2048,2.136235828,2.182675737,0.02385949407,3208.368823,116.0893067,14.4149207,-14.4149207
