frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.04208108485,16625.75245,9598.160756,2.385932903,-2.385932903
1,2048,4096,2048,0.0464399093,0.09287981859,0.1680158831,455195.7963,44267.43156,10.12113918,-10.12113918
2,4096,6144,2048,0.09287981859,0.1393197279,0.1934479909,126923.9583,464561.6014,-5.634997023,5.634997023
3,6144,8192,2048,0.1393197279,0.1857596372,0.1706171639,419967.0922,45918.01946,9.612321135,-9.612321135
4,8192,10240,2048,0.1857596372,0.2321995465,0.2197001168,393690.0611,419962.4949,-0.2805605613,0.2805605613
5,10240,12288,2048,0.2321995465,0.2786394558,0.1642308388,163563.0102,538910.7405,-5.178317444,5.178317444
6,12288,14336,2048,0.2786394558,0.3250793651,0.2194621104,711856.9814,271667.5934,4.183549131,-4.183549131
7,14336,16384,2048,0.3250793651,0.3715192744,0.2308046105,495104.9686,345722.8623,1.559691848,-1.559691848
8,16384,18432,2048,0.3715192744,0.4179591837,0.1780829447,285362.0133,311262.5186,-0.377306669,0.377306669
9,18432,20480,2048,0.4179591837,0.464399093,0.2088975894,509553.8026,478108.5322,0.2766355282,-0.2766355282
10,20480,22528,2048,0.464399093,0.5108390023,0.2019480483,45309.63292,748534.9354,-12.18021531,12.18021531
11,22528,24576,2048,0.5108390023,0.5572789116,0.1865455811,317433.1348,389458.0698,-0.8880844912,0.8880844912
12,24576,26624,2048,0.5572789116,0.6037188209,0.1556489841,204549.0135,232391.6753,-0.5542317742,0.5542317742
13,26624,28672,2048,0.6037188209,0.6501587302,0.169701084,183995.026,236081.6949,-1.082562316,1.082562316
14,28672,30720,2048,0.6501587302,0.6965986395,0.1819567662,269312.849,274614.471,-0.08466344659,0.08466344659
15,30720,32768,2048,0.6965986395,0.7430385488,0.1895874239,173737.5436,518184.1381,-4.74590438,4.74590438
16,32768,34816,2048,0.7430385488,0.789478458,0.1780861476,265743.6025,262335.9301,0.05605041451,-0.05605041451
17,34816,36864,2048,0.789478458,0.8359183673,0.1483308537,114442.6525,402200.503,-5.458546941,5.458546941
18,36864,38912,2048,0.8359183673,0.8823582766,0.1646035291,215437.8702,262521.5183,-0.8584286021,0.8584286021
19,38912,40960,2048,0.8823582766,0.9287981859,0.1426697127,84210.46594,150185.929,-2.512631751,2.512631751
20,40960,43008,2048,0.9287981859,0.9752380952,0.164612532,153248.7574,270947.7536,-2.474885929,2.474885929
21,43008,45056,2048,0.9752380952,1.021678005,0.1944271655,230326.4282,313760.1728,-1.342540428,1.342540428
22,45056,47104,2048,1.021678005,1.068117914,0.1434257096,218041.8349,139794.7933,1.930488317,-1.930488317
23,47104,49152,2048,1.068117914,1.114557823,0.1610226318,281657.2248,120857.7516,3.674463851,-3.674463851
24,49152,51200,2048,1.114557823,1.160997732,0.1875632921,282267.7615,323967.3617,-0.5983998005,0.5983998005
25,51200,53248,2048,1.160997732,1.207437642,0.1353408522,46461.5369,170110.1808,-5.636367345,5.636367345
26,53248,55296,2048,1.207437642,1.253877551,0.1815349317,258443.44,354322.7063,-1.370334713,1.370334713
27,55296,57344,2048,1.253877551,1.30031746,0.1485792056,126881.512,473548.2512,-5.719658916,5.719658916
28,57344,59392,2048,1.30031746,1.34675737,0.1554775052,259184.3502,265367.4768,-0.1023892026,0.1023892026
29,59392,61440,2048,1.34675737,1.393197279,0.113549414,101507.4088,67255.84151,1.787677305,-1.787677305
30,61440,63488,2048,1.393197279,1.439637188,0.1627607892,117021.3482,233423.6475,-2.99879754,2.99879754
31,63488,65536,2048,1.439637188,1.486077098,0.2149743764,244777.6159,686123.7827,-4.476307727,4.476307727
32,65536,67584,2048,1.486077098,1.532517007,0.1363089372,64249.65719,98542.06135,-1.85750828,1.85750828
33,67584,69632,2048,1.532517007,1.578956916,0.1189592713,173616.7305,80756.57365,3.324136891,-3.324136891
34,69632,71680,2048,1.578956916,1.625396825,0.1229484157,184361.9356,27291.53502,8.296432957,-8.296432957
35,71680,73728,2048,1.625396825,1.671836735,0.1614050378,251872.5974,304425.4388,-0.8230001994,0.8230001994
36,73728,75776,2048,1.671836735,1.718276644,0.1112100978,104334.4962,93472.01332,0.4774632623,-0.4774632623
37,75776,77824,2048,1.718276644,1.764716553,0.08093910788,100269.4656,15770.33591,8.033277563,-8.033277563
38,77824,79872,2048,1.764716553,1.811156463,0.1039486584,198312.3749,4473.706943,16.46682284,-16.46682284
39,79872,81920,2048,1.811156463,1.857596372,0.04930725062,36489.9048,1325.325259,14.39850255,-14.39850255
40,81920,83968,2048,1.857596372,1.904036281,0.03786544767,34772.44236,782.7396391,16.47617868,-16.47617868
41,83968,86016,2048,1.904036281,1.95047619,0.0816891835,66959.80478,703.9958682,19.78244069,-19.78244069
42,86016,88064,2048,1.95047619,1.9969161,0.1116238654,199087.0683,483.1863008,26.14928439,-26.14928439
43,88064,90112,2048,1.9969161,2.043356009,0.1105280423,199757.1717,146.4092403,31.34933893,-31.34933893
44,90112,92160,2048,2.043356009,2.089795918,0.05816099208,61303.73324,23.29606815,34.20204295,-34.20204295
45,92160,94208,2048,2.089795918,2.136235828,0.04214868922,39034.73402,1193.357059,15.14680818,-15.14680818
46,94208,96256,2048,2.136235828,2.182675737,0.05054704836,37245.74504,3345.392806,10.46629547,-10.46629547
47,96256,98304,2048,2.182675737,2.229115646,0.05664423354,49457.07309,1737.491978,14.54305603,-14.54305603
