frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.1975255497,11757.77669,715500.0913,-17.84284486,17.84284486
1,2048,4096,2048,0.0464399093,0.09287981859,0.1761937376,10918.20372,808457.6142,-18.69506062,18.69506062
2,4096,6144,2048,0.09287981859,0.1393197279,0.1757262111,11029.21279,799886.9464,-18.60484094,18.60484094
3,6144,8192,2048,0.1393197279,0.1857596372,0.1987741137,101341.4031,758496.6035,-8.741667275,8.741667275
4,8192,10240,2048,0.1857596372,0.2321995465,0.144494369,268213.8114,93873.06416,4.559401435,-4.559401435
5,10240,12288,2048,0.2321995465,0.2786394558,0.1692119407,401001.5695,110967.4359,5.579505213,-5.579505213
6,12288,14336,2048,0.2786394558,0.3250793651,0.1782647756,117316.4959,467774.5273,-6.00677486,6.00677486
7,14336,16384,2048,0.3250793651,0.3715192744,0.1484635518,66893.84581,239605.2531,-5.541101705,5.541101705
8,16384,18432,2048,0.3715192744,0.4179591837,0.1570989348,415026.1225,193107.521,3.322762441,-3.322762441
9,18432,20480,2048,0.4179591837,0.464399093,0.1409605484,68214.3135,303496.7602,-6.482785465,6.482785465
10,20480,22528,2048,0.464399093,0.5108390023,0.1602719974,71793.72555,356376.5981,-6.958226874,6.958226874
11,22528,24576,2048,0.5108390023,0.5572789116,0.1569240789,27615.99313,452073.0482,-12.1404795,12.1404795
12,24576,26624,2048,0.5572789116,0.6037188209,0.1466856042,175793.0889,205870.2928,-0.6859188488,0.6859188488
13,26624,28672,2048,0.6037188209,0.6501587302,0.1536930423,153773.5568,219188.7245,-1.539365496,1.539365496
14,28672,30720,2048,0.6501587302,0.6965986395,0.1711933744,171408.5359,374138.2213,-3.389996317,3.389996317
15,30720,32768,2048,0.6965986395,0.7430385488,0.1563948337,44119.52428,273967.5925,-7.930683723,7.930683723
16,32768,34816,2048,0.7430385488,0.789478458,0.1374918699,136534.691,239985.4879,-2.449419685,2.449419685
17,34816,36864,2048,0.789478458,0.8359183673,0.1566402905,85942.32625,198018.833,-3.624993918,3.624993918
18,36864,38912,2048,0.8359183673,0.8823582766,0.2019069068,48361.53926,662416.1861,-11.36630821,11.36630821
19,38912,40960,2048,0.8823582766,0.9287981859,0.1190242658,51245.48433,182369.8949,-5.512975459,5.512975459
20,40960,43008,2048,0.9287981859,0.9752380952,0.1601449989,245761.2553,208155.1451,0.7212626645,-0.7212626645
21,43008,45056,2048,0.9752380952,1.021678005,0.1540466345,152729.9401,539511.6443,-5.480766412,5.480766412
22,45056,47104,2048,1.021678005,1.068117914,0.1294679459,52351.20044,232847.1703,-6.481443198,6.481443198
23,47104,49152,2048,1.068117914,1.114557823,0.1620784824,437654.744,151109.9166,4.618386746,-4.618386746
24,49152,51200,2048,1.114557823,1.160997732,0.1712829108,335499.1869,341498.623,-0.07697484963,0.07697484963
25,51200,53248,2048,1.160997732,1.207437642,0.1386529437,40709.17109,269284.5833,-8.20519231,8.20519231
26,53248,55296,2048,1.207437642,1.253877551,0.09100613498,42095.94872,89751.69371,-3.288023513,3.288023513
27,55296,57344,2048,1.253877551,1.30031746,0.06934907686,23355.90854,55215.06764,-3.736608427,3.736608427
28,57344,59392,2048,1.30031746,1.34675737,0.08231840519,51865.98347,11006.8366,6.732200982,-6.732200982
29,59392,61440,2048,1.34675737,1.393197279,0.07767580413,53720.07029,19273.36216,4.4517909,-4.4517909
30,61440,63488,2048,1.393197279,1.439637188,0.08533149222,66058.72617,16474.24427,6.031246937,-6.031246937
31,63488,65536,2048,1.439637188,1.486077098,0.188679715,722058.532,15524.51378,16.67554397,-16.67554397
32,65536,67584,2048,1.486077098,1.532517007,0.2233056255,650716.9319,10239.95073,18.0309424,-18.0309424
33,67584,69632,2048,1.532517007,1.578956916,0.2360832443,941087.1016,4291.309408,23.41039992,-23.41039992
34,69632,71680,2048,1.578956916,1.625396825,0.208027694,773046.5992,5838.777502,21.21883748,-21.21883748
35,71680,73728,2048,1.625396825,1.671836735,0.181406476,544157.5466,5183.388917,20.21110861,-20.21110861
36,73728,75776,2048,1.671836735,1.718276644,0.1369882455,248948.6155,2040.33659,20.86407897,-20.86407897
37,75776,77824,2048,1.718276644,1.764716553,0.189482367,780886.093,5044.022663,21.89810659,-21.89810659
38,77824,79872,2048,1.764716553,1.811156463,0.1955195004,621037.3192,3435.86195,22.57081993,-22.57081993
39,79872,81920,2048,1.811156463,1.857596372,0.1402622705,188405.3444,2005.081373,19.72961216,-19.72961216
40,81920,83968,2048,1.857596372,1.904036281,0.1712247547,351207.7315,2170.620176,22.08980232,-22.08980232
41,83968,86016,2048,1.904036281,1.95047619,0.1802351178,535359.1691,4162.872827,21.09252102,-21.09252102
42,86016,88064,2048,1.95047619,1.9969161,0.1751385048,365724.0039,4909.393604,18.72125613,-18.72125613
