frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.01737735631,4827.179036,1087.908585,6.471010028,-6.471010028
1,2048,4096,2048,0.0464399093,0.09287981859,0.04019075364,11027.54707,14071.8803,-1.058732119,1.058732119
2,4096,6144,2048,0.09287981859,0.1393197279,0.1118818427,241284.3171,54163.54956,6.488219771,-6.488219771
3,6144,8192,2048,0.1393197279,0.1857596372,0.1296741786,267149.9211,57671.77676,6.657917189,-6.657917189
4,8192,10240,2048,0.1857596372,0.2321995465,0.1756760363,167535.3149,350287.7826,-3.203186239,3.203186239
5,10240,12288,2048,0.2321995465,0.2786394558,0.1577765973,132659.3764,339869.9003,-4.085747527,4.085747527
6,12288,14336,2048,0.2786394558,0.3250793651,0.1642641877,443191.6155,86049.32425,7.118440715,-7.118440715
7,14336,16384,2048,0.3250793651,0.3715192744,0.1615912445,370233.3267,75341.17627,6.91443113,-6.91443113
8,16384,18432,2048,0.3715192744,0.4179591837,0.1448837703,305164.0212,25096.73243,10.84916149,-10.84916149
9,18432,20480,2048,0.4179591837,0.464399093,0.1645446983,334277.7386,116060.1353,4.59424383,-4.59424383
10,20480,22528,2048,0.464399093,0.5108390023,0.1661044834,331369.8328,135896.7062,3.871040381,-3.871040381
11,22528,24576,2048,0.5108390023,0.5572789116,0.1469272232,167672.9817,215663.2486,-1.093130553,1.093130553
12,24576,26624,2048,0.5572789116,0.6037188209,0.1292547845,34870.05142,238411.2811,-8.348742136,8.348742136
13,26624,28672,2048,0.6037188209,0.6501587302,0.1352454702,134455.066,190810.2927,-1.520246275,1.520246275
14,28672,30720,2048,0.6501587302,0.6965986395,0.1397774597,342004.5209,44064.36555,8.899443255,-8.899443255
15,30720,32768,2048,0.6965986395,0.7430385488,0.1551722999,275185.8473,150318.8187,2.626127403,-2.626127403
16,32768,34816,2048,0.7430385488,0.789478458,0.1414358838,150082.9744,174610.7081,-0.6573944526,0.6573944526
17,34816,36864,2048,0.789478458,0.8359183673,0.1310280746,106711.4083,187497.9785,-2.447857385,2.447857385
18,36864,38912,2048,0.8359183673,0.8823582766,0.1298536564,48819.37008,264768.8149,-7.342746602,7.342746602
19,38912,40960,2048,0.8823582766,0.9287981859,0.1345883548,316386.2582,43140.68687,8.653305567,-8.653305567
