frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.0549432865,41603.57358,8360.412227,6.969029447,-6.969029447
1,2048,4096,2048,0.0464399093,0.09287981859,0.1418690759,150218.8495,263115.6852,-2.43422307,2.43422307
2,4096,6144,2048,0.09287981859,0.1393197279,0.1553907355,148471.1042,165519.4515,-0.4720710003,0.4720710003
3,6144,8192,2048,0.1393197279,0.1857596372,0.1127065567,95921.7943,65157.13625,1.679553058,-1.679553058
4,8192,10240,2048,0.1857596372,0.2321995465,0.1252071804,137903.8205,118696.0071,0.6514018836,-0.6514018836
5,10240,12288,2048,0.2321995465,0.2786394558,0.1639490832,435791.0716,124057.8139,5.456542041,-5.456542041
6,12288,14336,2048,0.2786394558,0.3250793651,0.1245219046,175871.9674,41906.57325,6.229144724,-6.229144724
7,14336,16384,2048,0.3250793651,0.3715192744,0.1227038017,200801.9339,39044.06336,7.112128823,-7.112128823
8,16384,18432,2048,0.3715192744,0.4179591837,0.09681480244,111393.8823,72912.31552,1.840604497,-1.840604497
9,18432,20480,2048,0.4179591837,0.464399093,0.1672441564,384517.5409,93332.42275,6.148836167,-6.148836167
10,20480,22528,2048,0.464399093,0.5108390023,0.1891553814,521888.9672,45910.98847,10.55661473,-10.55661473
11,22528,24576,2048,0.5108390023,0.5572789116,0.1534536217,309897.8016,56549.60438,7.387889244,-7.387889244
12,24576,26624,2048,0.5572789116,0.6037188209,0.1060468065,106285.1673,102183.6217,0.170913691,-0.170913691
13,26624,28672,2048,0.6037188209,0.6501587302,0.1103758211,96383.41603,107486.4847,-0.47351545,0.47351545
14,28672,30720,2048,0.6501587302,0.6965986395,0.160937706,553893.6028,64776.68966,9.320075991,-9.320075991
15,30720,32768,2048,0.6965986395,0.7430385488,0.08806115781,105741.3083,48778.36108,3.360174754,-3.360174754
16,32768,34816,2048,0.7430385488,0.789478458,0.1544906959,509026.1357,60528.95542,9.247769024,-9.247769024
17,34816,36864,2048,0.789478458,0.8359183673,0.1216380883,119186.2976,51322.97771,3.659144833,-3.659144833
18,36864,38912,2048,0.8359183673,0.8823582766,0.1022136788,171001.3842,45304.13167,5.76861815,-5.76861815
19,38912,40960,2048,0.8823582766,0.9287981859,0.1498966746,245597.7836,175790.1735,1.452298484,-1.452298484
20,40960,43008,2048,0.9287981859,0.9752380952,0.1209651142,119869.0627,48998.59511,3.885234812,-3.885234812
