frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,energy_50_1000,energy_1000_5000,alpha_ratio_db_low_over_high,alpha_ratio_db_high_over_low_check
0,0,2048,2048,0,0.0464399093,0.01000819947,311.4911003,745.9347408,-3.792551914,3.792551914
1,2048,4096,2048,0.0464399093,0.09287981859,0.01290522241,275.2260133,2136.418839,-8.899969196,8.899969196
2,4096,6144,2048,0.09287981859,0.1393197279,0.1175606724,18199.5514,118097.4517,-8.121798433,8.121798433
3,6144,8192,2048,0.1393197279,0.1857596372,0.164442949,87997.59167,329156.1925,-5.729312435,5.729312435
4,8192,10240,2048,0.1857596372,0.2321995465,0.1646709431,69495.65363,419452.0089,-7.807246347,7.807246347
5,10240,12288,2048,0.2321995465,0.2786394558,0.1580527311,89390.63148,308138.3271,-5.374537151,5.374537151
6,12288,14336,2048,0.2786394558,0.3250793651,0.1419049199,64657.91377,214064.0421,-5.19922034,5.19922034
7,14336,16384,2048,0.3250793651,0.3715192744,0.1664827686,83034.95864,377424.8027,-6.575694629,6.575694629
8,16384,18432,2048,0.3715192744,0.4179591837,0.09646260379,9747.383989,68782.61167,-8.485905869,8.485905869
9,18432,20480,2048,0.4179591837,0.464399093,0.1026836805,20545.74839,98724.95952,-6.81704999,6.81704999
10,20480,22528,2048,0.464399093,0.5108390023,0.122268661,122507.9827,218796.0109,-2.518750113,2.518750113
11,22528,24576,2048,0.5108390023,0.5572789116,0.1131690707,23638.77276,196560.7828,-9.198719472,9.198719472
12,24576,26624,2048,0.5572789116,0.6037188209,0.1125408454,45548.37742,234411.0028,-7.115050821,7.115050821
13,26624,28672,2048,0.6037188209,0.6501587302,0.09952039847,11012.75725,164073.9354,-11.73143529,11.73143529
14,28672,30720,2048,0.6501587302,0.6965986395,0.09600444179,63903.20513,76259.83924,-0.7677324424,0.7677324424
15,30720,32768,2048,0.6965986395,0.7430385488,0.1426059321,72911.50116,365289.4616,-6.998411033,6.998411033
16,32768,34816,2048,0.7430385488,0.789478458,0.1121541156,45668.91824,156830.1098,-5.358087219,5.358087219
17,34816,36864,2048,0.789478458,0.8359183673,0.1428427739,11029.19291,259755.4733,-13.72020974,13.72020974
18,36864,38912,2048,0.8359183673,0.8823582766,0.113548613,27392.14819,63268.36673,-3.635605308,3.635605308
19,38912,40960,2048,0.8823582766,0.9287981859,0.1133180227,69297.9707,168200.4253,-3.851065724,3.851065724
20,40960,43008,2048,0.9287981859,0.9752380952,0.1265989874,44938.65894,293150.3124,-8.144702533,8.144702533
21,43008,45056,2048,0.9752380952,1.021678005,0.1165735669,30524.79817,175052.7745,-7.585161975,7.585161975
22,45056,47104,2048,1.021678005,1.068117914,0.1122973883,24038.8209,108839.5711,-6.5587366,6.5587366
23,47104,49152,2048,1.068117914,1.114557823,0.1165130685,48741.1121,194067.9574,-6.000584007,6.000584007
24,49152,51200,2048,1.114557823,1.160997732,0.0863255791,38286.9667,110955.6318,-4.620983901,4.620983901
25,51200,53248,2048,1.160997732,1.207437642,0.1127877342,74513.6327,258990.0345,-5.410473168,5.410473168
26,53248,55296,2048,1.207437642,1.253877551,0.1087961568,9450.290807,367843.1879,-15.90217545,15.90217545
27,55296,57344,2048,1.253877551,1.30031746,0.128612732,110000.4138,229302.7045,-3.190148581,3.190148581
28,57344,59392,2048,1.30031746,1.34675737,0.0955306178,28417.39186,132017.1143,-6.670460197,6.670460197
29,59392,61440,2048,1.34675737,1.393197279,0.107266017,68156.59998,263806.8757,-5.877781932,5.877781932
30,61440,63488,2048,1.393197279,1.439637188,0.1049636751,6152.577273,269031.3109,-16.40745751,16.40745751
31,63488,65536,2048,1.439637188,1.486077098,0.1220570522,29638.34936,228158.0209,-8.86381728,8.86381728
32,65536,67584,2048,1.486077098,1.532517007,0.08815867581,31477.79919,104819.6709,-5.224384313,5.224384313
33,67584,69632,2048,1.532517007,1.578956916,0.1263120802,78126.34161,56621.3478,1.398172852,-1.398172852
34,69632,71680,2048,1.578956916,1.625396825,0.1256501894,14347.6474,94743.6134,-8.197692489,8.197692489
35,71680,73728,2048,1.625396825,1.671836735,0.08370496612,23950.55364,155063.7014,-8.111945895,8.111945895
36,73728,75776,2048,1.671836735,1.718276644,0.03620783747,4061.242231,11806.22925,-4.634523185,4.634523185
37,75776,77824,2048,1.718276644,1.764716553,0.02715455957,7270.411006,6060.367678,0.7905998946,-0.7905998946
38,77824,79872,2048,1.764716553,1.811156463,0.01794697313,2002.796645,1618.575312,0.9250394333,-0.9250394333
39,79872,81920,2048,1.811156463,1.857596372,0.01557138103,1208.286916,1903.791432,-1.974492953,1.974492953
40,81920,83968,2048,1.857596372,1.904036281,0.01646137484,3815.07117,718.2046856,7.2525441,-7.2525441
41,83968,86016,2048,1.904036281,1.95047619,0.01161287582,1966.537256,288.817149,8.330792019,-8.330792019
42,86016,88064,2048,1.95047619,1.9969161,0.003329881358,108.9745979,41.51176859,4.191540384,-4.191540384
43,88064,90112,2048,1.9969161,2.043356009,0.003998868772,134.0038666,38.51498646,5.414875805,-5.414875805
44,90112,92160,2048,2.043356009,2.089795918,0.008765457005,1104.604092,12.76576219,19.37159898,-19.37159898
45,92160,94208,2048,2.089795918,2.136235828,0.0115023797,2773.065619,6.623455564,26.21875519,-26.21875519
46,94208,96256,2048,2.136235828,2.182675737,0.01391696296,3333.38545,7.396921943,26.538345,-26.538345
47,96256,98304,2048,2.182675737,2.229115646,0.01816785375,4846.279546,3.418794261,31.51535495,-31.51535495
48,98304,100352,2048,2.229115646,2.275555556,0.0201846494,6748.311564,12.15540877,27.44425557,-27.44425557
49,100352,102400,2048,2.275555556,2.321995465,0.0224399426,14387.74132,72.18215831,22.99562757,-22.99562757
50,102400,104448,2048,2.321995465,2.368435374,0.01875625818,4022.149614,68.74494188,17.67217472,-17.67217472
51,104448,106496,2048,2.368435374,2.414875283,0.02297563819,6181.935804,34.70769278,22.50698746,-22.50698746
52,106496,108544,2048,2.414875283,2.461315193,0.02786974684,8638.771597,113.8056401,18.80288206,-18.80288206
53,108544,110592,2048,2.461315193,2.507755102,0.01499373794,2736.007495,99.08059082,14.41128695,-14.41128695
54,110592,112640,2048,2.507755102,2.554195011,0.02645250897,12270.70209,278.02471,16.44786016,-16.44786016
55,112640,114688,2048,2.554195011,2.600634921,0.03257359119,15248.30212,156.4452838,19.88859013,-19.88859013
56,114688,116736,2048,2.600634921,2.64707483,0.03881973079,32215.12198,323.8708085,19.97687975,-19.97687975
57,116736,118784,2048,2.64707483,2.693514739,0.01683283606,6107.78676,106.4058106,17.58918522,-17.58918522
58,118784,120832,2048,2.693514739,2.739954649,0.02425979011,10771.5139,172.1102701,17.9646996,-17.9646996
59,120832,122880,2048,2.739954649,2.786394558,0.03316501951,12877.80599,142.3857006,19.56375501,-19.56375501
60,122880,124928,2048,2.786394558,2.832834467,0.02798842179,7004.907574,98.64324512,18.51335058,-18.51335058
61,124928,126976,2048,2.832834467,2.879274376,0.01118061018,990.377076,30.35132032,15.13622991,-15.13622991
