input_file,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,n_frames,n_short_frames,low_band_hz,high_band_hz,alpha_definition,median_alpha_ratio_db,mean_alpha_ratio_db,sd_alpha_ratio_db,min_alpha_ratio_db,max_alpha_ratio_db,framewise_csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,44100,2.693514739,2048,2048,58,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),7.935618014,10.33043175,9.352376757,-3.3167126,34.7387606,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E01after_tanto-tanto_20160401_caro-mio-ben_01_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E01before_tanto-tanto_20141001_02_mono.wav,44100,1.811156463,2048,2048,39,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),3.326847889,8.315565502,10.99903349,-11.60232634,30.58997221,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E01before_tanto-tanto_20141001_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E02after_20160401_tanto-tanto_01_44100_mono.wav,44100,1.9969161,2048,2048,43,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-5.193827011,-2.328349188,13.70526413,-33.84708763,25.52380273,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E02after_20160401_tanto-tanto_01_44100_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E02before_20141001_tanto-tanto_01_44100_mono.wav,44100,2.043356009,2048,2048,44,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),10.69340581,11.72143803,9.222914435,-6.202069882,27.78367181,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E02before_20141001_tanto-tanto_01_44100_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E03after_tanto-tanto_20240223_caro-mio-ben_02_mono.wav,44100,2.182675737,2048,2048,47,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),3.155298201,4.600847659,9.117359695,-16.15611095,22.57906405,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E03after_tanto-tanto_20240223_caro-mio-ben_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,44100,2.043356009,2048,2048,44,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),5.143708089,5.829658644,9.823861244,-12.36802379,24.58714574,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E04after_20240223_tanto-tanto_02_mono.wav,44100,2.554195011,2048,2048,55,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),3.329429991,6.890110496,8.901848824,-10.27420928,25.48468063,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E04after_20240223_tanto-tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E04before_20220607_tanto-tanto_02_mono.wav,44100,2.600634921,2048,2048,56,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),6.984012357,6.866152721,9.956580333,-12.55215256,22.51428983,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E04before_20220607_tanto-tanto_02_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E05after_tanto-tanto240206_0629caro-2_mono.wav,44100,1.811156463,2048,2048,39,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-4.744079184,-3.722173398,13.5814073,-26.7025354,23.07674595,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E05after_tanto-tanto240206_0629caro-2_mono_alpha_ratio_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E05before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,44100,2.182675737,2048,2048,47,0,50-1000,1000-5000,10log10(E_50_1000/E_1000_5000),-6.224340361,1.816443462,16.8121853,-25.85969209,30.69331131,/mnt/data/Acoustic_Analysis_Results_2026-08-18/01_Alpha_Ratio/E05before_tanto-tanto_20220531_caro-mio-ben_02_mono_alpha_ratio_framewise.csv
