OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav | median alpha ratio = 7.935618 dB | frames = 58
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E01before_tanto-tanto_20141001_02_mono.wav | median alpha ratio = 3.326848 dB | frames = 39
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E02after_20160401_tanto-tanto_01_44100_mono.wav | median alpha ratio = -5.193827 dB | frames = 43
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E02before_20141001_tanto-tanto_01_44100_mono.wav | median alpha ratio = 10.693406 dB | frames = 44
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E03after_tanto-tanto_20240223_caro-mio-ben_02_mono.wav | median alpha ratio = 3.155298 dB | frames = 47
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav | median alpha ratio = 5.143708 dB | frames = 44
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E04after_20240223_tanto-tanto_02_mono.wav | median alpha ratio = 3.329430 dB | frames = 55
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E04before_20220607_tanto-tanto_02_mono.wav | median alpha ratio = 6.984012 dB | frames = 56
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E05after_tanto-tanto240206_0629caro-2_mono.wav | median alpha ratio = -4.744079 dB | frames = 39
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E05before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav | median alpha ratio = -6.224340 dB | frames = 47
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav | median alpha ratio = 1.966646 dB | frames = 53
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E06before_tanto-tanto_20220607_caro-mio-ben_02_mono.wav | median alpha ratio = 6.132984 dB | frames = 47
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav | median alpha ratio = -2.188370 dB | frames = 43
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E07before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav | median alpha ratio = -2.723168 dB | frames = 37
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/M2025_tanto_tanto_mono.wav | median alpha ratio = 2.385933 dB | frames = 61
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01after_20190408tanto_tanto_02_mono.wav | median alpha ratio = -0.685919 dB | frames = 43
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V01before_20170508_tanto_tanto_02_mono.wav | median alpha ratio = 2.439041 dB | frames = 46
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02after_20240524_tanto_tanto_02_mono.wav | median alpha ratio = 3.588101 dB | frames = 52
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V02before_20220531_tanto_tanto_02_mono.wav | median alpha ratio = 10.019114 dB | frames = 67
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03after_20190407_tanto_tanto_02_mono.wav | median alpha ratio = -0.395874 dB | frames = 50
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V03before_20170508_tanto_tanto_02_mono.wav | median alpha ratio = -2.111045 dB | frames = 61
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04after_20200706_tanto_tanto_02_mono.wav | median alpha ratio = -0.881847 dB | frames = 76
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V04before_20180730_tanto_tanto_02_mono.wav | median alpha ratio = 5.112134 dB | frames = 50
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05after_20240502_tanto_tanto_02_mono.wav | median alpha ratio = -2.192675 dB | frames = 47
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V05before_20220420_tanto_tanto_02_mono.wav | median alpha ratio = -3.703497 dB | frames = 47
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06after_20240618_tanto_tanto_02_mono.wav | median alpha ratio = -0.715535 dB | frames = 49
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V06before_20220530_tanto_tanto_02_mono.wav | median alpha ratio = 3.749170 dB | frames = 76
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07after_20200629_tnto_tanto_02_mono.wav | median alpha ratio = 5.768618 dB | frames = 53
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V07before_20180730_tanto_tanto_02_mono.wav | median alpha ratio = 1.975805 dB | frames = 53
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08after_20240422_tanto_tanto_02_mono.wav | median alpha ratio = 2.649255 dB | frames = 48
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V08before_20220420_tanto_tanto_01_mono.wav | median alpha ratio = -1.529888 dB | frames = 46
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09after_20190508_tanto_tanto_02_mono.wav | median alpha ratio = 1.837233 dB | frames = 68
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V09before_20170526_tanto_tanto_02_mono.wav | median alpha ratio = -3.821809 dB | frames = 62
OK: /mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/V10after_20240501_tanto_tanto_02_mono.wav | median alpha ratio = -7.158517 dB | frames = 46
