frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-29.704698,0.964304,1,,6.382858,0.001533947,651.912811,
1,2048,4096,2048,0.046439909,0.092879819,0,-21.809438,0.990086,1,,7.864455,0.001746101,572.704530,
2,4096,6144,2048,0.092879819,0.139319728,0,-15.868611,0.990227,1,,8.747218,0.001724231,579.968542,
3,6144,8192,2048,0.139319728,0.185759637,0,-13.992091,0.990196,1,,9.520559,0.001485620,673.119468,
4,8192,10240,2048,0.185759637,0.232199546,0,-13.442300,0.989730,1,,9.117386,0.001715329,582.978488,
5,10240,12288,2048,0.232199546,0.278639456,0,-12.838554,0.989080,1,,8.257938,0.001478022,676.579772,
6,12288,14336,2048,0.278639456,0.325079365,0,-13.708763,0.990149,1,,10.709726,0.001749028,571.746132,
7,14336,16384,2048,0.325079365,0.371519274,0,-14.539238,0.974557,1,,12.709530,0.001503417,665.151265,
8,16384,18432,2048,0.371519274,0.417959184,0,-13.153216,0.979759,1,,10.618911,0.001426363,701.083737,
9,18432,20480,2048,0.417959184,0.464399093,0,-13.385672,0.990869,1,,9.733807,0.001436081,696.339622,
10,20480,22528,2048,0.464399093,0.510839002,0,-16.203350,0.989697,1,,11.765228,0.001427103,700.720082,
11,22528,24576,2048,0.510839002,0.557278912,0,-20.123888,0.984365,1,,13.090905,0.001400634,713.962198,
12,24576,26624,2048,0.557278912,0.603718821,0,-13.832326,0.988506,1,,11.637639,0.001372768,728.455168,
13,26624,28672,2048,0.603718821,0.650158730,0,-16.184016,0.979722,1,,13.454382,0.001583692,631.436010,
14,28672,30720,2048,0.650158730,0.696598639,0,-17.146209,0.983140,1,,12.828430,0.001433584,697.552474,
15,30720,32768,2048,0.696598639,0.743038549,0,-17.989588,0.973250,1,,12.202111,0.001534257,651.781263,
16,32768,34816,2048,0.743038549,0.789478458,0,-17.381745,0.989150,1,,12.909916,0.001530222,653.499850,
17,34816,36864,2048,0.789478458,0.835918367,0,-16.344991,0.983195,1,,13.474394,0.001416334,706.048325,
18,36864,38912,2048,0.835918367,0.882358277,0,-15.045425,0.988093,1,,11.525258,0.001533859,651.950593,
19,38912,40960,2048,0.882358277,0.928798186,0,-15.815005,0.971660,1,,11.884109,0.001382182,723.493633,
20,40960,43008,2048,0.928798186,0.975238095,0,-16.368204,0.989293,1,,11.588389,0.001518605,658.498998,
21,43008,45056,2048,0.975238095,1.021678005,0,-13.147030,0.990783,1,,11.739921,0.001717078,582.384811,
22,45056,47104,2048,1.021678005,1.068117914,0,-11.715731,0.988073,1,,11.509987,0.001346961,742.411892,
23,47104,49152,2048,1.068117914,1.114557823,0,-16.263821,0.987587,1,,13.896952,0.001361999,734.214826,
24,49152,51200,2048,1.114557823,1.160997732,0,-26.580943,0.976854,1,,12.140843,0.001709452,584.982820,
25,51200,53248,2048,1.160997732,1.207437642,0,-33.952616,0.858988,1,,10.515838,0.001680273,595.141253,
26,53248,55296,2048,1.207437642,1.253877551,0,-38.040346,0.939572,1,,10.068774,0.001728070,578.680204,
27,55296,57344,2048,1.253877551,1.300317460,0,-44.451749,0.953460,1,,6.482977,0.001710870,584.497801,
28,57344,59392,2048,1.300317460,1.346757370,0,-39.299074,0.720843,1,,5.140270,0.001429273,699.656278,
29,59392,61440,2048,1.346757370,1.393197279,0,-33.233465,0.969085,1,,7.366415,0.002286642,437.322430,
30,61440,63488,2048,1.393197279,1.439637188,0,-29.838186,0.980154,1,,6.386522,0.002245577,445.319844,
31,63488,65536,2048,1.439637188,1.486077098,0,-30.696349,0.981784,1,,7.969816,0.002159169,463.141067,
32,65536,67584,2048,1.486077098,1.532517007,0,-30.811518,0.981851,1,,7.782029,0.002399753,416.709478,
33,67584,69632,2048,1.532517007,1.578956916,0,-26.185608,0.983489,1,,9.127698,0.002111220,473.659689,
34,69632,71680,2048,1.578956916,1.625396825,0,-24.160085,0.983798,1,,9.955946,0.002373164,421.378444,
35,71680,73728,2048,1.625396825,1.671836735,0,-24.194781,0.981933,1,,11.368784,0.002183827,457.911659,
36,73728,75776,2048,1.671836735,1.718276644,0,-28.145456,0.978029,1,,11.322388,0.002213287,451.816714,
37,75776,77824,2048,1.718276644,1.764716553,0,-26.933358,0.977988,1,,10.031207,0.002225639,449.309219,
38,77824,79872,2048,1.764716553,1.811156463,0,-26.813484,0.981134,1,,9.839234,0.002110683,473.780283,
