frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-13.650232,0.978487,1,,6.243425,0.001834982,544.964477,
1,2048,4096,2048,0.046439909,0.092879819,0,-11.955294,0.988192,1,,6.262118,0.001485318,673.256548,
2,4096,6144,2048,0.092879819,0.139319728,0,-12.697481,0.986879,1,,8.573243,0.001730697,577.801810,
3,6144,8192,2048,0.139319728,0.185759637,0,-10.849453,0.987704,1,,9.121989,0.001409813,709.313740,
4,8192,10240,2048,0.185759637,0.232199546,0,-12.030336,0.991501,1,,8.883596,0.001671854,598.138525,
5,10240,12288,2048,0.232199546,0.278639456,0,-10.173360,0.991626,1,,8.590666,0.001401930,713.302270,
6,12288,14336,2048,0.278639456,0.325079365,0,-11.207575,0.991876,1,,10.020174,0.001601868,624.271138,
7,14336,16384,2048,0.325079365,0.371519274,0,-9.303745,0.991336,1,,10.277597,0.001682219,594.452984,
8,16384,18432,2048,0.371519274,0.417959184,0,-12.377761,0.986174,1,,10.785313,0.001772658,564.124517,
9,18432,20480,2048,0.417959184,0.464399093,0,-11.273590,0.988851,1,,9.949372,0.001784978,560.230967,
10,20480,22528,2048,0.464399093,0.510839002,0,-11.102119,0.990966,1,,8.552048,0.001814517,551.110943,
11,22528,24576,2048,0.510839002,0.557278912,0,-13.160719,0.988331,1,,9.381219,0.001702625,587.328392,
12,24576,26624,2048,0.557278912,0.603718821,0,-14.863129,0.989682,1,,9.143493,0.001779810,561.857777,
13,26624,28672,2048,0.603718821,0.650158730,0,-12.515536,0.991816,1,,9.754023,0.001827381,547.231159,
14,28672,30720,2048,0.650158730,0.696598639,0,-10.358238,0.991621,1,,10.464489,0.001810123,552.448617,
15,30720,32768,2048,0.696598639,0.743038549,0,-15.329470,0.990746,1,,8.973524,0.001392164,718.305996,
16,32768,34816,2048,0.743038549,0.789478458,0,-14.137555,0.991054,1,,10.176993,0.001808707,552.881246,
17,34816,36864,2048,0.789478458,0.835918367,0,-12.552100,0.987041,1,,9.108262,0.001826624,547.457907,
18,36864,38912,2048,0.835918367,0.882358277,0,-13.215834,0.991075,1,,9.251655,0.001609464,621.324700,
19,38912,40960,2048,0.882358277,0.928798186,0,-12.755663,0.990780,1,,9.542404,0.001805401,553.893696,
20,40960,43008,2048,0.928798186,0.975238095,0,-10.107373,0.989945,1,,10.279248,0.001371759,728.991212,
21,43008,45056,2048,0.975238095,1.021678005,0,-9.668613,0.990653,1,,10.258987,0.001464770,682.701023,
22,45056,47104,2048,1.021678005,1.068117914,0,-11.836812,0.992151,1,,10.203183,0.001454404,687.566826,
23,47104,49152,2048,1.068117914,1.114557823,0,-11.519562,0.992092,1,,9.881724,0.001457012,686.336290,
24,49152,51200,2048,1.114557823,1.160997732,0,-14.133874,0.990853,1,,11.310553,0.001431567,698.535013,
25,51200,53248,2048,1.160997732,1.207437642,0,-16.754603,0.987726,1,,9.237128,0.001394146,717.285067,
26,53248,55296,2048,1.207437642,1.253877551,0,-14.553837,0.989669,1,,11.329826,0.001464123,683.002714,
27,55296,57344,2048,1.253877551,1.300317460,0,-11.638115,0.988284,1,,14.040361,0.001413682,707.372478,
28,57344,59392,2048,1.300317460,1.346757370,0,-10.789910,0.991433,1,,12.063494,0.001445794,691.661447,
29,59392,61440,2048,1.346757370,1.393197279,0,-18.181254,0.979549,1,,10.613802,0.001428804,699.885971,
30,61440,63488,2048,1.393197279,1.439637188,0,-22.831108,0.982555,1,,9.070087,0.001785303,560.129008,
31,63488,65536,2048,1.439637188,1.486077098,0,-30.148413,0.957716,1,,8.302162,0.001600524,624.795445,
32,65536,67584,2048,1.486077098,1.532517007,0,-35.319961,0.965849,1,,8.058051,0.001414007,707.209874,
33,67584,69632,2048,1.532517007,1.578956916,0,-26.862237,0.621627,1,,3.861278,0.001226525,815.311343,
34,69632,71680,2048,1.578956916,1.625396825,0,-19.107951,0.939313,1,,6.906394,0.002124248,470.754739,
35,71680,73728,2048,1.625396825,1.671836735,0,-18.611647,0.982594,1,,6.476282,0.002128734,469.762814,
36,73728,75776,2048,1.671836735,1.718276644,0,-18.265085,0.981107,1,,9.017881,0.002154154,464.219257,
37,75776,77824,2048,1.718276644,1.764716553,0,-17.497416,0.981134,1,,10.582121,0.002174764,459.820004,
38,77824,79872,2048,1.764716553,1.811156463,0,-13.768879,0.981768,1,,8.884268,0.002132843,468.857820,
39,79872,81920,2048,1.811156463,1.857596372,0,-14.834742,0.977785,1,,9.116083,0.002144903,466.221512,
40,81920,83968,2048,1.857596372,1.904036281,0,-18.287918,0.979011,1,,8.969197,0.002103558,475.384961,
41,83968,86016,2048,1.904036281,1.950476190,0,-13.443560,0.983627,1,,8.051458,0.002094559,477.427536,
42,86016,88064,2048,1.950476190,1.996916100,0,-12.876309,0.983575,1,,7.997882,0.002051452,487.459673,
