frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-20.711241,0.967617,1,,9.242052,0.001616499,618.620759,
1,2048,4096,2048,0.046439909,0.092879819,0,-16.325773,0.989974,1,,7.071420,0.001644213,608.193742,
2,4096,6144,2048,0.092879819,0.139319728,0,-14.998374,0.987722,1,,8.053656,0.001353429,738.864215,
3,6144,8192,2048,0.139319728,0.185759637,0,-15.280535,0.984147,1,,9.041112,0.001391679,718.556392,
4,8192,10240,2048,0.185759637,0.232199546,0,-16.404414,0.968745,1,,8.420179,0.001459673,685.084934,
5,10240,12288,2048,0.232199546,0.278639456,0,-14.494094,0.988532,1,,8.351152,0.001471939,679.375982,
6,12288,14336,2048,0.278639456,0.325079365,0,-13.216795,0.989264,1,,9.607903,0.001449465,689.909820,
7,14336,16384,2048,0.325079365,0.371519274,0,-13.106338,0.990289,1,,7.615304,0.001393674,717.527770,
8,16384,18432,2048,0.371519274,0.417959184,0,-13.287824,0.987285,1,,11.951981,0.001473460,678.674664,
9,18432,20480,2048,0.417959184,0.464399093,0,-10.542417,0.991774,1,,10.153849,0.001413222,707.603154,
10,20480,22528,2048,0.464399093,0.510839002,0,-10.774778,0.991644,1,,11.801158,0.001434188,697.258450,
11,22528,24576,2048,0.510839002,0.557278912,0,-11.197340,0.991343,1,,13.179571,0.001414564,706.931736,
12,24576,26624,2048,0.557278912,0.603718821,0,-11.774183,0.991289,1,,13.476386,0.001701089,587.858595,
13,26624,28672,2048,0.603718821,0.650158730,0,-11.187396,0.990798,1,,10.475905,0.001415375,706.526619,
14,28672,30720,2048,0.650158730,0.696598639,0,-13.093448,0.991011,1,,11.673375,0.001580072,632.882734,
15,30720,32768,2048,0.696598639,0.743038549,0,-11.398629,0.991591,1,,11.690777,0.001414791,706.818194,
16,32768,34816,2048,0.743038549,0.789478458,0,-12.959549,0.990477,1,,11.680772,0.001402037,713.247941,
17,34816,36864,2048,0.789478458,0.835918367,0,-12.928207,0.990321,1,,10.496637,0.001409824,709.308349,
18,36864,38912,2048,0.835918367,0.882358277,0,-13.596981,0.989332,1,,11.089363,0.001408335,710.058420,
19,38912,40960,2048,0.882358277,0.928798186,0,-12.812543,0.991422,1,,10.093786,0.001795689,556.889328,
20,40960,43008,2048,0.928798186,0.975238095,0,-12.627663,0.991563,1,,9.738524,0.001418049,705.194253,
21,43008,45056,2048,0.975238095,1.021678005,0,-12.635911,0.991686,1,,10.099370,0.001784138,560.494660,
22,45056,47104,2048,1.021678005,1.068117914,0,-12.272435,0.991913,1,,10.571790,0.001767991,565.613752,
23,47104,49152,2048,1.068117914,1.114557823,0,-12.653615,0.992083,1,,9.985501,0.001795697,556.886946,
24,49152,51200,2048,1.114557823,1.160997732,0,-13.034907,0.990490,1,,11.366598,0.001419373,704.536313,
25,51200,53248,2048,1.160997732,1.207437642,0,-15.086316,0.982843,1,,10.007533,0.001401334,713.605681,
26,53248,55296,2048,1.207437642,1.253877551,0,-26.013479,0.982167,1,,11.006135,0.001396593,716.028431,
27,55296,57344,2048,1.253877551,1.300317460,0,-31.196004,0.958020,1,,9.643840,0.001764497,566.733616,
28,57344,59392,2048,1.300317460,1.346757370,0,-37.691134,0.932511,1,,7.755551,0.001421564,703.450645,
29,59392,61440,2048,1.346757370,1.393197279,0,-41.729138,0.916886,1,,4.463723,0.001788712,559.061613,
30,61440,63488,2048,1.393197279,1.439637188,0,-19.363822,0.983515,1,,7.082598,0.002287507,437.157063,
31,63488,65536,2048,1.439637188,1.486077098,0,-14.190205,0.985766,1,,10.461964,0.002302751,434.263163,
32,65536,67584,2048,1.486077098,1.532517007,0,-14.952526,0.979451,1,,12.040470,0.002012771,496.827574,
33,67584,69632,2048,1.532517007,1.578956916,0,-14.666614,0.973368,1,,11.489301,0.002184515,457.767499,
34,69632,71680,2048,1.578956916,1.625396825,0,-17.875084,0.974442,1,,11.366092,0.002180111,458.692242,
35,71680,73728,2048,1.625396825,1.671836735,0,-16.064781,0.982565,1,,11.550746,0.002264315,441.634653,
36,73728,75776,2048,1.671836735,1.718276644,0,-11.850148,0.984328,1,,11.045261,0.002213271,451.819936,
37,75776,77824,2048,1.718276644,1.764716553,0,-11.542330,0.983791,1,,12.399111,0.002226782,449.078549,
38,77824,79872,2048,1.764716553,1.811156463,0,-16.132225,0.974053,1,,13.163319,0.002243725,445.687319,
39,79872,81920,2048,1.811156463,1.857596372,0,-19.418537,0.975826,1,,12.635539,0.002219542,450.543458,
40,81920,83968,2048,1.857596372,1.904036281,0,-14.330048,0.983189,1,,14.130035,0.002245623,445.310693,
41,83968,86016,2048,1.904036281,1.950476190,0,-15.197090,0.970698,1,,13.496915,0.002152840,464.502605,
42,86016,88064,2048,1.950476190,1.996916100,0,-15.714434,0.964382,1,,13.120963,0.002258008,442.868143,
43,88064,90112,2048,1.996916100,2.043356009,0,-17.018215,0.980744,1,,11.177474,0.002117441,472.268115,
