frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-39.305065,0.956628,1,,1.908675,0.001217553,821.319690,
1,2048,4096,2048,0.046439909,0.092879819,0,-42.274761,0.915190,1,,3.055949,0.002917205,342.793890,
2,4096,6144,2048,0.092879819,0.139319728,0,-40.934135,0.908430,1,,2.252842,0.003190375,313.442792,
3,6144,8192,2048,0.139319728,0.185759637,0,-38.980988,0.963283,1,,3.087378,0.001020408,980.000000,
4,8192,10240,2048,0.185759637,0.232199546,0,-41.223964,0.934353,1,,1.376772,0.001031512,969.450704,
5,10240,12288,2048,0.232199546,0.278639456,0,-42.042469,0.675414,1,,5.169588,0.001534168,651.819174,
6,12288,14336,2048,0.278639456,0.325079365,0,-31.239800,0.967497,1,,6.896824,0.001521732,657.145816,
7,14336,16384,2048,0.325079365,0.371519274,0,-27.941489,0.980486,1,,6.672271,0.001494515,669.113497,
8,16384,18432,2048,0.371519274,0.417959184,0,-19.940768,0.986055,1,,8.969805,0.001619246,617.571461,
9,18432,20480,2048,0.417959184,0.464399093,0,-19.399886,0.986552,1,,8.585929,0.001636432,611.085438,
10,20480,22528,2048,0.464399093,0.510839002,0,-15.448520,0.986803,1,,7.973521,0.001603120,623.783462,
11,22528,24576,2048,0.510839002,0.557278912,0,-14.872993,0.989352,1,,8.149592,0.001698405,588.787601,
12,24576,26624,2048,0.557278912,0.603718821,0,-16.278823,0.986514,1,,8.096007,0.001662058,601.663758,
13,26624,28672,2048,0.603718821,0.650158730,0,-15.573198,0.990515,1,,9.012018,0.001570075,636.912306,
14,28672,30720,2048,0.650158730,0.696598639,0,-17.844785,0.989329,1,,8.080545,0.001506834,663.643275,
15,30720,32768,2048,0.696598639,0.743038549,0,-18.169882,0.989739,1,,8.706997,0.001570324,636.811406,
16,32768,34816,2048,0.743038549,0.789478458,0,-16.233344,0.989281,1,,11.140668,0.001515703,659.759706,
17,34816,36864,2048,0.789478458,0.835918367,0,-14.196107,0.988964,1,,10.111467,0.001438160,695.333038,
18,36864,38912,2048,0.835918367,0.882358277,0,-17.386010,0.989004,1,,10.284633,0.001416187,706.121337,
19,38912,40960,2048,0.882358277,0.928798186,0,-17.797138,0.986021,1,,11.525262,0.001472465,679.133313,
20,40960,43008,2048,0.928798186,0.975238095,0,-16.590500,0.985249,1,,12.782147,0.001731405,577.565473,
21,43008,45056,2048,0.975238095,1.021678005,0,-15.892513,0.980881,1,,11.686208,0.001746188,572.675883,
22,45056,47104,2048,1.021678005,1.068117914,0,-18.610847,0.988567,1,,13.517911,0.001662417,601.533672,
23,47104,49152,2048,1.068117914,1.114557823,0,-18.244071,0.985768,1,,11.221781,0.001690582,591.512280,
24,49152,51200,2048,1.114557823,1.160997732,0,-17.019052,0.983168,1,,12.599989,0.001761941,567.555818,
25,51200,53248,2048,1.160997732,1.207437642,0,-16.535964,0.986153,1,,11.434767,0.001607648,622.026675,
26,53248,55296,2048,1.207437642,1.253877551,0,-20.331669,0.988169,1,,11.194962,0.001437328,695.735425,
27,55296,57344,2048,1.253877551,1.300317460,0,-19.929244,0.990733,1,,10.423159,0.001508363,662.970175,
28,57344,59392,2048,1.300317460,1.346757370,0,-19.720035,0.991122,1,,9.906489,0.001614200,619.501934,
29,59392,61440,2048,1.346757370,1.393197279,0,-20.358485,0.986400,1,,11.196769,0.001524301,656.038571,
30,61440,63488,2048,1.393197279,1.439637188,0,-26.420701,0.983562,1,,11.337607,0.001528240,654.347615,
31,63488,65536,2048,1.439637188,1.486077098,0,-22.527978,0.987811,1,,11.743717,0.001416157,706.136331,
32,65536,67584,2048,1.486077098,1.532517007,0,-27.158987,0.950009,1,,11.034636,0.001708354,585.358916,
33,67584,69632,2048,1.532517007,1.578956916,0,-33.851357,0.972227,1,,10.290716,0.001612559,620.132173,
34,69632,71680,2048,1.578956916,1.625396825,0,-40.556405,0.961279,1,,9.406425,0.001564741,639.083562,
35,71680,73728,2048,1.625396825,1.671836735,0,-36.093878,0.641865,1,,3.358889,0.001020408,980.000000,
36,73728,75776,2048,1.671836735,1.718276644,0,-34.315065,0.958990,1,,5.121950,0.002404697,415.852735,
37,75776,77824,2048,1.718276644,1.764716553,0,-36.153884,0.955446,1,,7.075197,0.002206337,453.239960,
38,77824,79872,2048,1.764716553,1.811156463,0,-32.965653,0.976815,1,,5.480125,0.002159096,463.156808,
39,79872,81920,2048,1.811156463,1.857596372,0,-36.829947,0.952442,1,,7.998568,0.002170068,460.815128,
40,81920,83968,2048,1.857596372,1.904036281,0,-38.230911,0.951074,1,,7.623857,0.002166615,461.549485,
41,83968,86016,2048,1.904036281,1.950476190,0,-32.623793,0.967589,1,,8.523621,0.002125629,470.448917,
42,86016,88064,2048,1.950476190,1.996916100,0,-26.270429,0.979390,1,,7.802240,0.002154912,464.055981,
43,88064,90112,2048,1.996916100,2.043356009,0,-30.281889,0.968877,1,,8.366160,0.002066729,483.856268,
44,90112,92160,2048,2.043356009,2.089795918,0,-26.452064,0.977988,1,,8.266135,0.002076850,481.498353,
45,92160,94208,2048,2.089795918,2.136235828,0,-32.580766,0.913002,1,,7.865558,0.002275342,439.494374,
46,94208,96256,2048,2.136235828,2.182675737,0,-38.095891,0.942131,1,,3.852505,0.002008783,497.813814,
