frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-24.077527,0.901515,1,,3.299890,0.001327683,753.191787,
1,2048,4096,2048,0.046439909,0.092879819,0,-25.505649,0.891292,1,,2.039754,0.001179122,848.088731,
2,4096,6144,2048,0.092879819,0.139319728,0,-22.803772,0.966397,1,,3.418320,0.001085978,920.829387,
3,6144,8192,2048,0.139319728,0.185759637,0,-23.904605,0.947248,1,,4.396479,0.001480939,675.247450,
4,8192,10240,2048,0.185759637,0.232199546,0,-24.465421,0.960479,1,,2.158864,0.001020408,980.000000,
5,10240,12288,2048,0.232199546,0.278639456,0,-24.115971,0.932710,1,,4.405632,0.001303388,767.231016,
6,12288,14336,2048,0.278639456,0.325079365,0,-19.144609,0.941727,1,,7.260804,0.001523912,656.205958,
7,14336,16384,2048,0.325079365,0.371519274,0,-16.818147,0.972692,1,,7.715531,0.001688112,592.377692,
8,16384,18432,2048,0.371519274,0.417959184,0,-15.555368,0.959755,1,,7.694964,0.001658555,602.934549,
9,18432,20480,2048,0.417959184,0.464399093,0,-17.549387,0.963959,1,,8.655691,0.001694124,590.275692,
10,20480,22528,2048,0.464399093,0.510839002,0,-15.620195,0.969784,1,,8.106091,0.001546350,646.684197,
11,22528,24576,2048,0.510839002,0.557278912,0,-17.029463,0.975578,1,,8.314309,0.001542505,648.296272,
12,24576,26624,2048,0.557278912,0.603718821,0,-17.057374,0.975241,1,,9.187940,0.001437160,695.816694,
13,26624,28672,2048,0.603718821,0.650158730,0,-16.614918,0.976260,1,,8.175424,0.001688211,592.343026,
14,28672,30720,2048,0.650158730,0.696598639,0,-18.422462,0.980514,1,,10.185723,0.001603666,623.571053,
15,30720,32768,2048,0.696598639,0.743038549,0,-22.013063,0.964951,1,,8.075070,0.001747607,572.211193,
16,32768,34816,2048,0.743038549,0.789478458,0,-20.297125,0.974568,1,,8.244064,0.001780357,561.685143,
17,34816,36864,2048,0.789478458,0.835918367,0,-18.734374,0.972447,1,,8.130624,0.001712412,583.971563,
18,36864,38912,2048,0.835918367,0.882358277,0,-19.210126,0.965986,1,,7.927172,0.001541114,648.881284,
19,38912,40960,2048,0.882358277,0.928798186,0,-18.833735,0.979585,1,,8.881382,0.003378342,296.003182,
20,40960,43008,2048,0.928798186,0.975238095,0,-17.001872,0.974869,1,,8.039853,0.003129266,319.563757,
21,43008,45056,2048,0.975238095,1.021678005,0,-17.402858,0.977915,1,,9.012936,0.001461168,684.384020,
22,45056,47104,2048,1.021678005,1.068117914,0,-18.056705,0.974488,1,,5.871586,0.001508975,662.701491,
23,47104,49152,2048,1.068117914,1.114557823,0,-18.727190,0.979370,1,,8.851927,0.003382079,295.676095,
24,49152,51200,2048,1.114557823,1.160997732,0,-18.281663,0.976087,1,,7.857198,0.001521495,657.248199,
25,51200,53248,2048,1.160997732,1.207437642,0,-19.915740,0.977910,1,,6.486482,0.001417138,705.647645,
26,53248,55296,2048,1.207437642,1.253877551,0,-18.966723,0.968039,1,,8.425310,0.001534602,651.634564,
27,55296,57344,2048,1.253877551,1.300317460,0,-18.835081,0.967002,1,,9.511136,0.001392169,718.303765,
28,57344,59392,2048,1.300317460,1.346757370,0,-22.542489,0.944156,1,,7.746440,0.001731401,577.566935,
29,59392,61440,2048,1.346757370,1.393197279,0,-26.240488,0.917548,1,,7.273029,0.001684324,593.710138,
30,61440,63488,2048,1.393197279,1.439637188,0,-27.172624,0.876627,1,,7.187233,0.001445698,691.707211,
31,63488,65536,2048,1.439637188,1.486077098,0,-32.642329,0.828947,1,,7.061999,0.001632393,612.597685,
32,65536,67584,2048,1.486077098,1.532517007,0,-25.277439,0.847477,1,,6.748292,0.002736372,365.447334,
33,67584,69632,2048,1.532517007,1.578956916,0,-24.613555,0.785657,1,,7.184472,0.002629599,380.286125,
34,69632,71680,2048,1.578956916,1.625396825,0,-26.408089,0.821936,1,,7.370075,0.002513665,397.825416,
35,71680,73728,2048,1.625396825,1.671836735,0,-26.245299,0.798906,1,,7.497076,0.002547303,392.572069,
36,73728,75776,2048,1.671836735,1.718276644,0,-23.105796,0.918637,1,,7.948821,0.002580352,387.544064,
37,75776,77824,2048,1.718276644,1.764716553,0,-23.019022,0.809353,1,,7.073302,0.002271190,440.297906,
38,77824,79872,2048,1.764716553,1.811156463,0,-24.197412,0.869435,1,,8.379904,0.002214851,451.497628,
39,79872,81920,2048,1.811156463,1.857596372,0,-23.885001,0.819990,1,,7.138408,0.002154828,464.074177,
40,81920,83968,2048,1.857596372,1.904036281,0,-22.540823,0.910294,1,,7.441869,0.002152878,464.494599,
41,83968,86016,2048,1.904036281,1.950476190,0,-20.677489,0.856839,1,,8.091581,0.002530134,395.235982,
42,86016,88064,2048,1.950476190,1.996916100,0,-24.148460,0.903880,1,,5.921222,0.002241830,446.064076,
43,88064,90112,2048,1.996916100,2.043356009,0,-25.916505,0.857885,1,,4.187336,0.001019715,980.665897,
