frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-41.940174,0.896940,1,,2.481604,0.001158807,862.956308,
1,2048,4096,2048,0.046439909,0.092879819,0,-41.258730,0.931332,1,,2.307841,0.001141860,875.763790,
2,4096,6144,2048,0.092879819,0.139319728,0,-38.366898,0.949120,1,,1.407070,0.001150866,868.910778,
3,6144,8192,2048,0.139319728,0.185759637,0,-36.993359,0.613057,1,,3.273504,0.003572396,279.924154,
4,8192,10240,2048,0.185759637,0.232199546,0,-33.874610,0.782366,1,,4.125250,0.001623615,615.909498,
5,10240,12288,2048,0.232199546,0.278639456,0,-25.283705,0.973608,1,,7.213106,0.001524818,655.816165,
6,12288,14336,2048,0.278639456,0.325079365,0,-20.578927,0.984918,1,,5.502496,0.001462617,683.705872,
7,14336,16384,2048,0.325079365,0.371519274,0,-14.865641,0.988516,1,,7.024481,0.001696574,589.423211,
8,16384,18432,2048,0.371519274,0.417959184,0,-14.925100,0.989481,1,,7.719519,0.001631726,612.847806,
9,18432,20480,2048,0.417959184,0.464399093,0,-15.025678,0.991035,1,,10.644310,0.001481810,674.850450,
10,20480,22528,2048,0.464399093,0.510839002,0,-14.641754,0.991563,1,,7.275418,0.001471289,679.675903,
11,22528,24576,2048,0.510839002,0.557278912,0,-15.573389,0.990950,1,,9.246177,0.001469708,680.407305,
12,24576,26624,2048,0.557278912,0.603718821,0,-16.373104,0.986421,1,,10.119197,0.001458746,685.520140,
13,26624,28672,2048,0.603718821,0.650158730,0,-18.120771,0.989521,1,,9.960128,0.001684082,593.795216,
14,28672,30720,2048,0.650158730,0.696598639,0,-17.713483,0.990856,1,,11.154163,0.001479428,675.936919,
15,30720,32768,2048,0.696598639,0.743038549,0,-16.211680,0.989461,1,,9.543094,0.003186538,313.820171,
16,32768,34816,2048,0.743038549,0.789478458,0,-18.437191,0.990391,1,,10.574741,0.001516652,659.346838,
17,34816,36864,2048,0.789478458,0.835918367,0,-17.113966,0.991071,1,,9.905122,0.001694052,590.300540,
18,36864,38912,2048,0.835918367,0.882358277,0,-15.945515,0.990446,1,,10.778883,0.001438435,695.199894,
19,38912,40960,2048,0.882358277,0.928798186,0,-17.852295,0.989150,1,,10.452445,0.001450701,689.321944,
20,40960,43008,2048,0.928798186,0.975238095,0,-18.162430,0.958491,1,,12.273424,0.001438534,695.152024,
21,43008,45056,2048,0.975238095,1.021678005,0,-17.768221,0.982252,1,,12.711959,0.001476408,677.319461,
22,45056,47104,2048,1.021678005,1.068117914,0,-16.733785,0.978245,1,,11.985032,0.001450909,689.222981,
23,47104,49152,2048,1.068117914,1.114557823,0,-16.179832,0.988903,1,,13.487681,0.001457970,685.885339,
24,49152,51200,2048,1.114557823,1.160997732,0,-19.434683,0.977261,1,,13.746269,0.001436520,696.126730,
25,51200,53248,2048,1.160997732,1.207437642,0,-18.630087,0.973202,1,,12.462026,0.001438941,694.955436,
26,53248,55296,2048,1.207437642,1.253877551,0,-20.755567,0.977710,1,,12.253014,0.001421554,703.455692,
27,55296,57344,2048,1.253877551,1.300317460,0,-16.832949,0.989216,1,,12.211687,0.001429998,699.301679,
28,57344,59392,2048,1.300317460,1.346757370,0,-19.245698,0.977510,1,,11.475976,0.001410681,708.877544,
29,59392,61440,2048,1.346757370,1.393197279,0,-18.288735,0.975586,1,,11.167804,0.001402803,712.858703,
30,61440,63488,2048,1.393197279,1.439637188,0,-20.850407,0.975127,1,,12.862557,0.001531701,652.869082,
31,63488,65536,2048,1.439637188,1.486077098,0,-19.948968,0.988709,1,,11.318146,0.001493378,669.622644,
32,65536,67584,2048,1.486077098,1.532517007,0,-20.997637,0.989305,1,,9.754859,0.001618100,618.008724,
33,67584,69632,2048,1.532517007,1.578956916,0,-19.890675,0.984163,1,,9.121992,0.001367384,731.323643,
34,69632,71680,2048,1.578956916,1.625396825,0,-20.629032,0.984454,1,,10.867629,0.001405541,711.469659,
35,71680,73728,2048,1.625396825,1.671836735,0,-26.374864,0.983753,1,,10.476118,0.001389782,719.537345,
36,73728,75776,2048,1.671836735,1.718276644,0,-32.010389,0.979560,1,,11.508862,0.001439965,694.461539,
37,75776,77824,2048,1.718276644,1.764716553,0,-34.900160,0.975881,1,,7.713674,0.001417407,705.513436,
38,77824,79872,2048,1.764716553,1.811156463,0,-42.640883,0.975349,1,,7.387594,0.001447699,690.751396,
39,79872,81920,2048,1.811156463,1.857596372,0,-44.903264,0.942260,1,,6.611097,0.001437297,695.750539,
40,81920,83968,2048,1.857596372,1.904036281,0,-47.572255,0.838548,1,,3.453880,0.001670986,598.449119,
41,83968,86016,2048,1.904036281,1.950476190,0,-41.791310,0.899165,1,,5.091964,0.002140809,467.113200,
42,86016,88064,2048,1.950476190,1.996916100,0,-31.949702,0.980791,1,,7.779656,0.002373947,421.239386,
43,88064,90112,2048,1.996916100,2.043356009,0,-27.443266,0.981867,1,,8.371890,0.002180321,458.648045,
44,90112,92160,2048,2.043356009,2.089795918,0,-29.414433,0.981934,1,,8.797327,0.002176725,459.405821,
45,92160,94208,2048,2.089795918,2.136235828,0,-27.589912,0.982746,1,,9.395231,0.002398940,416.850797,
46,94208,96256,2048,2.136235828,2.182675737,0,-23.517859,0.982953,1,,10.352237,0.002289304,436.813982,
47,96256,98304,2048,2.182675737,2.229115646,0,-23.003449,0.984472,1,,10.876182,0.002269694,440.588123,
48,98304,100352,2048,2.229115646,2.275555556,0,-24.974607,0.973850,1,,12.076157,0.002365246,422.789070,
49,100352,102400,2048,2.275555556,2.321995465,0,-24.645972,0.936366,1,,11.253948,0.002244433,445.546731,
50,102400,104448,2048,2.321995465,2.368435374,0,-22.931145,0.963975,1,,12.424767,0.002460341,406.447675,
51,104448,106496,2048,2.368435374,2.414875283,0,-21.383715,0.973984,1,,11.076845,0.002437738,410.216278,
52,106496,108544,2048,2.414875283,2.461315193,0,-31.511472,0.909699,1,,9.408341,0.002176757,459.398931,
53,108544,110592,2048,2.461315193,2.507755102,0,-35.836391,0.963212,1,,7.650367,0.002384535,419.369044,
54,110592,112640,2048,2.507755102,2.554195011,0,-39.497703,0.798960,1,,4.850321,0.003237793,308.852368,
