frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-27.047330,0.951266,1,,3.198376,0.001146718,872.054334,
1,2048,4096,2048,0.046439909,0.092879819,0,-26.347662,0.960170,1,,2.607604,0.001020408,980.000000,
2,4096,6144,2048,0.092879819,0.139319728,0,-28.896005,0.922257,1,,3.110952,0.001044612,957.293530,
3,6144,8192,2048,0.139319728,0.185759637,0,-29.233927,0.888370,1,,2.830722,0.001020408,980.000000,
4,8192,10240,2048,0.185759637,0.232199546,0,-27.931872,0.935953,1,,3.369673,0.001295812,771.716930,
5,10240,12288,2048,0.232199546,0.278639456,0,-25.381384,0.942670,1,,3.619371,0.001020408,980.000000,
6,12288,14336,2048,0.278639456,0.325079365,0,-19.939551,0.935859,1,,4.677328,0.001753301,570.352788,
7,14336,16384,2048,0.325079365,0.371519274,0,-15.862791,0.972148,1,,6.932514,0.001604553,623.226437,
8,16384,18432,2048,0.371519274,0.417959184,0,-15.093452,0.983067,1,,7.400527,0.001593150,627.687218,
9,18432,20480,2048,0.417959184,0.464399093,0,-15.338538,0.977363,1,,10.114421,0.001805695,553.803345,
10,20480,22528,2048,0.464399093,0.510839002,0,-16.136794,0.990134,1,,9.529405,0.001506434,663.819239,
11,22528,24576,2048,0.510839002,0.557278912,0,-13.934294,0.990818,1,,7.535723,0.001500077,666.632272,
12,24576,26624,2048,0.557278912,0.603718821,0,-13.744520,0.989808,1,,10.112729,0.001488163,671.969255,
13,26624,28672,2048,0.603718821,0.650158730,0,-14.000967,0.988229,1,,10.286774,0.001416516,705.957238,
14,28672,30720,2048,0.650158730,0.696598639,0,-17.809461,0.991417,1,,11.485553,0.001477260,676.928715,
15,30720,32768,2048,0.696598639,0.743038549,0,-18.341386,0.990626,1,,10.041140,0.001460830,684.542370,
16,32768,34816,2048,0.743038549,0.789478458,0,-19.057219,0.990820,1,,11.822632,0.001515241,659.961000,
17,34816,36864,2048,0.789478458,0.835918367,0,-16.174183,0.987462,1,,11.198457,0.001510999,661.813943,
18,36864,38912,2048,0.835918367,0.882358277,0,-17.376123,0.989533,1,,11.985486,0.001508823,662.768376,
19,38912,40960,2048,0.882358277,0.928798186,0,-16.908374,0.988165,1,,12.453325,0.001470125,680.214421,
20,40960,43008,2048,0.928798186,0.975238095,0,-16.142288,0.991016,1,,12.087967,0.001507707,663.258856,
21,43008,45056,2048,0.975238095,1.021678005,0,-18.708077,0.989953,1,,12.286733,0.001518959,658.345808,
22,45056,47104,2048,1.021678005,1.068117914,0,-19.928236,0.987710,1,,12.045942,0.001554756,643.187710,
23,47104,49152,2048,1.068117914,1.114557823,0,-14.864684,0.991517,1,,10.162798,0.001493721,669.469128,
24,49152,51200,2048,1.114557823,1.160997732,0,-15.245521,0.991885,1,,13.072645,0.001506672,663.714557,
25,51200,53248,2048,1.160997732,1.207437642,0,-17.996001,0.985723,1,,12.611265,0.001542186,648.430091,
26,53248,55296,2048,1.207437642,1.253877551,0,-17.268102,0.988163,1,,12.318026,0.001747446,572.263855,
27,55296,57344,2048,1.253877551,1.300317460,0,-16.311105,0.989192,1,,12.485770,0.001564487,639.187127,
28,57344,59392,2048,1.300317460,1.346757370,0,-15.796882,0.984745,1,,10.714259,0.001456077,686.776975,
29,59392,61440,2048,1.346757370,1.393197279,0,-18.219052,0.983826,1,,12.529400,0.001532332,652.600262,
30,61440,63488,2048,1.393197279,1.439637188,0,-20.126654,0.983937,1,,12.069874,0.001438790,695.028301,
31,63488,65536,2048,1.439637188,1.486077098,0,-16.427922,0.981851,1,,11.957525,0.001475389,677.787498,
32,65536,67584,2048,1.486077098,1.532517007,0,-17.690303,0.981837,1,,11.669423,0.001610485,620.930875,
33,67584,69632,2048,1.532517007,1.578956916,0,-20.986617,0.985065,1,,12.200052,0.001523857,656.229565,
34,69632,71680,2048,1.578956916,1.625396825,0,-23.064718,0.987116,1,,10.649618,0.001564152,639.323873,
35,71680,73728,2048,1.625396825,1.671836735,0,-27.389380,0.963434,1,,10.121259,0.001406296,711.087678,
36,73728,75776,2048,1.671836735,1.718276644,0,-30.279849,0.955496,1,,9.016907,0.001450246,689.538317,
37,75776,77824,2048,1.718276644,1.764716553,0,-35.366989,0.938498,1,,7.799975,0.001402132,713.199735,
38,77824,79872,2048,1.764716553,1.811156463,0,-37.998564,0.918450,1,,6.327717,0.001561589,640.373481,
39,79872,81920,2048,1.811156463,1.857596372,0,-42.624698,0.715354,1,,3.874504,0.001519110,658.280196,
40,81920,83968,2048,1.857596372,1.904036281,0,-40.409041,0.651478,1,,2.847751,0.001042470,959.259764,
41,83968,86016,2048,1.904036281,1.950476190,0,-39.510739,0.597363,1,,2.176238,0.002298152,435.132178,
42,86016,88064,2048,1.950476190,1.996916100,0,-34.537528,0.831959,1,,3.944917,0.002152182,464.644691,
43,88064,90112,2048,1.996916100,2.043356009,0,-35.428740,0.783106,1,,4.776105,0.002070604,482.950966,
44,90112,92160,2048,2.043356009,2.089795918,0,-33.603415,0.883582,1,,6.747405,0.002069664,483.170286,
45,92160,94208,2048,2.089795918,2.136235828,0,-31.569868,0.890661,1,,9.664085,0.002436702,410.390815,
46,94208,96256,2048,2.136235828,2.182675737,0,-31.665029,0.943155,1,,9.607576,0.002238358,446.756019,
