frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-29.897752,0.979436,1,,2.087883,0.001020408,980.000000,
1,2048,4096,2048,0.046439909,0.092879819,0,-28.182002,0.890056,1,,5.909295,0.001904447,525.086676,
2,4096,6144,2048,0.092879819,0.139319728,0,-17.567720,0.982558,1,,8.666395,0.001564424,639.212766,
3,6144,8192,2048,0.139319728,0.185759637,0,-16.174436,0.986252,1,,8.453690,0.001829302,546.656573,
4,8192,10240,2048,0.185759637,0.232199546,0,-15.715741,0.984342,1,,11.399984,0.001618799,617.742107,
5,10240,12288,2048,0.232199546,0.278639456,0,-15.235582,0.985757,1,,9.822727,0.001562804,639.875516,
6,12288,14336,2048,0.278639456,0.325079365,0,-13.566006,0.987712,1,,10.957994,0.001644443,608.108797,
7,14336,16384,2048,0.325079365,0.371519274,0,-17.660769,0.975714,1,,12.561122,0.001672391,597.946390,
8,16384,18432,2048,0.371519274,0.417959184,0,-20.056536,0.966460,1,,10.224620,0.001559459,641.248090,
9,18432,20480,2048,0.417959184,0.464399093,0,-14.055078,0.969222,1,,10.212875,0.001469601,680.456674,
10,20480,22528,2048,0.464399093,0.510839002,0,-14.866851,0.986237,1,,10.112119,0.001747156,572.358790,
11,22528,24576,2048,0.510839002,0.557278912,0,-22.016564,0.902243,1,,13.061920,0.001528290,654.325991,
12,24576,26624,2048,0.557278912,0.603718821,0,-20.314463,0.962844,1,,10.258379,0.001496271,668.328176,
13,26624,28672,2048,0.603718821,0.650158730,0,-14.824828,0.985420,1,,9.069813,0.001461674,684.146907,
14,28672,30720,2048,0.650158730,0.696598639,0,-16.796943,0.986403,1,,10.586714,0.001518939,658.354270,
15,30720,32768,2048,0.696598639,0.743038549,0,-21.345583,0.973838,1,,13.190656,0.001580541,632.694628,
16,32768,34816,2048,0.743038549,0.789478458,0,-19.136875,0.983353,1,,11.223510,0.001512149,661.310408,
17,34816,36864,2048,0.789478458,0.835918367,0,-16.232513,0.985759,1,,10.902417,0.003179266,314.537978,
18,36864,38912,2048,0.835918367,0.882358277,0,-16.745154,0.983473,1,,14.102325,0.001529453,653.828435,
19,38912,40960,2048,0.882358277,0.928798186,0,-17.656641,0.982727,1,,11.740831,0.001416466,705.982387,
20,40960,43008,2048,0.928798186,0.975238095,0,-17.732861,0.986851,1,,12.302852,0.003072055,325.515039,
21,43008,45056,2048,0.975238095,1.021678005,0,-16.322760,0.985054,1,,11.839461,0.003094934,323.108619,
22,45056,47104,2048,1.021678005,1.068117914,0,-14.292711,0.982361,1,,12.907742,0.001548075,645.963714,
23,47104,49152,2048,1.068117914,1.114557823,0,-20.967922,0.866906,1,,10.871060,0.001662656,601.447195,
24,49152,51200,2048,1.114557823,1.160997732,0,-25.360002,0.738638,1,,8.415153,0.001864640,536.296529,
25,51200,53248,2048,1.160997732,1.207437642,0,-29.607238,0.727402,1,,8.087967,0.001845474,541.866100,
26,53248,55296,2048,1.207437642,1.253877551,0,-32.919986,0.792043,1,,7.111466,0.001805436,553.882698,
27,55296,57344,2048,1.253877551,1.300317460,0,-37.189595,0.722396,1,,6.490095,0.001863824,536.531467,
28,57344,59392,2048,1.300317460,1.346757370,0,-38.329815,0.874669,1,,6.344088,0.001813839,551.316706,
29,59392,61440,2048,1.346757370,1.393197279,0,-39.761840,0.832589,1,,4.757098,0.001679748,595.327392,
30,61440,63488,2048,1.393197279,1.439637188,0,-37.604715,0.943592,1,,5.860112,0.002396009,417.360784,
31,63488,65536,2048,1.439637188,1.486077098,0,-32.790078,0.973427,1,,7.115820,0.002254051,443.645733,
32,65536,67584,2048,1.486077098,1.532517007,0,-31.715438,0.951711,1,,11.001424,0.002461065,406.328198,
33,67584,69632,2048,1.532517007,1.578956916,0,-33.499958,0.924142,1,,10.963108,0.002341773,427.026956,
34,69632,71680,2048,1.578956916,1.625396825,0,-31.042106,0.888766,1,,11.531723,0.002407481,415.371924,
35,71680,73728,2048,1.625396825,1.671836735,0,-20.452939,0.959028,1,,11.352099,0.002280351,438.529040,
36,73728,75776,2048,1.671836735,1.718276644,0,-22.909779,0.892748,1,,10.950308,0.002212757,451.924865,
37,75776,77824,2048,1.718276644,1.764716553,0,-28.791875,0.687871,1,,8.540770,0.002321131,430.824498,
38,77824,79872,2048,1.764716553,1.811156463,0,-25.547496,0.907582,1,,12.000259,0.002245409,445.353154,
