frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-33.476259,0.899297,1,,4.742410,0.003892464,256.906701,
1,2048,4096,2048,0.046439909,0.092879819,0,-33.002871,0.944246,1,,4.433395,0.001260010,793.644497,
2,4096,6144,2048,0.092879819,0.139319728,0,-30.734407,0.964378,1,,2.422100,0.001669230,599.078674,
3,6144,8192,2048,0.139319728,0.185759637,0,-36.079002,0.954064,1,,3.269988,0.001173156,852.401232,
4,8192,10240,2048,0.185759637,0.232199546,0,-33.163811,0.558565,1,,3.784303,0.003897064,256.603429,
5,10240,12288,2048,0.232199546,0.278639456,0,-29.893383,0.612769,1,,3.043387,0.001056379,946.629891,
6,12288,14336,2048,0.278639456,0.325079365,0,-29.189065,0.707314,1,,3.870746,0.001350045,740.715835,
7,14336,16384,2048,0.325079365,0.371519274,0,-27.248727,0.903120,1,,5.796163,0.001477450,676.841938,
8,16384,18432,2048,0.371519274,0.417959184,0,-18.058384,0.976853,1,,10.680803,0.001510734,661.930089,
9,18432,20480,2048,0.417959184,0.464399093,0,-16.392306,0.989869,1,,8.971819,0.001674615,597.152138,
10,20480,22528,2048,0.464399093,0.510839002,0,-15.998934,0.983925,1,,7.827884,0.001466570,681.863209,
11,22528,24576,2048,0.510839002,0.557278912,0,-16.067192,0.985604,1,,9.876996,0.001548009,645.991258,
12,24576,26624,2048,0.557278912,0.603718821,0,-15.677828,0.989941,1,,10.759124,0.001707578,585.624649,
13,26624,28672,2048,0.603718821,0.650158730,0,-19.615994,0.990296,1,,10.739241,0.001607251,622.180510,
14,28672,30720,2048,0.650158730,0.696598639,0,-15.593893,0.988980,1,,8.559008,0.001411725,708.353254,
15,30720,32768,2048,0.696598639,0.743038549,0,-17.289605,0.988727,1,,9.953228,0.001496219,668.351244,
16,32768,34816,2048,0.743038549,0.789478458,0,-20.160575,0.980521,1,,10.640958,0.001447426,690.881403,
17,34816,36864,2048,0.789478458,0.835918367,0,-19.337573,0.986662,1,,10.622304,0.001450713,689.316008,
18,36864,38912,2048,0.835918367,0.882358277,0,-17.826127,0.989153,1,,10.712807,0.001532951,652.336599,
19,38912,40960,2048,0.882358277,0.928798186,0,-18.699506,0.986187,1,,12.456491,0.001700773,587.967826,
20,40960,43008,2048,0.928798186,0.975238095,0,-18.851025,0.985575,1,,11.143053,0.001413215,707.606540,
21,43008,45056,2048,0.975238095,1.021678005,0,-21.056503,0.980233,1,,11.042857,0.001420168,704.142239,
22,45056,47104,2048,1.021678005,1.068117914,0,-21.637424,0.982153,1,,11.390024,0.001424768,701.868465,
23,47104,49152,2048,1.068117914,1.114557823,0,-18.665359,0.984895,1,,10.912049,0.001558562,641.616967,
24,49152,51200,2048,1.114557823,1.160997732,0,-17.479868,0.991127,1,,11.668621,0.001409227,709.608647,
25,51200,53248,2048,1.160997732,1.207437642,0,-17.236453,0.991512,1,,11.509176,0.001579388,633.156817,
26,53248,55296,2048,1.207437642,1.253877551,0,-18.724284,0.987000,1,,10.771862,0.001490489,670.920926,
27,55296,57344,2048,1.253877551,1.300317460,0,-20.856461,0.981335,1,,11.003165,0.001521388,657.294493,
28,57344,59392,2048,1.300317460,1.346757370,0,-17.582023,0.987582,1,,13.796349,0.001535584,651.218016,
29,59392,61440,2048,1.346757370,1.393197279,0,-21.957157,0.978575,1,,10.056591,0.001518589,658.506231,
30,61440,63488,2048,1.393197279,1.439637188,0,-24.105462,0.953930,1,,10.317637,0.001517648,658.914498,
31,63488,65536,2048,1.439637188,1.486077098,0,-28.533877,0.970912,1,,11.508573,0.001519639,658.050878,
32,65536,67584,2048,1.486077098,1.532517007,0,-33.477553,0.934151,1,,10.123969,0.001630667,613.246178,
33,67584,69632,2048,1.532517007,1.578956916,0,-34.892507,0.963241,1,,9.035295,0.001477048,677.026123,
34,69632,71680,2048,1.578956916,1.625396825,0,-41.512242,0.954438,1,,10.833400,0.001557957,641.866100,
35,71680,73728,2048,1.625396825,1.671836735,0,-41.421870,0.924906,1,,6.387218,0.001585692,630.639683,
36,73728,75776,2048,1.671836735,1.718276644,0,-42.456511,0.820942,1,,2.674164,0.001354358,738.357129,
37,75776,77824,2048,1.718276644,1.764716553,0,-39.291622,0.931028,1,,3.764655,0.001656521,603.674983,
38,77824,79872,2048,1.764716553,1.811156463,0,-43.860970,0.858782,1,,6.179195,0.002141205,467.026833,
39,79872,81920,2048,1.811156463,1.857596372,0,-38.012420,0.949584,1,,7.450662,0.002049447,487.936455,
40,81920,83968,2048,1.857596372,1.904036281,0,-36.022320,0.979734,1,,9.249163,0.002074772,481.980776,
41,83968,86016,2048,1.904036281,1.950476190,0,-32.915867,0.967103,1,,9.929062,0.002083789,479.895057,
