frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-26.014461,0.847032,1,,3.193989,0.001009655,990.437358,
1,2048,4096,2048,0.046439909,0.092879819,0,-24.113342,0.793659,1,,3.008285,0.001058346,944.870414,
2,4096,6144,2048,0.092879819,0.139319728,0,-23.684853,0.885310,1,,3.633619,0.001032364,968.650628,
3,6144,8192,2048,0.139319728,0.185759637,0,-23.115070,0.947219,1,,4.281216,0.001157405,864.001885,
4,8192,10240,2048,0.185759637,0.232199546,0,-25.903450,0.741042,1,,4.388981,0.001454201,687.663042,
5,10240,12288,2048,0.232199546,0.278639456,0,-17.925127,0.949373,1,,9.394316,0.001619347,617.532818,
6,12288,14336,2048,0.278639456,0.325079365,0,-17.775721,0.956429,1,,8.248666,0.001553041,643.898006,
7,14336,16384,2048,0.325079365,0.371519274,0,-15.492100,0.957444,1,,8.214033,0.001656220,603.784613,
8,16384,18432,2048,0.371519274,0.417959184,0,-15.097801,0.948781,1,,9.025146,0.001725818,579.435351,
9,18432,20480,2048,0.417959184,0.464399093,0,-16.116300,0.986481,1,,8.272404,0.001618183,617.976926,
10,20480,22528,2048,0.464399093,0.510839002,0,-17.753639,0.984258,1,,8.752169,0.001545196,647.166991,
11,22528,24576,2048,0.510839002,0.557278912,0,-15.854212,0.988208,1,,9.456724,0.001511348,661.660979,
12,24576,26624,2048,0.557278912,0.603718821,0,-14.581878,0.989886,1,,7.346633,0.001803159,554.582384,
13,26624,28672,2048,0.603718821,0.650158730,0,-16.781783,0.990280,1,,8.427045,0.001689466,591.902911,
14,28672,30720,2048,0.650158730,0.696598639,0,-19.731423,0.986476,1,,9.140227,0.001499009,667.107376,
15,30720,32768,2048,0.696598639,0.743038549,0,-17.877156,0.984053,1,,8.656552,0.001492219,670.142776,
16,32768,34816,2048,0.743038549,0.789478458,0,-15.312377,0.987245,1,,9.898395,0.001650929,605.719745,
17,34816,36864,2048,0.789478458,0.835918367,0,-15.540753,0.987934,1,,9.130191,0.001433238,697.720644,
18,36864,38912,2048,0.835918367,0.882358277,0,-15.753349,0.989473,1,,6.687817,0.001667293,599.774456,
19,38912,40960,2048,0.882358277,0.928798186,0,-16.902641,0.989324,1,,9.526792,0.001634192,611.923023,
20,40960,43008,2048,0.928798186,0.975238095,0,-16.104531,0.987321,1,,9.692429,0.001638486,610.319454,
21,43008,45056,2048,0.975238095,1.021678005,0,-20.484391,0.970228,1,,8.753932,0.001695254,589.881954,
22,45056,47104,2048,1.021678005,1.068117914,0,-16.825210,0.990103,1,,7.668668,0.001394325,717.192739,
23,47104,49152,2048,1.068117914,1.114557823,0,-17.006040,0.987930,1,,8.861236,0.001539269,649.658922,
24,49152,51200,2048,1.114557823,1.160997732,0,-18.041478,0.980461,1,,7.689984,0.001442953,693.023240,
25,51200,53248,2048,1.160997732,1.207437642,0,-20.419918,0.983852,1,,7.719810,0.001606476,622.480479,
26,53248,55296,2048,1.207437642,1.253877551,0,-18.023293,0.987720,1,,6.568115,0.001587236,630.025924,
27,55296,57344,2048,1.253877551,1.300317460,0,-19.226695,0.987710,1,,8.772342,0.001537312,650.486130,
28,57344,59392,2048,1.300317460,1.346757370,0,-21.108921,0.977995,1,,7.939915,0.001501574,665.967743,
29,59392,61440,2048,1.346757370,1.393197279,0,-23.979368,0.979022,1,,6.684038,0.001529650,653.744477,
30,61440,63488,2048,1.393197279,1.439637188,0,-25.074633,0.971696,1,,6.621332,0.001507297,663.439241,
31,63488,65536,2048,1.439637188,1.486077098,0,-23.590178,0.979831,1,,7.044885,0.001489212,671.496092,
32,65536,67584,2048,1.486077098,1.532517007,0,-29.577785,0.861858,1,,9.413169,0.001533812,651.970283,
33,67584,69632,2048,1.532517007,1.578956916,0,-34.788031,0.895763,1,,6.913027,0.001477766,676.697127,
34,69632,71680,2048,1.578956916,1.625396825,0,-36.463925,0.768619,1,,5.489928,0.001529720,653.714534,
35,71680,73728,2048,1.625396825,1.671836735,0,-33.244051,0.886332,1,,2.830251,0.001662856,601.374892,
36,73728,75776,2048,1.671836735,1.718276644,0,-36.857586,0.663733,1,,2.954539,0.004510245,221.717439,
37,75776,77824,2048,1.718276644,1.764716553,0,-33.789485,0.844012,1,,2.772530,0.002620423,381.617721,
38,77824,79872,2048,1.764716553,1.811156463,0,-33.972700,0.724574,1,,4.280887,0.002516653,397.353166,
39,79872,81920,2048,1.811156463,1.857596372,0,-31.039992,0.876369,1,,4.606379,0.002168349,461.180383,
40,81920,83968,2048,1.857596372,1.904036281,0,-30.466307,0.891700,1,,4.500488,0.002042979,489.481393,
41,83968,86016,2048,1.904036281,1.950476190,0,-30.948122,0.914460,1,,4.379783,0.002251888,444.071870,
42,86016,88064,2048,1.950476190,1.996916100,0,-30.753390,0.850357,1,,6.219700,0.002214183,451.633954,
43,88064,90112,2048,1.996916100,2.043356009,0,-32.017097,0.856534,1,,6.579408,0.004717628,211.970934,
44,90112,92160,2048,2.043356009,2.089795918,0,-32.101810,0.904982,1,,4.653652,0.002073016,482.389027,
45,92160,94208,2048,2.089795918,2.136235828,0,-31.243637,0.889103,1,,6.067045,0.002074678,482.002507,
46,94208,96256,2048,2.136235828,2.182675737,0,-32.286275,0.901959,1,,6.274000,0.002110891,473.733636,
