frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-27.518172,0.567180,1,,6.604424,0.001733353,576.916373,
1,2048,4096,2048,0.046439909,0.092879819,0,-15.492653,0.918897,1,,6.390901,0.001960300,510.125917,
2,4096,6144,2048,0.092879819,0.139319728,0,-14.268474,0.954816,1,,9.678595,0.001728654,578.484642,
3,6144,8192,2048,0.139319728,0.185759637,0,-15.359440,0.979293,1,,8.586622,0.001814313,551.172926,
4,8192,10240,2048,0.185759637,0.232199546,0,-13.163388,0.986819,1,,10.358968,0.001733165,576.978982,
5,10240,12288,2048,0.232199546,0.278639456,0,-15.690627,0.978036,1,,11.368764,0.001725113,579.672282,
6,12288,14336,2048,0.278639456,0.325079365,0,-13.172778,0.989205,1,,9.531297,0.001787428,559.463190,
7,14336,16384,2048,0.325079365,0.371519274,0,-12.735101,0.990168,1,,12.095733,0.001734207,576.632411,
8,16384,18432,2048,0.371519274,0.417959184,0,-14.987282,0.984983,1,,11.767911,0.001505381,664.283854,
9,18432,20480,2048,0.417959184,0.464399093,0,-13.601303,0.981840,1,,11.040982,0.001788074,559.261063,
10,20480,22528,2048,0.464399093,0.510839002,0,-13.895165,0.972787,1,,13.524208,0.001801592,555.064638,
11,22528,24576,2048,0.510839002,0.557278912,0,-14.583945,0.982238,1,,12.340127,0.001732535,577.188813,
12,24576,26624,2048,0.557278912,0.603718821,0,-16.156854,0.981270,1,,12.038586,0.001727426,578.896088,
13,26624,28672,2048,0.603718821,0.650158730,0,-15.406288,0.905584,1,,13.543176,0.001816904,550.386848,
14,28672,30720,2048,0.650158730,0.696598639,0,-14.800633,0.946990,1,,13.166316,0.001803750,554.400513,
15,30720,32768,2048,0.696598639,0.743038549,0,-14.443809,0.923330,1,,13.847043,0.001733869,576.744956,
16,32768,34816,2048,0.743038549,0.789478458,0,-14.987394,0.938763,1,,11.671472,0.001732747,577.118172,
17,34816,36864,2048,0.789478458,0.835918367,0,-16.575213,0.958785,1,,13.190942,0.001764830,566.626929,
18,36864,38912,2048,0.835918367,0.882358277,0,-15.671123,0.898841,1,,13.296188,0.001734288,576.605582,
19,38912,40960,2048,0.882358277,0.928798186,0,-16.912868,0.936999,1,,13.082594,0.001733662,576.813568,
20,40960,43008,2048,0.928798186,0.975238095,0,-15.670608,0.907381,1,,13.151447,0.001830440,546.316777,
21,43008,45056,2048,0.975238095,1.021678005,0,-14.224837,0.896185,1,,10.133356,0.001725755,579.456520,
22,45056,47104,2048,1.021678005,1.068117914,0,-16.867387,0.976482,1,,11.327221,0.001749579,571.566228,
