frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-14.087530,0.985046,1,,9.576429,0.001473665,678.580054,
1,2048,4096,2048,0.046439909,0.092879819,0,-15.080191,0.983948,1,,8.264801,0.001408130,710.161569,
2,4096,6144,2048,0.092879819,0.139319728,0,-15.103264,0.986467,1,,7.692806,0.001420245,704.103853,
3,6144,8192,2048,0.139319728,0.185759637,0,-14.032801,0.988599,1,,9.231330,0.001450865,689.243920,
4,8192,10240,2048,0.185759637,0.232199546,0,-16.802971,0.925597,1,,8.452058,0.001417408,705.513141,
5,10240,12288,2048,0.232199546,0.278639456,0,-15.431307,0.965968,1,,10.717932,0.001467972,681.211834,
6,12288,14336,2048,0.278639456,0.325079365,0,-14.978490,0.874416,1,,10.162539,0.001504338,664.744326,
7,14336,16384,2048,0.325079365,0.371519274,0,-16.567488,0.885329,1,,9.643538,0.001502645,665.493328,
8,16384,18432,2048,0.371519274,0.417959184,0,-16.076535,0.817664,1,,9.373482,0.001479326,675.983610,
9,18432,20480,2048,0.417959184,0.464399093,0,-17.018017,0.886843,1,,11.335527,0.001465471,682.374558,
10,20480,22528,2048,0.464399093,0.510839002,0,-15.902701,0.811821,1,,9.032271,0.001543980,647.676620,
11,22528,24576,2048,0.510839002,0.557278912,0,-16.085851,0.885322,1,,10.295219,0.001526874,654.932748,
12,24576,26624,2048,0.557278912,0.603718821,0,-16.672190,0.721289,1,,9.562015,0.001491957,670.260565,
13,26624,28672,2048,0.603718821,0.650158730,0,-16.266698,0.858506,1,,11.204023,0.001502642,665.494499,
14,28672,30720,2048,0.650158730,0.696598639,0,-15.330075,0.813145,1,,9.234444,0.001594112,627.308508,
15,30720,32768,2048,0.696598639,0.743038549,0,-16.115290,0.776838,1,,9.010811,0.001461211,684.364074,
16,32768,34816,2048,0.743038549,0.789478458,0,-17.234458,0.720483,1,,8.174243,0.001472971,678.899831,
17,34816,36864,2048,0.789478458,0.835918367,0,-16.101930,0.858390,1,,9.669525,0.001642832,608.704806,
18,36864,38912,2048,0.835918367,0.882358277,0,-13.896824,0.950680,1,,10.807681,0.001541101,648.886579,
19,38912,40960,2048,0.882358277,0.928798186,0,-18.487241,0.779690,1,,10.907373,0.001518164,658.690425,
20,40960,43008,2048,0.928798186,0.975238095,0,-15.909711,0.852096,1,,10.608502,0.001547832,646.064905,
21,43008,45056,2048,0.975238095,1.021678005,0,-16.246944,0.880153,1,,9.971765,0.001546693,646.540743,
22,45056,47104,2048,1.021678005,1.068117914,0,-17.756743,0.901416,1,,9.995463,0.001679068,595.568639,
23,47104,49152,2048,1.068117914,1.114557823,0,-15.805484,0.764765,1,,7.878257,0.001522470,656.827426,
24,49152,51200,2048,1.114557823,1.160997732,0,-15.325562,0.885089,1,,11.468647,0.001563399,639.631786,
25,51200,53248,2048,1.160997732,1.207437642,0,-17.161078,0.837220,1,,10.024331,0.001658852,602.826617,
26,53248,55296,2048,1.207437642,1.253877551,0,-20.818563,0.846088,1,,11.248046,0.001549621,645.319194,
27,55296,57344,2048,1.253877551,1.300317460,0,-23.177768,0.874338,1,,10.324936,0.001667150,599.826068,
28,57344,59392,2048,1.300317460,1.346757370,0,-21.689993,0.914428,1,,9.770515,0.001701383,587.757217,
29,59392,61440,2048,1.346757370,1.393197279,0,-22.193677,0.797757,1,,9.555710,0.001687280,592.669735,
30,61440,63488,2048,1.393197279,1.439637188,0,-21.375055,0.396128,1,,1.617489,0.001020408,980.000000,
31,63488,65536,2048,1.439637188,1.486077098,0,-14.485381,0.945332,1,,7.174081,0.002393765,417.751919,
32,65536,67584,2048,1.486077098,1.532517007,0,-13.021661,0.961481,1,,9.752583,0.002381501,419.903263,
33,67584,69632,2048,1.532517007,1.578956916,0,-12.538611,0.978938,1,,8.934841,0.002450441,408.089887,
34,69632,71680,2048,1.578956916,1.625396825,0,-13.637122,0.980670,1,,11.564926,0.002380009,420.166446,
35,71680,73728,2048,1.625396825,1.671836735,0,-14.826902,0.972172,1,,11.435057,0.002386189,419.078374,
36,73728,75776,2048,1.671836735,1.718276644,0,-17.266331,0.964086,1,,10.961382,0.002161626,462.614709,
37,75776,77824,2048,1.718276644,1.764716553,0,-14.448416,0.875902,1,,8.358409,0.002249836,444.476912,
38,77824,79872,2048,1.764716553,1.811156463,0,-14.175618,0.950802,1,,10.359165,0.002238212,446.785215,
39,79872,81920,2048,1.811156463,1.857596372,0,-17.060972,0.897729,1,,8.458663,0.002314007,432.150900,
40,81920,83968,2048,1.857596372,1.904036281,0,-15.328505,0.922373,1,,9.561227,0.002293569,436.001800,
41,83968,86016,2048,1.904036281,1.950476190,0,-14.883211,0.889688,1,,8.439047,0.002279436,438.704964,
42,86016,88064,2048,1.950476190,1.996916100,0,-15.132154,0.917348,1,,7.796227,0.002151726,464.743235,
