frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-45.465838,0.632663,1,,2.388231,0.001268293,788.461522,
1,2048,4096,2048,0.046439909,0.092879819,0,-44.385604,0.667668,1,,3.900808,0.001114607,897.177314,
2,4096,6144,2048,0.092879819,0.139319728,0,-35.069141,0.689693,1,,3.692179,0.001579877,632.960717,
3,6144,8192,2048,0.139319728,0.185759637,0,-28.685135,0.963670,1,,5.561077,0.001831575,545.978059,
4,8192,10240,2048,0.185759637,0.232199546,0,-19.678746,0.975798,1,,7.357533,0.001481344,675.062656,
5,10240,12288,2048,0.232199546,0.278639456,0,-17.323469,0.989075,1,,9.713654,0.001473630,678.596531,
6,12288,14336,2048,0.278639456,0.325079365,0,-22.091099,0.969971,1,,12.004514,0.001483631,674.021977,
7,14336,16384,2048,0.325079365,0.371519274,0,-18.028096,0.957127,1,,11.387154,0.001418336,705.051451,
8,16384,18432,2048,0.371519274,0.417959184,0,-17.458648,0.952193,1,,12.726058,0.001414545,706.941205,
9,18432,20480,2048,0.417959184,0.464399093,0,-21.263614,0.900518,1,,12.137831,0.001654093,604.560753,
10,20480,22528,2048,0.464399093,0.510839002,0,-17.027669,0.963159,1,,13.434955,0.001417154,705.639519,
11,22528,24576,2048,0.510839002,0.557278912,0,-22.793774,0.945103,1,,13.571565,0.001738597,575.176525,
12,24576,26624,2048,0.557278912,0.603718821,0,-18.484758,0.859639,1,,11.759965,0.001736054,576.018869,
13,26624,28672,2048,0.603718821,0.650158730,0,-20.106177,0.916066,1,,14.416381,0.001748874,571.796489,
14,28672,30720,2048,0.650158730,0.696598639,0,-20.343103,0.885864,1,,11.953137,0.001443507,692.757057,
15,30720,32768,2048,0.696598639,0.743038549,0,-19.981286,0.934983,1,,13.455978,0.001736495,575.872537,
16,32768,34816,2048,0.743038549,0.789478458,0,-20.668387,0.837401,1,,11.820177,0.001725457,579.556746,
17,34816,36864,2048,0.789478458,0.835918367,0,-19.750195,0.931163,1,,13.193639,0.001449525,689.881310,
18,36864,38912,2048,0.835918367,0.882358277,0,-20.387572,0.938515,1,,13.470402,0.001735512,576.198706,
19,38912,40960,2048,0.882358277,0.928798186,0,-21.436152,0.885149,1,,12.471597,0.001733231,576.957155,
20,40960,43008,2048,0.928798186,0.975238095,0,-20.753943,0.914389,1,,13.608583,0.001697124,589.232174,
21,43008,45056,2048,0.975238095,1.021678005,0,-23.182429,0.928087,1,,12.777321,0.001455781,686.916600,
22,45056,47104,2048,1.021678005,1.068117914,0,-19.666708,0.963060,1,,12.617161,0.001458879,685.457945,
23,47104,49152,2048,1.068117914,1.114557823,0,-21.304526,0.947568,1,,12.879150,0.001598520,625.578646,
24,49152,51200,2048,1.114557823,1.160997732,0,-23.612924,0.923275,1,,12.735932,0.001459720,685.062899,
25,51200,53248,2048,1.160997732,1.207437642,0,-22.137824,0.959317,1,,11.934143,0.001473330,678.734689,
26,53248,55296,2048,1.207437642,1.253877551,0,-20.007152,0.932276,1,,13.489004,0.001732096,577.335300,
27,55296,57344,2048,1.253877551,1.300317460,0,-19.821572,0.957059,1,,12.711895,0.001460892,684.513204,
28,57344,59392,2048,1.300317460,1.346757370,0,-19.234256,0.971512,1,,11.899854,0.001551148,644.683632,
29,59392,61440,2048,1.346757370,1.393197279,0,-19.105585,0.973103,1,,13.785540,0.001460575,684.661757,
30,61440,63488,2048,1.393197279,1.439637188,0,-23.138396,0.944493,1,,13.857130,0.001626506,614.814698,
31,63488,65536,2048,1.439637188,1.486077098,0,-19.479505,0.951537,1,,12.085293,0.001483889,673.904981,
32,65536,67584,2048,1.486077098,1.532517007,0,-20.681300,0.970732,1,,13.823679,0.001689288,591.965314,
33,67584,69632,2048,1.532517007,1.578956916,0,-23.212665,0.920209,1,,12.941034,0.001483042,674.289627,
34,69632,71680,2048,1.578956916,1.625396825,0,-21.867331,0.950180,1,,13.830070,0.001474276,678.299257,
35,71680,73728,2048,1.625396825,1.671836735,0,-22.155253,0.929480,1,,13.073921,0.001626619,614.772142,
36,73728,75776,2048,1.671836735,1.718276644,0,-20.924891,0.969944,1,,13.292379,0.001457085,686.301607,
37,75776,77824,2048,1.718276644,1.764716553,0,-22.456191,0.951350,1,,13.230807,0.001729610,578.165111,
38,77824,79872,2048,1.764716553,1.811156463,0,-21.236128,0.958564,1,,12.722184,0.001450041,689.635620,
39,79872,81920,2048,1.811156463,1.857596372,0,-21.134343,0.969861,1,,12.429819,0.001452723,688.362401,
40,81920,83968,2048,1.857596372,1.904036281,0,-21.739153,0.902995,1,,11.670007,0.001708628,585.264910,
41,83968,86016,2048,1.904036281,1.950476190,0,-21.920439,0.881020,1,,13.516430,0.001754367,570.006094,
42,86016,88064,2048,1.950476190,1.996916100,0,-21.264603,0.907059,1,,11.431883,0.001661789,601.761068,
43,88064,90112,2048,1.996916100,2.043356009,0,-19.742067,0.937160,1,,12.339304,0.001713392,583.637655,
44,90112,92160,2048,2.043356009,2.089795918,0,-21.998689,0.890640,1,,12.345795,0.001723628,580.171752,
45,92160,94208,2048,2.089795918,2.136235828,0,-21.327357,0.916130,1,,11.710458,0.001736286,575.942114,
46,94208,96256,2048,2.136235828,2.182675737,0,-22.402012,0.917920,1,,11.584924,0.001680002,595.237269,
47,96256,98304,2048,2.182675737,2.229115646,0,-20.228055,0.851793,1,,11.640682,0.001713370,583.645035,
48,98304,100352,2048,2.229115646,2.275555556,0,-22.203412,0.899429,1,,13.278554,0.001707376,585.694178,
49,100352,102400,2048,2.275555556,2.321995465,0,-21.552044,0.901064,1,,10.560647,0.001701552,587.698833,
50,102400,104448,2048,2.321995465,2.368435374,0,-19.744148,0.941350,1,,12.607250,0.001714477,583.268114,
51,104448,106496,2048,2.368435374,2.414875283,0,-22.080240,0.833898,1,,11.824692,0.001721902,580.753085,
52,106496,108544,2048,2.414875283,2.461315193,0,-21.394957,0.928037,1,,12.072197,0.001770291,564.879027,
53,108544,110592,2048,2.461315193,2.507755102,0,-19.599198,0.957727,1,,12.187313,0.001733212,576.963575,
54,110592,112640,2048,2.507755102,2.554195011,0,-21.746217,0.882035,1,,11.387280,0.001714056,583.411665,
55,112640,114688,2048,2.554195011,2.600634921,0,-23.393617,0.940957,1,,12.925940,0.001803063,554.611795,
56,114688,116736,2048,2.600634921,2.647074830,0,-21.350261,0.917066,1,,11.188559,0.001684423,593.674934,
57,116736,118784,2048,2.647074830,2.693514739,0,-19.055755,0.931786,1,,12.914232,0.001722005,580.718371,
58,118784,120832,2048,2.693514739,2.739954649,0,-23.143177,0.923866,1,,12.036505,0.001703183,587.136040,
59,120832,122880,2048,2.739954649,2.786394558,0,-20.543121,0.932011,1,,11.558165,0.001698906,588.614103,
60,122880,124928,2048,2.786394558,2.832834467,0,-19.581420,0.976311,1,,12.203656,0.001722057,580.701024,
61,124928,126976,2048,2.832834467,2.879274376,0,-22.339821,0.894842,1,,11.694263,0.001704224,586.777302,
62,126976,129024,2048,2.879274376,2.925714286,0,-20.498805,0.959403,1,,12.605847,0.001604442,623.269798,
63,129024,131072,2048,2.925714286,2.972154195,0,-18.687472,0.947187,1,,12.408760,0.001679740,595.330236,
64,131072,133120,2048,2.972154195,3.018594104,0,-20.499072,0.914074,1,,12.977492,0.001721799,580.787758,
65,133120,135168,2048,3.018594104,3.065034014,0,-21.227801,0.951400,1,,12.642396,0.001739487,574.882015,
66,135168,137216,2048,3.065034014,3.111473923,0,-18.723057,0.960076,1,,12.313550,0.001609278,621.396588,
67,137216,139264,2048,3.111473923,3.157913832,0,-18.664760,0.954460,1,,12.320074,0.001636172,611.182732,
68,139264,141312,2048,3.157913832,3.204353741,0,-20.624404,0.874026,1,,12.030273,0.001628603,614.023278,
69,141312,143360,2048,3.204353741,3.250793651,0,-17.561111,0.942593,1,,12.090788,0.001631285,613.013492,
