frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-25.199278,0.972154,1,,6.222774,0.001641736,609.111476,
1,2048,4096,2048,0.046439909,0.092879819,0,-16.962213,0.971743,1,,11.217457,0.001806697,553.496349,
2,4096,6144,2048,0.092879819,0.139319728,0,-16.171271,0.978558,1,,11.892615,0.001535397,651.297354,
3,6144,8192,2048,0.139319728,0.185759637,0,-18.960589,0.962116,1,,11.896581,0.001601909,624.255191,
4,8192,10240,2048,0.185759637,0.232199546,0,-18.047345,0.955988,1,,11.860841,0.001584300,631.193769,
5,10240,12288,2048,0.232199546,0.278639456,0,-15.705758,0.984789,1,,12.124048,0.001473113,678.834643,
6,12288,14336,2048,0.278639456,0.325079365,0,-18.094953,0.974707,1,,12.438162,0.001781044,561.468460,
7,14336,16384,2048,0.325079365,0.371519274,0,-18.222245,0.977812,1,,12.135190,0.001479137,676.069892,
8,16384,18432,2048,0.371519274,0.417959184,0,-20.281144,0.977959,1,,12.806126,0.001475125,677.908487,
9,18432,20480,2048,0.417959184,0.464399093,0,-15.532964,0.987110,1,,12.556290,0.001457083,686.302832,
10,20480,22528,2048,0.464399093,0.510839002,0,-14.463382,0.989081,1,,12.340434,0.001463411,683.334893,
11,22528,24576,2048,0.510839002,0.557278912,0,-16.279640,0.987016,1,,11.967605,0.001499053,667.087704,
12,24576,26624,2048,0.557278912,0.603718821,0,-19.489983,0.981857,1,,11.281814,0.001420124,704.163716,
13,26624,28672,2048,0.603718821,0.650158730,0,-19.142444,0.984328,1,,11.797465,0.001454692,687.430740,
14,28672,30720,2048,0.650158730,0.696598639,0,-15.866770,0.981573,1,,11.583336,0.001422760,702.859347,
15,30720,32768,2048,0.696598639,0.743038549,0,-21.104266,0.966446,1,,12.159216,0.001426487,701.022661,
16,32768,34816,2048,0.743038549,0.789478458,0,-16.221368,0.984814,1,,11.227722,0.001392059,718.360437,
17,34816,36864,2048,0.789478458,0.835918367,0,-18.297429,0.964286,1,,11.963336,0.001725007,579.707809,
18,36864,38912,2048,0.835918367,0.882358277,0,-19.809801,0.978107,1,,10.739161,0.001439855,694.514538,
19,38912,40960,2048,0.882358277,0.928798186,0,-16.484160,0.975697,1,,10.990995,0.001436660,696.058672,
20,40960,43008,2048,0.928798186,0.975238095,0,-18.346797,0.979083,1,,11.426642,0.001444136,692.455765,
21,43008,45056,2048,0.975238095,1.021678005,0,-17.848756,0.973870,1,,11.438568,0.001430732,698.943026,
22,45056,47104,2048,1.021678005,1.068117914,0,-17.942684,0.944421,1,,11.159554,0.001739002,575.042405,
23,47104,49152,2048,1.068117914,1.114557823,0,-24.055898,0.940032,1,,13.362901,0.001460358,684.763592,
24,49152,51200,2048,1.114557823,1.160997732,0,-16.391844,0.973512,1,,12.089214,0.001447447,690.871450,
25,51200,53248,2048,1.160997732,1.207437642,0,-18.962079,0.978841,1,,12.139967,0.001435522,696.610619,
26,53248,55296,2048,1.207437642,1.253877551,0,-16.815529,0.982807,1,,12.274139,0.001422763,702.857946,
27,55296,57344,2048,1.253877551,1.300317460,0,-21.919622,0.973928,1,,13.477045,0.001434075,697.313806,
28,57344,59392,2048,1.300317460,1.346757370,0,-19.638243,0.974835,1,,12.441157,0.001409598,709.422270,
29,59392,61440,2048,1.346757370,1.393197279,0,-18.755358,0.962522,1,,12.548971,0.001406114,711.179713,
30,61440,63488,2048,1.393197279,1.439637188,0,-16.146521,0.988721,1,,13.323465,0.001412463,707.983396,
31,63488,65536,2048,1.439637188,1.486077098,0,-17.892804,0.973713,1,,13.103111,0.001427295,700.625959,
32,65536,67584,2048,1.486077098,1.532517007,0,-22.573246,0.938972,1,,11.218951,0.001497117,667.950633,
33,67584,69632,2048,1.532517007,1.578956916,0,-23.026478,0.933461,1,,11.117419,0.001445288,691.903408,
34,69632,71680,2048,1.578956916,1.625396825,0,-19.694807,0.948669,1,,12.200693,0.001463171,683.446928,
