frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_voiced,voicing_warning,cpps_db,peak_quefrency_s,peak_frequency_hz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,0,-39.889444,0.465128,1,,4.204511,0.003618978,276.321095,
1,2048,4096,2048,0.046439909,0.092879819,0,-37.784535,0.448502,1,,1.841302,0.001089049,918.232352,
2,4096,6144,2048,0.092879819,0.139319728,0,-18.594755,0.964067,1,,7.489874,0.001457473,686.119050,
3,6144,8192,2048,0.139319728,0.185759637,0,-15.679595,0.986469,1,,7.376776,0.001431584,698.526973,
4,8192,10240,2048,0.185759637,0.232199546,0,-15.667653,0.991357,1,,7.856630,0.001494999,668.896711,
5,10240,12288,2048,0.232199546,0.278639456,0,-16.023956,0.992108,1,,8.136991,0.001370513,729.653850,
6,12288,14336,2048,0.278639456,0.325079365,0,-16.959970,0.990206,1,,11.335427,0.001441158,693.886542,
7,14336,16384,2048,0.325079365,0.371519274,0,-15.572515,0.992502,1,,12.070214,0.001417750,705.343155,
8,16384,18432,2048,0.371519274,0.417959184,0,-20.312668,0.958584,1,,14.286164,0.001461478,684.238955,
9,18432,20480,2048,0.417959184,0.464399093,0,-19.769435,0.933534,1,,13.593692,0.001460819,684.547738,
10,20480,22528,2048,0.464399093,0.510839002,0,-18.253556,0.968661,1,,12.135334,0.001442018,693.472437,
11,22528,24576,2048,0.510839002,0.557278912,0,-18.925445,0.958991,1,,11.231315,0.001439978,694.455145,
12,24576,26624,2048,0.557278912,0.603718821,0,-18.973795,0.938239,1,,11.238608,0.001687123,592.725157,
13,26624,28672,2048,0.603718821,0.650158730,0,-20.041756,0.979159,1,,13.051608,0.001444955,692.063192,
14,28672,30720,2048,0.650158730,0.696598639,0,-20.354022,0.948150,1,,13.549578,0.001437923,695.447754,
15,30720,32768,2048,0.696598639,0.743038549,0,-16.917227,0.975490,1,,11.385507,0.001414189,707.119301,
16,32768,34816,2048,0.743038549,0.789478458,0,-19.003615,0.922901,1,,12.222796,0.001689707,591.818458,
17,34816,36864,2048,0.789478458,0.835918367,0,-16.902784,0.974983,1,,13.120378,0.001437540,695.632920,
