frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-29.704698,TRUE,,612.569241,0.964304,614.181142,1242.814594,25.946872,3.839238,22.107634,,,,,,
1,2048,4096,2048,0.046440,0.092880,-21.809438,TRUE,,612.403747,0.990086,616.747936,1221.289792,32.838711,31.777455,1.061255,,,,,,
2,4096,6144,2048,0.092880,0.139320,-15.868611,TRUE,,623.872567,0.990227,623.127943,1248.049006,38.968750,37.130619,1.838131,,,,,,
3,6144,8192,2048,0.139320,0.185760,-13.992091,TRUE,,629.649631,0.990196,629.220089,1259.655463,41.919527,38.214055,3.705472,,,,,,
4,8192,10240,2048,0.185760,0.232200,-13.442300,TRUE,,633.481884,0.989730,635.283028,1264.563220,42.520217,39.977020,2.543197,,,,,,
5,10240,12288,2048,0.232200,0.278639,-12.838554,TRUE,,618.912729,0.989080,616.647563,1237.628649,39.762643,43.106451,-3.343807,,,,,,
6,12288,14336,2048,0.278639,0.325079,-13.708763,TRUE,,622.780074,0.990149,620.450438,1246.611526,40.057663,40.118988,-0.061325,,,,,,
7,14336,16384,2048,0.325079,0.371519,-14.539238,TRUE,,643.462709,0.974557,651.428766,1294.571251,36.379757,35.943752,0.436005,,,,,,
8,16384,18432,2048,0.371519,0.417959,-13.153216,TRUE,,626.772731,0.979759,626.081723,1250.321696,35.967705,39.482687,-3.514982,,,,,,
9,18432,20480,2048,0.417959,0.464399,-13.385672,TRUE,,623.034433,0.990869,624.132058,1244.998680,41.658274,39.303452,2.354822,,,,,,
10,20480,22528,2048,0.464399,0.510839,-16.203350,TRUE,,627.330861,0.989697,626.094710,1255.041387,37.317874,38.798438,-1.480564,,,,,,
11,22528,24576,2048,0.510839,0.557279,-20.123888,TRUE,,635.044620,0.984365,634.075250,1270.122982,33.430248,33.182952,0.247296,,,,,,
12,24576,26624,2048,0.557279,0.603719,-13.832326,TRUE,,645.501489,0.988506,643.596635,1295.722976,42.635762,35.321533,7.314229,,,,,,
13,26624,28672,2048,0.603719,0.650159,-16.184016,TRUE,,618.367481,0.979722,613.186945,1235.692975,34.872223,38.224586,-3.352364,,,,,,
14,28672,30720,2048,0.650159,0.696599,-17.146209,TRUE,,614.902990,0.983140,612.958658,1227.534032,29.103320,38.878411,-9.775091,,,,,,
15,30720,32768,2048,0.696599,0.743039,-17.989588,TRUE,,633.685614,0.973250,632.764958,1275.567664,35.548109,31.507416,4.040693,,,,,,
16,32768,34816,2048,0.743039,0.789478,-17.381745,TRUE,,637.397341,0.989150,638.534802,1273.828007,38.116758,33.109502,5.007255,,,,,,
17,34816,36864,2048,0.789478,0.835918,-16.344991,TRUE,,622.012379,0.983195,620.641323,1241.717065,29.524399,38.314255,-8.789855,,,,,,
18,36864,38912,2048,0.835918,0.882358,-15.045425,TRUE,,623.816204,0.988093,624.290077,1244.859091,39.862716,37.669934,2.192782,,,,,,
19,38912,40960,2048,0.882358,0.928798,-15.815005,TRUE,,650.606815,0.971660,646.375241,1312.658095,38.271155,34.467352,3.803803,,,,,,
20,40960,43008,2048,0.928798,0.975238,-16.368204,TRUE,,657.647087,0.989293,658.467667,1315.873524,38.049237,35.344556,2.704680,,,,,,
21,43008,45056,2048,0.975238,1.021678,-13.147030,TRUE,,647.221959,0.990783,650.539872,1291.642998,42.895509,36.351742,6.543766,,,,,,
22,45056,47104,2048,1.021678,1.068118,-11.715731,TRUE,,652.115020,0.988073,647.625570,1306.998737,43.653998,40.746425,2.907573,,,,,,
23,47104,49152,2048,1.068118,1.114558,-16.263821,TRUE,,648.787670,0.987587,649.253940,1294.301840,39.796656,26.501462,13.295195,,,,,,
24,49152,51200,2048,1.114558,1.160998,-26.580943,TRUE,,647.399003,0.976854,641.316441,1306.066028,29.337168,20.423563,8.913605,,,,,,
25,51200,53248,2048,1.160998,1.207438,-33.952616,TRUE,,646.741344,0.858988,650.709092,1340.827917,20.556364,10.586263,9.970101,,,,,,
26,53248,55296,2048,1.207438,1.253878,-38.040346,TRUE,,650.837558,0.939572,664.288885,1350.908104,15.712734,5.991789,9.720945,,,,,,
27,55296,57344,2048,1.253878,1.300317,-44.451749,TRUE,,650.473175,0.953460,659.404213,1289.836337,12.252741,-3.992669,16.245410,,,,,,
28,57344,59392,2048,1.300317,1.346757,-39.299074,TRUE,,220.517556,0.720843,193.798828,444.423927,-26.123026,11.082972,-37.205998,,,,,,
29,59392,61440,2048,1.346757,1.393197,-33.233465,TRUE,,454.662097,0.969085,450.387070,912.491320,21.704429,19.382993,2.321436,,,,,,
30,61440,63488,2048,1.393197,1.439637,-29.838186,TRUE,,445.085543,0.980154,445.922000,884.659100,26.823250,18.543687,8.279563,,,,,,
31,63488,65536,2048,1.439637,1.486077,-30.696349,TRUE,,439.967746,0.981784,439.716833,879.633699,25.878372,18.384340,7.494032,,,,,,
32,65536,67584,2048,1.486077,1.532517,-30.811518,TRUE,,440.677089,0.981851,439.034641,882.084058,24.057346,21.506569,2.550778,,,,,,
33,67584,69632,2048,1.532517,1.578957,-26.185608,TRUE,,444.068044,0.983489,443.323794,888.767284,29.745860,25.399279,4.346581,,,,,,
34,69632,71680,2048,1.578957,1.625397,-24.160085,TRUE,,445.286900,0.983798,444.832005,890.456315,30.755832,29.911100,0.844733,,,,,,
35,71680,73728,2048,1.625397,1.671837,-24.194781,TRUE,,443.770963,0.981933,443.127993,888.079242,30.922490,29.762474,1.160016,,,,,,
36,73728,75776,2048,1.671837,1.718277,-28.145456,TRUE,,440.427098,0.978029,440.188250,893.944205,28.417450,17.022461,11.394989,,,,,,
37,75776,77824,2048,1.718277,1.764717,-26.933358,TRUE,,438.618298,0.977988,439.359830,877.246264,30.015106,22.297789,7.717316,,,,,,
38,77824,79872,2048,1.764717,1.811156,-26.813484,TRUE,,444.258965,0.981134,443.291990,893.872086,29.342354,20.147549,9.194805,,,,,,
