frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-13.650232,TRUE,,608.624060,0.978487,604.531269,1217.980305,39.947008,41.910027,-1.963019,,,,,,
1,2048,4096,2048,0.046440,0.092880,-11.955294,TRUE,,615.928748,0.988192,613.848706,1232.039523,35.998387,44.732274,-8.733887,,,,,,
2,4096,6144,2048,0.092880,0.139320,-12.697481,TRUE,,629.182266,0.986879,617.889118,1261.488623,34.959378,43.010059,-8.050681,,,,,,
3,6144,8192,2048,0.139320,0.185760,-10.849453,TRUE,,634.434681,0.987704,630.049659,1269.159157,37.652397,45.790043,-8.137646,,,,,,
4,8192,10240,2048,0.185760,0.232200,-12.030336,TRUE,,640.267624,0.991501,640.082999,1281.050344,37.630439,43.741138,-6.110699,,,,,,
5,10240,12288,2048,0.232200,0.278639,-10.173360,TRUE,,631.420047,0.991626,636.411570,1262.170726,36.811736,46.556172,-9.744436,,,,,,
6,12288,14336,2048,0.278639,0.325079,-11.207575,TRUE,,630.297788,0.991876,633.444446,1260.069311,36.300117,45.362075,-9.061958,,,,,,
7,14336,16384,2048,0.325079,0.371519,-9.303745,TRUE,,631.802091,0.991336,626.419799,1263.184723,26.896853,48.210114,-21.313261,,,,,,
8,16384,18432,2048,0.371519,0.417959,-12.377761,TRUE,,626.979376,0.986174,635.683367,1252.994238,28.421342,42.893750,-14.472408,,,,,,
9,18432,20480,2048,0.417959,0.464399,-11.273590,TRUE,,626.318835,0.988851,622.506439,1252.883264,35.670860,46.016403,-10.345543,,,,,,
10,20480,22528,2048,0.464399,0.510839,-11.102119,TRUE,,622.648364,0.990966,625.089422,1244.668852,40.888645,44.780248,-3.891603,,,,,,
