frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-20.711241,TRUE,,663.594553,0.967617,662.562817,1327.321511,28.289359,23.643581,4.645778,,,,,,
1,2048,4096,2048,0.046440,0.092880,-16.325773,TRUE,,670.531192,0.989974,670.226540,1341.458673,40.120180,29.166844,10.953336,,,,,,
2,4096,6144,2048,0.092880,0.139320,-14.998374,TRUE,,677.681065,0.987722,678.892986,1359.210896,39.735869,25.866449,13.869421,,,,,,
3,6144,8192,2048,0.139320,0.185760,-15.280535,TRUE,,640.065137,0.984147,641.184898,1270.745856,38.906932,31.911022,6.995910,,,,,,
4,8192,10240,2048,0.185760,0.232200,-16.404414,TRUE,,637.946840,0.968745,621.505135,1267.902527,36.113091,34.381216,1.731875,,,,,,
5,10240,12288,2048,0.232200,0.278639,-14.494094,TRUE,,634.206637,0.988532,634.070986,1267.658357,39.936704,38.767096,1.169608,,,,,,
6,12288,14336,2048,0.278639,0.325079,-13.216795,TRUE,,633.944059,0.989264,634.354591,1267.053652,41.640239,40.610453,1.029786,,,,,,
7,14336,16384,2048,0.325079,0.371519,-13.106338,TRUE,,635.421580,0.990289,634.324277,1271.305606,41.394280,41.178175,0.216106,,,,,,
8,16384,18432,2048,0.371519,0.417959,-13.287824,TRUE,,622.806901,0.987285,626.976639,1239.669275,40.416450,37.842471,2.573980,,,,,,
9,18432,20480,2048,0.417959,0.464399,-10.542417,TRUE,,620.525034,0.991774,620.552388,1240.277328,46.252509,35.715464,10.537046,,,,,,
10,20480,22528,2048,0.464399,0.510839,-10.774778,TRUE,,620.548319,0.991644,620.085234,1239.211077,45.932623,33.533456,12.399167,,,,,,
11,22528,24576,2048,0.510839,0.557279,-11.197340,TRUE,,622.026031,0.991343,621.112834,1246.103055,45.539461,35.752935,9.786526,,,,,,
12,24576,26624,2048,0.557279,0.603719,-11.774183,TRUE,,621.696049,0.991289,621.603145,1241.701494,44.571662,35.873155,8.698507,,,,,,
13,26624,28672,2048,0.603719,0.650159,-11.187396,TRUE,,618.758505,0.990798,619.406559,1236.625096,45.109058,37.708733,7.400324,,,,,,
14,28672,30720,2048,0.650159,0.696599,-13.093448,TRUE,,623.024422,0.991011,620.432584,1250.889449,43.005471,34.810475,8.194996,,,,,,
15,30720,32768,2048,0.696599,0.743039,-11.398629,TRUE,,622.209032,0.991591,621.889269,1241.468376,45.818647,29.092325,16.726321,,,,,,
