frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-24.077527,FALSE,f0_out_of_range,,0.931226,,,,,,,,,,,
1,2048,4096,2048,0.046440,0.092880,-25.505649,FALSE,f0_out_of_range,,0.923090,,,,,,,,,,,
2,4096,6144,2048,0.092880,0.139320,-22.803772,FALSE,f0_out_of_range,,0.976425,,,,,,,,,,,
3,6144,8192,2048,0.139320,0.185760,-23.904605,FALSE,f0_out_of_range,,0.963107,,,,,,,,,,,
4,8192,10240,2048,0.185760,0.232200,-24.465421,FALSE,f0_out_of_range,,0.972129,,,,,,,,,,,
5,10240,12288,2048,0.232200,0.278639,-24.115971,FALSE,f0_out_of_range,,0.952932,,,,,,,,,,,
6,12288,14336,2048,0.278639,0.325079,-19.144609,TRUE,,608.087583,0.941727,617.781744,1210.689602,31.622357,28.589570,3.032787,,,,,,
7,14336,16384,2048,0.325079,0.371519,-16.818147,TRUE,,605.339231,0.972692,604.529399,1210.458443,33.930303,38.695261,-4.764959,,,,,,
8,16384,18432,2048,0.371519,0.417959,-15.555368,TRUE,,601.593482,0.959755,606.062187,1202.597988,32.588556,40.421770,-7.833214,,,,,,
9,18432,20480,2048,0.417959,0.464399,-17.549387,TRUE,,606.701069,0.963959,606.011447,1212.306181,34.684806,34.835367,-0.150561,,,,,,
10,20480,22528,2048,0.464399,0.510839,-15.620195,TRUE,,620.221222,0.969784,631.674905,1241.025469,32.201323,40.224127,-8.022804,,,,,,
11,22528,24576,2048,0.510839,0.557279,-17.029463,TRUE,,614.659885,0.975578,605.815011,1230.281690,32.147987,38.958458,-6.810471,,,,,,
12,24576,26624,2048,0.557279,0.603719,-17.057374,TRUE,,615.537598,0.975241,617.039752,1230.384953,33.954258,37.781208,-3.826951,,,,,,
13,26624,28672,2048,0.603719,0.650159,-16.614918,TRUE,,629.434170,0.976260,629.024390,1265.932561,37.051097,35.566889,1.484208,,,,,,
14,28672,30720,2048,0.650159,0.696599,-18.422462,TRUE,,620.853921,0.980514,625.075997,1234.005890,37.095940,31.471133,5.624806,,,,,,
15,30720,32768,2048,0.696599,0.743039,-22.013063,TRUE,,606.971713,0.964951,614.471376,1208.843576,30.130582,32.388294,-2.257712,,,,,,
16,32768,34816,2048,0.743039,0.789478,-20.297125,TRUE,,610.543536,0.974568,612.991890,1205.451122,35.831693,26.890143,8.941550,,,,,,
17,34816,36864,2048,0.789478,0.835918,-18.734374,TRUE,,622.454045,0.972447,628.486566,1243.734585,29.942889,36.205389,-6.262500,,,,,,
18,36864,38912,2048,0.835918,0.882358,-19.210126,TRUE,,614.554142,0.965986,609.592362,1229.242381,31.830058,35.342971,-3.512913,,,,,,
19,38912,40960,2048,0.882358,0.928798,-18.833735,TRUE,,612.136448,0.979585,614.457741,1220.868912,37.043188,32.757771,4.285417,,,,,,
20,40960,43008,2048,0.928798,0.975238,-17.001872,TRUE,,615.324163,0.974869,620.241282,1229.719195,31.251819,39.751819,-8.500000,,,,,,
21,43008,45056,2048,0.975238,1.021678,-17.402858,TRUE,,618.104519,0.977915,613.968415,1236.902314,33.300408,37.985625,-4.685217,,,,,,
22,45056,47104,2048,1.021678,1.068118,-18.056705,TRUE,,623.009191,0.974488,621.739670,1247.052239,35.961851,34.413789,1.548062,,,,,,
23,47104,49152,2048,1.068118,1.114558,-18.727190,TRUE,,618.517356,0.979370,629.099777,1236.499136,24.241812,37.892781,-13.650969,,,,,,
24,49152,51200,2048,1.114558,1.160998,-18.281663,TRUE,,619.395949,0.976087,623.314681,1237.306514,33.592409,37.018511,-3.426103,,,,,,
25,51200,53248,2048,1.160998,1.207438,-19.915740,TRUE,,620.621403,0.977910,620.551981,1240.484642,33.348954,34.475010,-1.126056,,,,,,
26,53248,55296,2048,1.207438,1.253878,-18.966723,TRUE,,632.934393,0.968039,631.718058,1268.295342,37.084622,28.660960,8.423662,,,,,,
27,55296,57344,2048,1.253878,1.300317,-18.835081,TRUE,,634.495396,0.967002,633.876751,1262.454312,37.283778,15.158765,22.125014,,,,,,
28,57344,59392,2048,1.300317,1.346757,-22.542489,TRUE,,621.532639,0.944156,634.796937,1229.565173,28.817931,17.944858,10.873073,,,,,,
