frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-41.940174,FALSE,low_autocorrelation_clarity,,0.136720,,,,,,,,,,,
1,2048,4096,2048,0.046440,0.092880,-41.258730,FALSE,low_autocorrelation_clarity,,-0.154550,,,,,,,,,,,
2,4096,6144,2048,0.092880,0.139320,-38.366898,FALSE,low_autocorrelation_clarity,,-0.104244,,,,,,,,,,,
3,6144,8192,2048,0.139320,0.185760,-36.993359,TRUE,,805.351863,0.610155,780.044706,1632.440689,-8.177938,-6.280916,-1.897022,,,,,,
4,8192,10240,2048,0.185760,0.232200,-33.874610,TRUE,,614.313462,0.782366,604.698712,1225.090022,18.781794,5.201531,13.580263,,,,,,
5,10240,12288,2048,0.232200,0.278639,-25.283705,TRUE,,612.924887,0.973608,612.105969,1226.695657,30.757097,22.828888,7.928209,,,,,,
6,12288,14336,2048,0.278639,0.325079,-20.578927,TRUE,,608.704085,0.984918,608.097244,1219.074495,35.993222,27.409045,8.584177,,,,,,
7,14336,16384,2048,0.325079,0.371519,-14.865641,TRUE,,614.199767,0.988516,615.532991,1226.681278,40.932738,37.747959,3.184779,,,,,,
8,16384,18432,2048,0.371519,0.417959,-14.925100,TRUE,,622.634246,0.989481,623.927998,1237.349719,41.805429,32.161814,9.643615,,,,,,
9,18432,20480,2048,0.417959,0.464399,-15.025678,TRUE,,621.787923,0.991035,620.101885,1243.932712,40.147549,38.457786,1.689764,,,,,,
10,20480,22528,2048,0.464399,0.510839,-14.641754,TRUE,,620.940612,0.991563,618.991599,1243.012732,40.972681,37.455461,3.517220,,,,,,
11,22528,24576,2048,0.510839,0.557279,-15.573389,TRUE,,623.455838,0.990950,622.461377,1255.665327,41.548260,27.891254,13.657006,,,,,,
12,24576,26624,2048,0.557279,0.603719,-16.373104,TRUE,,625.846941,0.986421,629.615138,1247.710755,38.499351,37.041769,1.457582,,,,,,
13,26624,28672,2048,0.603719,0.650159,-18.120771,TRUE,,626.163548,0.989521,625.733507,1259.337792,37.660001,26.873867,10.786134,,,,,,
14,28672,30720,2048,0.650159,0.696599,-17.713483,TRUE,,625.992434,0.990856,625.339922,1260.513622,39.050726,25.908472,13.142254,,,,,,
15,30720,32768,2048,0.696599,0.743039,-16.211680,TRUE,,626.727766,0.989461,628.965723,1251.489944,38.941434,37.208805,1.732630,,,,,,
16,32768,34816,2048,0.743039,0.789478,-18.437191,TRUE,,627.629127,0.990391,628.964313,1251.005847,37.328338,31.016539,6.311798,,,,,,
17,34816,36864,2048,0.789478,0.835918,-17.113966,TRUE,,627.808182,0.991071,628.068175,1255.148594,38.444851,35.780968,2.663882,,,,,,
