frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-27.047330,FALSE,f0_out_of_range,,0.965467,,,,,,,,,,,
1,2048,4096,2048,0.046440,0.092880,-26.347662,FALSE,f0_out_of_range,,0.972453,,,,,,,,,,,
2,4096,6144,2048,0.092880,0.139320,-28.896005,FALSE,f0_out_of_range,,0.946096,,,,,,,,,,,
3,6144,8192,2048,0.139320,0.185760,-29.233927,TRUE,,209.593692,0.431770,193.798828,438.488886,7.231072,-10.790984,18.022056,,,,,,
4,8192,10240,2048,0.185760,0.232200,-27.931872,FALSE,f0_out_of_range,,0.955912,,,,,,,,,,,
5,10240,12288,2048,0.232200,0.278639,-25.381384,FALSE,f0_out_of_range,,0.959496,,,,,,,,,,,
6,12288,14336,2048,0.278639,0.325079,-19.939551,TRUE,,559.286652,0.935859,559.312724,1128.074891,35.225959,20.378892,14.847066,,,,,,
7,14336,16384,2048,0.325079,0.371519,-15.862791,TRUE,,593.857927,0.972148,591.686789,1189.275174,36.287198,38.634369,-2.347171,,,,,,
8,16384,18432,2048,0.371519,0.417959,-15.093452,TRUE,,1193.427265,0.893875,1193.610381,2393.550616,41.808618,3.218621,38.589997,,,,,,
9,18432,20480,2048,0.417959,0.464399,-15.338538,TRUE,,606.802299,0.977363,610.609125,1211.245532,35.624119,37.239983,-1.615864,,,,,,
10,20480,22528,2048,0.464399,0.510839,-16.136794,TRUE,,620.636947,0.990134,623.526411,1241.356109,29.188478,39.268586,-10.080108,,,,,,
11,22528,24576,2048,0.510839,0.557279,-13.934294,TRUE,,619.230152,0.990818,614.584439,1238.436364,33.766829,43.184141,-9.417312,,,,,,
