frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-29.897752,FALSE,f0_out_of_range,,0.985460,,,,,,,,,,,
1,2048,4096,2048,0.046440,0.092880,-28.182002,TRUE,,522.242130,0.890056,524.731682,987.426124,18.622184,3.130639,15.491546,,,,,,
2,4096,6144,2048,0.092880,0.139320,-17.567720,TRUE,,1197.788110,0.943389,1197.259743,2414.408606,38.928352,-0.872426,39.800779,,,,,,
3,6144,8192,2048,0.139320,0.185760,-16.174436,TRUE,,599.583369,0.986252,597.399064,1198.634786,31.778440,40.138022,-8.359582,,,,,,
4,8192,10240,2048,0.185760,0.232200,-15.715741,TRUE,,624.190459,0.984342,624.941999,1248.515814,35.138001,40.053732,-4.915731,,,,,,
5,10240,12288,2048,0.232200,0.278639,-15.235582,TRUE,,623.363168,0.985757,623.447269,1247.825617,36.180358,39.356785,-3.176426,,,,,,
6,12288,14336,2048,0.278639,0.325079,-13.566006,TRUE,,1190.866665,0.989586,1190.387227,2380.883702,43.858860,-5.041217,48.900077,,,,,,
7,14336,16384,2048,0.325079,0.371519,-17.660769,TRUE,,609.257197,0.975714,604.382440,1218.486645,29.084548,38.729719,-9.645171,,,,,,
8,16384,18432,2048,0.371519,0.417959,-20.056536,TRUE,,641.156027,0.966460,646.164448,1288.641377,33.175242,31.622974,1.552268,,,,,,
9,18432,20480,2048,0.417959,0.464399,-14.055078,FALSE,f0_out_of_range,,0.951993,,,,,,,,,,,
10,20480,22528,2048,0.464399,0.510839,-14.866851,TRUE,,1180.252004,0.971009,1180.072035,2346.678506,42.758969,-0.454274,43.213243,,,,,,
11,22528,24576,2048,0.510839,0.557279,-22.016564,TRUE,,623.363027,0.902243,635.796346,1265.631304,26.582483,30.035599,-3.453116,,,,,,
12,24576,26624,2048,0.557279,0.603719,-20.314463,TRUE,,623.465473,0.962844,620.252961,1250.258124,26.824306,35.835670,-9.011363,,,,,,
13,26624,28672,2048,0.603719,0.650159,-14.824828,FALSE,f0_out_of_range,,0.967134,,,,,,,,,,,
14,28672,30720,2048,0.650159,0.696599,-16.796943,FALSE,f0_out_of_range,,0.933465,,,,,,,,,,,
15,30720,32768,2048,0.696599,0.743039,-21.345583,TRUE,,628.875381,0.973838,622.848110,1259.513207,29.534479,33.207459,-3.672980,,,,,,
16,32768,34816,2048,0.743039,0.789478,-19.136875,TRUE,,615.797521,0.983353,615.996234,1232.146616,30.705606,37.037138,-6.331532,,,,,,
17,34816,36864,2048,0.789478,0.835918,-16.232513,TRUE,,604.700071,0.985759,608.935523,1208.339310,20.516769,40.971519,-20.454751,,,,,,
18,36864,38912,2048,0.835918,0.882358,-16.745154,TRUE,,612.529830,0.983473,610.711960,1221.538140,23.444747,38.330109,-14.885362,,,,,,
19,38912,40960,2048,0.882358,0.928798,-17.656641,TRUE,,620.192711,0.982727,622.253889,1245.085771,27.408637,36.619933,-9.211296,,,,,,
20,40960,43008,2048,0.928798,0.975238,-17.732861,TRUE,,613.694164,0.986851,613.835294,1227.784811,25.056826,38.082051,-13.025225,,,,,,
21,43008,45056,2048,0.975238,1.021678,-16.322760,TRUE,,607.537559,0.985054,613.442172,1213.693058,26.548019,40.248256,-13.700237,,,,,,
22,45056,47104,2048,1.021678,1.068118,-14.292711,TRUE,,1199.002501,0.937345,1199.645664,2409.936494,43.442646,3.810599,39.632047,,,,,,
23,47104,49152,2048,1.068118,1.114558,-20.967922,TRUE,,583.625754,0.866906,537.958517,1175.840831,22.616889,29.110233,-6.493343,,,,,,
24,49152,51200,2048,1.114558,1.160998,-25.360002,TRUE,,1111.771219,0.737030,1100.747262,2190.534817,24.545669,-22.307221,46.852890,,,,,,
25,51200,53248,2048,1.160998,1.207438,-29.607238,TRUE,,582.888441,0.727402,559.059451,1195.735284,16.403888,22.556175,-6.152287,,,,,,
26,53248,55296,2048,1.207438,1.253878,-32.919986,TRUE,,1168.621701,0.709331,1111.513796,2295.191317,17.103391,-26.448170,43.551560,,,,,,
27,55296,57344,2048,1.253878,1.300317,-37.189595,TRUE,,568.917252,0.722396,590.192983,1155.964063,5.880949,12.756317,-6.875368,,,,,,
28,57344,59392,2048,1.300317,1.346757,-38.329815,TRUE,,1165.779606,0.820102,1146.987435,2324.282769,5.502419,-28.510085,34.012504,,,,,,
29,59392,61440,2048,1.346757,1.393197,-39.761840,TRUE,,532.898233,0.832589,469.768894,1100.388327,5.411341,-3.152255,8.563596,,,,,,
30,61440,63488,2048,1.393197,1.439637,-37.604715,TRUE,,437.185662,0.943592,436.906209,870.259664,17.727331,5.183654,12.543677,,,,,,
31,63488,65536,2048,1.439637,1.486077,-32.790078,TRUE,,446.678453,0.973427,446.491558,892.395397,22.625991,18.484976,4.141014,,,,,,
32,65536,67584,2048,1.486077,1.532517,-31.715438,TRUE,,441.941619,0.951711,441.160306,882.657030,23.988994,16.649571,7.339422,,,,,,
33,67584,69632,2048,1.532517,1.578957,-33.499958,TRUE,,418.756223,0.924142,415.096678,844.868504,19.109913,16.243165,2.866748,,,,,,
34,69632,71680,2048,1.578957,1.625397,-31.042106,TRUE,,420.622634,0.888766,418.899108,841.752093,21.067087,15.033020,6.034068,,,,,,
35,71680,73728,2048,1.625397,1.671837,-20.452939,TRUE,,475.410180,0.959028,473.851645,952.719367,28.809495,35.485247,-6.675752,,,,,,
36,73728,75776,2048,1.671837,1.718277,-22.909779,TRUE,,456.333696,0.892748,470.738822,913.264224,22.145403,29.007467,-6.862064,,,,,,
37,75776,77824,2048,1.718277,1.764717,-28.791875,TRUE,,929.066838,0.623897,931.563194,1856.256617,22.251532,-23.403640,45.655172,,,,,,
38,77824,79872,2048,1.764717,1.811156,-25.547496,TRUE,,453.097856,0.907582,456.371492,911.405334,25.137961,29.808738,-4.670777,,,,,,
