frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-33.476259,TRUE,,900.323172,0.899297,915.705964,1862.770047,-10.145013,2.592150,-12.737162,,,,,,
1,2048,4096,2048,0.046440,0.092880,-33.002871,TRUE,,993.393934,0.944246,999.946354,1937.988281,-5.422615,-6.544868,1.122253,,,,,,
2,4096,6144,2048,0.092880,0.139320,-30.734407,FALSE,f0_out_of_range,,0.972972,,,,,,,,,,,
3,6144,8192,2048,0.139320,0.185760,-36.079002,FALSE,low_autocorrelation_clarity,,-0.576096,,,,,,,,,,,
4,8192,10240,2048,0.185760,0.232200,-33.163811,TRUE,,1126.480468,0.560814,1165.361942,2245.878169,6.542273,1.616058,4.926214,,,,,,
5,10240,12288,2048,0.232200,0.278639,-29.893383,TRUE,,1155.971519,0.685943,1205.949176,2373.785606,11.565867,-4.645876,16.211743,,,,,,
6,12288,14336,2048,0.278639,0.325079,-29.189065,TRUE,,1197.536312,0.740812,1175.952708,2463.314309,9.120883,-4.932104,14.052987,,,,,,
7,14336,16384,2048,0.325079,0.371519,-27.248727,TRUE,,630.120258,0.903120,624.103553,1253.026571,19.013231,23.397759,-4.384528,,,,,,
8,16384,18432,2048,0.371519,0.417959,-18.058384,TRUE,,639.420418,0.976853,645.925735,1280.102541,29.156902,37.170443,-8.013541,,,,,,
9,18432,20480,2048,0.417959,0.464399,-16.392306,TRUE,,638.701218,0.989869,640.343253,1276.920201,32.783827,39.367144,-6.583317,,,,,,
10,20480,22528,2048,0.464399,0.510839,-15.998934,TRUE,,625.483575,0.983925,647.323288,1249.722426,30.814357,41.208608,-10.394251,,,,,,
11,22528,24576,2048,0.510839,0.557279,-16.067192,TRUE,,617.498706,0.985604,614.988797,1233.835125,25.488720,40.891734,-15.403014,,,,,,
12,24576,26624,2048,0.557279,0.603719,-15.677828,TRUE,,622.719390,0.989941,632.323992,1244.929071,23.084637,41.833039,-18.748401,,,,,,
13,26624,28672,2048,0.603719,0.650159,-19.615994,TRUE,,629.319661,0.990296,629.203499,1258.778712,28.071246,35.607680,-7.536435,,,,,,
14,28672,30720,2048,0.650159,0.696599,-15.593893,TRUE,,626.160770,0.988980,626.169130,1252.413666,27.975869,41.373361,-13.397492,,,,,,
15,30720,32768,2048,0.696599,0.743039,-17.289605,TRUE,,625.947752,0.988727,628.028070,1251.883257,28.995937,39.557647,-10.561710,,,,,,
16,32768,34816,2048,0.743039,0.789478,-20.160575,TRUE,,631.994614,0.980521,634.619436,1247.481597,31.848735,29.371404,2.477331,,,,,,
17,34816,36864,2048,0.789478,0.835918,-19.337573,TRUE,,641.659097,0.986662,637.607853,1283.212850,32.676232,34.341022,-1.664790,,,,,,
18,36864,38912,2048,0.835918,0.882358,-17.826127,TRUE,,648.506480,0.989153,646.600906,1313.030757,38.913059,28.437821,10.475239,,,,,,
19,38912,40960,2048,0.882358,0.928798,-18.699506,TRUE,,640.541776,0.986187,651.948084,1277.753009,33.630029,36.423733,-2.793703,,,,,,
20,40960,43008,2048,0.928798,0.975238,-18.851025,TRUE,,633.356406,0.985575,639.372624,1253.725143,36.492642,31.521044,4.971598,,,,,,
21,43008,45056,2048,0.975238,1.021678,-21.056503,TRUE,,633.413082,0.980233,647.356128,1261.083665,30.738089,31.886653,-1.148564,,,,,,
22,45056,47104,2048,1.021678,1.068118,-21.637424,TRUE,,632.505778,0.982153,633.506678,1269.015386,30.545770,32.318961,-1.773191,,,,,,
23,47104,49152,2048,1.068118,1.114558,-18.665359,TRUE,,636.872726,0.984895,634.628158,1274.725311,34.116074,34.748080,-0.632006,,,,,,
24,49152,51200,2048,1.114558,1.160998,-17.479868,TRUE,,640.647681,0.991127,637.236164,1283.360952,37.085537,35.842988,1.242549,,,,,,
25,51200,53248,2048,1.160998,1.207438,-17.236453,TRUE,,640.581220,0.991512,643.010562,1280.045686,37.505601,36.491058,1.014543,,,,,,
26,53248,55296,2048,1.207438,1.253878,-18.724284,TRUE,,633.458578,0.987000,640.249614,1266.293313,35.778692,35.566426,0.212266,,,,,,
27,55296,57344,2048,1.253878,1.300317,-20.856461,TRUE,,633.908343,0.981335,629.641345,1272.834232,24.464242,35.694203,-11.229961,,,,,,
28,57344,59392,2048,1.300317,1.346757,-17.582023,TRUE,,631.282206,0.987582,636.770336,1263.548924,31.274179,39.114285,-7.840106,,,,,,
29,59392,61440,2048,1.346757,1.393197,-21.957157,TRUE,,631.339862,0.978575,639.388574,1269.260165,25.053060,30.167288,-5.114228,,,,,,
