frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-26.014461,TRUE,,116.918465,0.602545,113.725150,215.332031,25.141934,-3.436046,28.577980,,,,,,
1,2048,4096,2048,0.046440,0.092880,-24.113342,TRUE,,129.375251,0.515418,126.192751,256.391590,26.744370,-7.680702,34.425071,,,,,,
2,4096,6144,2048,0.092880,0.139320,-23.684853,FALSE,low_autocorrelation_clarity,,-0.066432,,,,,,,,,,,
3,6144,8192,2048,0.139320,0.185760,-23.115070,FALSE,f0_out_of_range,,0.963395,,,,,,,,,,,
4,8192,10240,2048,0.185760,0.232200,-25.903450,TRUE,,647.482593,0.741042,626.455305,1245.448982,20.434674,-0.187852,20.622526,,,,,,
5,10240,12288,2048,0.232200,0.278639,-17.925127,TRUE,,607.029851,0.949373,605.825699,1192.965144,36.946820,24.125464,12.821355,,,,,,
6,12288,14336,2048,0.278639,0.325079,-17.775721,TRUE,,578.520180,0.956429,574.074512,1150.693138,34.707252,35.252219,-0.544967,,,,,,
7,14336,16384,2048,0.325079,0.371519,-15.492100,TRUE,,590.434205,0.957444,598.785323,1178.195360,34.342884,38.750668,-4.407784,,,,,,
8,16384,18432,2048,0.371519,0.417959,-15.097801,TRUE,,626.081980,0.948781,638.103719,1260.499846,33.119541,36.520820,-3.401279,,,,,,
9,18432,20480,2048,0.417959,0.464399,-16.116300,TRUE,,639.116952,0.986481,642.226785,1278.977231,25.864438,41.364212,-15.499774,,,,,,
10,20480,22528,2048,0.464399,0.510839,-17.753639,TRUE,,632.455904,0.984258,631.724022,1257.253242,37.686004,33.361623,4.324381,,,,,,
11,22528,24576,2048,0.510839,0.557279,-15.854212,TRUE,,624.217199,0.988208,624.457872,1247.555383,38.639392,38.408054,0.231339,,,,,,
12,24576,26624,2048,0.557279,0.603719,-14.581878,TRUE,,619.352644,0.989886,613.098596,1238.477564,30.883900,42.398270,-11.514370,,,,,,
13,26624,28672,2048,0.603719,0.650159,-16.781783,TRUE,,621.249879,0.990280,625.939653,1242.006547,28.236202,40.213587,-11.977385,,,,,,
14,28672,30720,2048,0.650159,0.696599,-19.731423,TRUE,,628.670762,0.986476,628.021933,1258.713952,35.712258,29.921835,5.790422,,,,,,
15,30720,32768,2048,0.696599,0.743039,-17.877156,TRUE,,631.002460,0.984053,629.878435,1253.118994,37.338599,29.309527,8.029072,,,,,,
16,32768,34816,2048,0.743039,0.789478,-15.312377,TRUE,,627.182426,0.987245,629.803164,1251.242352,40.145867,37.597849,2.548018,,,,,,
17,34816,36864,2048,0.789478,0.835918,-15.540753,TRUE,,617.444740,0.987934,610.839938,1235.951645,36.534702,39.819258,-3.284556,,,,,,
18,36864,38912,2048,0.835918,0.882358,-15.753349,TRUE,,615.551197,0.989473,616.171717,1230.526548,37.508798,39.036238,-1.527440,,,,,,
19,38912,40960,2048,0.882358,0.928798,-16.902641,TRUE,,615.328619,0.989324,612.850466,1231.196567,35.478302,38.276633,-2.798331,,,,,,
20,40960,43008,2048,0.928798,0.975238,-16.104531,TRUE,,616.649165,0.987321,619.479114,1232.150013,35.128539,39.277258,-4.148720,,,,,,
21,43008,45056,2048,0.975238,1.021678,-20.484391,TRUE,,624.299522,0.970228,636.488784,1264.557427,28.132491,30.591422,-2.458931,,,,,,
22,45056,47104,2048,1.021678,1.068118,-16.825210,TRUE,,629.058873,0.990103,627.916389,1259.991368,38.431295,36.238138,2.193157,,,,,,
23,47104,49152,2048,1.068118,1.114558,-17.006040,TRUE,,625.226315,0.987930,626.039129,1250.144920,37.643887,36.709901,0.933986,,,,,,
24,49152,51200,2048,1.114558,1.160998,-18.041478,TRUE,,618.052043,0.980461,611.846106,1242.012783,34.979534,34.681852,0.297682,,,,,,
25,51200,53248,2048,1.160998,1.207438,-20.419918,TRUE,,605.844467,0.983852,603.178298,1209.669168,30.787585,33.078175,-2.290590,,,,,,
26,53248,55296,2048,1.207438,1.253878,-18.023293,TRUE,,606.869873,0.987720,608.061051,1212.601401,35.537277,36.064033,-0.526756,,,,,,
27,55296,57344,2048,1.253878,1.300317,-19.226695,TRUE,,612.182127,0.987710,613.698416,1210.853823,36.629359,28.273911,8.355448,,,,,,
28,57344,59392,2048,1.300317,1.346757,-21.108921,TRUE,,620.722174,0.977995,629.240275,1234.895162,28.847178,31.877821,-3.030643,,,,,,
29,59392,61440,2048,1.346757,1.393197,-23.979368,TRUE,,624.794475,0.979022,625.881196,1251.361275,31.180458,24.264014,6.916445,,,,,,
30,61440,63488,2048,1.393197,1.439637,-25.074633,TRUE,,624.320654,0.971696,623.450674,1250.074174,31.327557,20.635308,10.692248,,,,,,
31,63488,65536,2048,1.439637,1.486077,-23.590178,TRUE,,615.995211,0.979831,612.033594,1242.698873,32.075105,25.227150,6.847955,,,,,,
32,65536,67584,2048,1.486077,1.532517,-29.577785,TRUE,,616.584802,0.861858,625.840342,1210.273429,20.566689,15.819782,4.746908,,,,,,
33,67584,69632,2048,1.532517,1.578957,-34.788031,TRUE,,611.471189,0.895763,604.795388,1231.689371,17.670708,8.556779,9.113928,,,,,,
34,69632,71680,2048,1.578957,1.625397,-36.463925,TRUE,,628.033175,0.768619,613.549015,1243.930256,10.502080,7.429556,3.072525,,,,,,
35,71680,73728,2048,1.625397,1.671837,-33.244051,TRUE,,697.413961,0.874699,626.254751,1442.724609,6.263337,-15.769866,22.033203,,,,,,
36,73728,75776,2048,1.671837,1.718277,-36.857586,TRUE,,578.141474,0.663733,614.882467,1220.298466,6.151915,-1.599571,7.751486,,,,,,
37,75776,77824,2048,1.718277,1.764717,-33.789485,TRUE,,614.776673,0.762124,616.385950,1235.689824,0.460806,16.994743,-16.533937,,,,,,
38,77824,79872,2048,1.764717,1.811156,-33.972700,TRUE,,428.943832,0.724574,433.592470,863.901150,17.203452,4.835187,12.368266,,,,,,
39,79872,81920,2048,1.811156,1.857596,-31.039992,TRUE,,447.967952,0.876369,445.295963,895.191580,21.007919,11.409752,9.598167,,,,,,
