frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-34.848357,TRUE,,242.911101,0.540263,232.721165,466.162051,19.880476,7.901963,11.978513,,,,,,
1,2048,4096,2048,0.046440,0.092880,-34.468518,TRUE,,237.030225,0.641203,232.357264,467.166214,20.250990,5.608199,14.642791,,,,,,
2,4096,6144,2048,0.092880,0.139320,-34.900238,TRUE,,234.670758,0.757933,233.382383,467.083142,20.504277,1.402237,19.102041,,,,,,
3,6144,8192,2048,0.139320,0.185760,-36.044866,TRUE,,242.982660,0.714395,232.160144,462.870800,18.025187,-2.550354,20.575541,,,,,,
4,8192,10240,2048,0.185760,0.232200,-28.938315,TRUE,,845.912982,0.933344,855.052754,1687.424302,23.658308,26.428545,-2.770237,,,,,,
5,10240,12288,2048,0.232200,0.278639,-29.191632,TRUE,,594.349758,0.686047,595.811233,1205.550797,23.339027,19.380824,3.958203,,,,,,
6,12288,14336,2048,0.278639,0.325079,-22.786936,TRUE,,600.181373,0.951900,599.971733,1200.150785,31.210900,30.792319,0.418581,,,,,,
7,14336,16384,2048,0.325079,0.371519,-18.197488,TRUE,,606.592372,0.986039,605.468160,1212.980022,31.551240,38.503023,-6.951783,,,,,,
8,16384,18432,2048,0.371519,0.417959,-15.124769,TRUE,,615.662435,0.986698,618.143208,1231.266118,25.955746,42.339837,-16.384091,,,,,,
9,18432,20480,2048,0.417959,0.464399,-13.663654,TRUE,,621.357844,0.990774,624.382492,1242.572689,24.872984,43.327064,-18.454080,,,,,,
10,20480,22528,2048,0.464399,0.510839,-12.820272,TRUE,,623.069134,0.990864,622.323081,1245.764684,24.981409,44.144874,-19.163465,,,,,,
11,22528,24576,2048,0.510839,0.557279,-11.941635,TRUE,,623.985423,0.989895,623.353183,1247.754457,23.166059,45.294033,-22.127974,,,,,,
12,24576,26624,2048,0.557279,0.603719,-12.467853,TRUE,,624.922821,0.988778,627.758607,1249.753948,20.641636,44.716600,-24.074964,,,,,,
13,26624,28672,2048,0.603719,0.650159,-13.211869,TRUE,,625.875234,0.988561,625.723494,1251.798247,22.991895,43.926268,-20.934373,,,,,,
14,28672,30720,2048,0.650159,0.696599,-16.604758,TRUE,,629.945465,0.991360,629.545106,1260.308959,23.702712,39.551860,-15.849148,,,,,,
15,30720,32768,2048,0.696599,0.743039,-14.190759,TRUE,,623.246688,0.990206,622.221828,1246.324006,24.551354,42.908124,-18.356770,,,,,,
16,32768,34816,2048,0.743039,0.789478,-12.953523,TRUE,,623.356925,0.990895,622.988759,1246.303795,22.753389,44.044257,-21.290868,,,,,,
17,34816,36864,2048,0.789478,0.835918,-12.835272,TRUE,,624.351791,0.989731,623.108854,1248.524159,21.995367,44.364726,-22.369359,,,,,,
18,36864,38912,2048,0.835918,0.882358,-13.562412,TRUE,,624.834501,0.989150,626.390634,1249.550775,21.584356,43.599049,-22.014693,,,,,,
19,38912,40960,2048,0.882358,0.928798,-14.203682,TRUE,,624.171923,0.990013,622.198877,1248.264541,20.606463,42.889272,-22.282808,,,,,,
20,40960,43008,2048,0.928798,0.975238,-14.898547,TRUE,,625.944518,0.988417,626.118669,1251.895910,21.590321,42.335179,-20.744858,,,,,,
21,43008,45056,2048,0.975238,1.021678,-16.949839,TRUE,,626.383683,0.989024,627.808764,1252.952843,20.773681,40.147728,-19.374048,,,,,,
22,45056,47104,2048,1.021678,1.068118,-18.472530,TRUE,,629.232633,0.991791,627.460234,1258.996507,23.631561,38.236163,-14.604602,,,,,,
23,47104,49152,2048,1.068118,1.114558,-16.771764,TRUE,,626.325794,0.989116,626.700154,1252.665446,25.171284,40.330683,-15.159399,,,,,,
24,49152,51200,2048,1.114558,1.160998,-17.824676,TRUE,,627.295753,0.990005,627.705464,1254.685778,24.831383,39.380446,-14.549063,,,,,,
25,51200,53248,2048,1.160998,1.207438,-24.938350,TRUE,,634.268643,0.983752,634.656113,1270.133914,22.350721,30.658431,-8.307710,,,,,,
26,53248,55296,2048,1.207438,1.253878,-25.700405,TRUE,,628.752001,0.988040,609.295936,1256.213393,13.121627,31.635465,-18.513838,,,,,,
27,55296,57344,2048,1.253878,1.300317,-32.812477,TRUE,,629.872713,0.980899,617.888468,1260.057395,14.661358,22.162821,-7.501463,,,,,,
28,57344,59392,2048,1.300317,1.346757,-37.670783,TRUE,,625.863127,0.972795,608.527380,1253.493293,15.251217,17.144045,-1.892827,,,,,,
29,59392,61440,2048,1.346757,1.393197,-40.858917,TRUE,,631.384765,0.972823,630.742622,1281.669064,13.974081,5.132674,8.841407,,,,,,
30,61440,63488,2048,1.393197,1.439637,-43.939796,TRUE,,629.751286,0.944426,629.161828,1273.010807,11.760868,-2.844808,14.605676,,,,,,
31,63488,65536,2048,1.439637,1.486077,-44.742324,TRUE,,459.811811,0.569039,454.481118,907.365892,4.089156,5.798794,-1.709638,,,,,,
32,65536,67584,2048,1.486077,1.532517,-35.806353,TRUE,,436.406579,0.962824,431.890360,871.489341,3.041983,16.564943,-13.522960,,,,,,
33,67584,69632,2048,1.532517,1.578957,-34.094715,TRUE,,435.512420,0.965020,435.001780,871.024540,5.750176,21.211414,-15.461239,,,,,,
34,69632,71680,2048,1.578957,1.625397,-35.581632,TRUE,,442.238364,0.970204,447.817354,886.795426,7.248863,20.085342,-12.836478,,,,,,
35,71680,73728,2048,1.625397,1.671837,-29.732092,TRUE,,879.067266,0.872416,877.329167,1747.720212,28.063702,-10.220615,38.284318,,,,,,
36,73728,75776,2048,1.671837,1.718277,-28.798093,TRUE,,436.645594,0.981477,438.559186,873.240959,10.855954,27.946843,-17.090890,,,,,,
37,75776,77824,2048,1.718277,1.764717,-29.726980,TRUE,,445.104847,0.973029,448.292754,887.556675,10.303564,25.570737,-15.267173,,,,,,
38,77824,79872,2048,1.764717,1.811156,-25.670268,TRUE,,886.385770,0.896535,885.327986,1755.504714,30.213650,4.878088,25.335563,,,,,,
39,79872,81920,2048,1.811156,1.857596,-27.265904,TRUE,,434.143676,0.977855,436.746164,867.558858,12.101969,28.630687,-16.528719,,,,,,
40,81920,83968,2048,1.857596,1.904036,-30.148500,TRUE,,448.342076,0.926680,451.570242,877.189956,15.884072,21.704280,-5.820208,,,,,,
41,83968,86016,2048,1.904036,1.950476,-30.749694,TRUE,,441.703866,0.930721,435.428385,870.934144,11.573487,21.707628,-10.134141,,,,,,
42,86016,88064,2048,1.950476,1.996916,-33.849913,TRUE,,436.111460,0.947635,440.678012,865.373080,12.922363,22.399501,-9.477138,,,,,,
