frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-27.518172,TRUE,,463.723551,0.541699,451.889093,871.587759,24.127417,20.132877,3.994541,,,,,,
1,2048,4096,2048,0.046440,0.092880,-15.492653,TRUE,,552.385538,0.918897,556.550501,1135.912002,38.771447,27.347402,11.424045,,,,,,
2,4096,6144,2048,0.092880,0.139320,-14.268474,TRUE,,602.182858,0.954816,566.542845,1213.409170,33.034054,40.769060,-7.735005,,,,,,
3,6144,8192,2048,0.139320,0.185760,-15.359440,TRUE,,593.063820,0.979293,592.517224,1181.171235,40.026494,28.927151,11.099344,,,,,,
4,8192,10240,2048,0.185760,0.232200,-13.163388,TRUE,,588.281148,0.986819,591.157222,1172.871637,40.331970,40.978635,-0.646665,,,,,,
5,10240,12288,2048,0.232200,0.278639,-15.690627,TRUE,,604.614823,0.978036,603.170220,1214.361506,36.261772,39.873126,-3.611354,,,,,,
6,12288,14336,2048,0.278639,0.325079,-13.172778,TRUE,,612.023823,0.989205,608.484823,1226.668901,43.049346,38.863433,4.185913,,,,,,
7,14336,16384,2048,0.325079,0.371519,-12.735101,TRUE,,610.596853,0.990168,611.446964,1220.960238,41.911013,40.293734,1.617278,,,,,,
8,16384,18432,2048,0.371519,0.417959,-14.987282,TRUE,,597.086043,0.984983,597.459155,1194.423292,38.593593,38.890282,-0.296690,,,,,,
9,18432,20480,2048,0.417959,0.464399,-13.601303,TRUE,,588.412394,0.981840,589.919621,1174.668507,40.821360,40.669363,0.151997,,,,,,
10,20480,22528,2048,0.464399,0.510839,-13.895165,TRUE,,1178.860417,0.856535,1173.798245,2361.643919,41.817126,-5.018383,46.835509,,,,,,
11,22528,24576,2048,0.510839,0.557279,-14.583945,TRUE,,627.189394,0.982238,623.087402,1256.168442,39.172867,40.012494,-0.839627,,,,,,
12,24576,26624,2048,0.557279,0.603719,-16.156854,TRUE,,620.085145,0.981270,622.888521,1230.112743,37.637757,37.201370,0.436387,,,,,,
13,26624,28672,2048,0.603719,0.650159,-15.406288,TRUE,,604.537378,0.905584,578.296309,1246.221550,36.359155,36.217537,0.141618,,,,,,
14,28672,30720,2048,0.650159,0.696599,-14.800633,TRUE,,569.962006,0.946990,568.558515,1126.284017,37.029331,38.468211,-1.438880,,,,,,
15,30720,32768,2048,0.696599,0.743039,-14.443809,TRUE,,605.416522,0.923330,624.425060,1226.425417,35.910853,37.862587,-1.951735,,,,,,
16,32768,34816,2048,0.743039,0.789478,-14.987394,TRUE,,639.775415,0.938763,646.261985,1294.252427,37.367115,36.825937,0.541178,,,,,,
17,34816,36864,2048,0.789478,0.835918,-16.575213,TRUE,,623.701248,0.958785,622.212469,1237.543541,34.099566,37.453573,-3.354007,,,,,,
18,36864,38912,2048,0.835918,0.882358,-15.671123,TRUE,,577.055059,0.898841,566.673510,1129.677397,37.667700,34.826352,2.841348,,,,,,
19,38912,40960,2048,0.882358,0.928798,-16.912868,TRUE,,565.646294,0.936999,557.144936,1126.455198,33.246416,33.716515,-0.470099,,,,,,
20,40960,43008,2048,0.928798,0.975238,-15.670608,TRUE,,601.401776,0.907381,623.305295,1225.892735,33.356783,34.561970,-1.205187,,,,,,
21,43008,45056,2048,0.975238,1.021678,-14.224837,TRUE,,628.526197,0.896185,641.043145,1273.222564,37.620692,37.723944,-0.103251,,,,,,
22,45056,47104,2048,1.021678,1.068118,-16.867387,TRUE,,621.770972,0.976482,625.557933,1237.192505,37.860105,35.057778,2.802327,,,,,,
23,47104,49152,2048,1.068118,1.114558,-15.862161,TRUE,,590.652798,0.931438,585.032305,1148.134554,37.438555,31.938833,5.499722,,,,,,
24,49152,51200,2048,1.114558,1.160998,-14.536990,TRUE,,569.117832,0.969394,568.988841,1132.809386,38.934035,39.787162,-0.853127,,,,,,
25,51200,53248,2048,1.160998,1.207438,-17.371417,TRUE,,607.720373,0.906654,626.033606,1229.071719,29.781392,33.471288,-3.689897,,,,,,
26,53248,55296,2048,1.207438,1.253878,-14.820765,TRUE,,636.738774,0.902747,645.627771,1287.782930,37.589354,37.237646,0.351707,,,,,,
27,55296,57344,2048,1.253878,1.300317,-16.560800,TRUE,,627.036450,0.968864,625.173691,1254.521117,34.490293,39.110969,-4.620676,,,,,,
28,57344,59392,2048,1.300317,1.346757,-16.166647,TRUE,,587.449100,0.862555,566.948298,1129.199809,38.175979,32.604594,5.571385,,,,,,
29,59392,61440,2048,1.346757,1.393197,-18.896278,TRUE,,566.853450,0.907121,558.097336,1144.373714,33.509460,29.066601,4.442859,,,,,,
30,61440,63488,2048,1.393197,1.439637,-15.768976,TRUE,,608.228923,0.878643,555.991333,1235.304353,34.498046,35.248557,-0.750511,,,,,,
31,63488,65536,2048,1.439637,1.486077,-13.352024,TRUE,,633.803155,0.955363,636.590544,1269.921301,37.946053,41.965803,-4.019750,,,,,,
32,65536,67584,2048,1.486077,1.532517,-17.309015,TRUE,,613.805432,0.914232,577.494702,1257.403830,31.972963,33.476243,-1.503280,,,,,,
33,67584,69632,2048,1.532517,1.578957,-18.492002,TRUE,,550.330315,0.728433,524.946170,1062.686566,34.892183,27.777948,7.114235,,,,,,
34,69632,71680,2048,1.578957,1.625397,-18.205494,TRUE,,564.187526,0.915836,571.370781,1076.660156,35.653183,20.656955,14.996229,,,,,,
35,71680,73728,2048,1.625397,1.671837,-15.841658,TRUE,,627.995038,0.961600,629.154271,1259.839322,38.354124,38.816195,-0.462071,,,,,,
36,73728,75776,2048,1.671837,1.718277,-19.076925,TRUE,,617.230854,0.923442,563.990155,1256.160751,31.630628,34.462645,-2.832017,,,,,,
37,75776,77824,2048,1.718277,1.764717,-21.836469,TRUE,,607.021004,0.882692,609.185718,1260.126908,33.117884,25.704333,7.413551,,,,,,
38,77824,79872,2048,1.764717,1.811156,-19.663449,TRUE,,472.985429,0.788872,463.076764,923.937722,36.966727,-5.599230,42.565957,,,,,,
39,79872,81920,2048,1.811156,1.857596,-26.141468,TRUE,,495.445963,0.763030,474.892513,945.183063,27.340800,-5.094146,32.434947,,,,,,
40,81920,83968,2048,1.857596,1.904036,-28.434448,TRUE,,471.834746,0.918754,471.003688,938.712402,28.912574,2.747682,26.164893,,,,,,
41,83968,86016,2048,1.904036,1.950476,-21.756370,TRUE,,456.889442,0.835243,460.420424,860.516496,30.773635,1.851939,28.921696,,,,,,
42,86016,88064,2048,1.950476,1.996916,-19.044799,TRUE,,383.849174,0.914535,377.025137,802.642626,37.237645,7.722120,29.515526,,,,,,
43,88064,90112,2048,1.996916,2.043356,-19.130392,TRUE,,437.816042,0.833516,462.321845,925.927734,35.538768,-0.512914,36.051682,,,,,,
44,90112,92160,2048,2.043356,2.089796,-24.704704,TRUE,,436.336104,0.830947,465.666391,914.013575,30.366749,-2.574278,32.941026,,,,,,
45,92160,94208,2048,2.089796,2.136236,-27.503542,TRUE,,454.716188,0.849764,460.243115,951.726611,29.130826,-2.716235,31.847060,,,,,,
46,94208,96256,2048,2.136236,2.182676,-25.926074,TRUE,,399.633860,0.843720,379.905148,814.584067,26.960470,24.671714,2.288756,,,,,,
47,96256,98304,2048,2.182676,2.229116,-24.936882,TRUE,,422.978575,0.933321,427.961614,851.058298,26.424400,29.321374,-2.896974,,,,,,
48,98304,100352,2048,2.229116,2.275556,-24.497552,TRUE,,416.986723,0.953082,420.768648,835.773120,29.789208,26.084982,3.704225,,,,,,
49,100352,102400,2048,2.275556,2.321995,-23.100303,TRUE,,406.021112,0.967945,420.534152,810.777402,23.344314,33.025835,-9.681522,,,,,,
