frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-14.087530,TRUE,,624.969997,0.985046,628.143809,1250.003571,25.628542,43.036504,-17.407962,,,,,,
1,2048,4096,2048,0.046440,0.092880,-15.080191,TRUE,,633.924437,0.983948,635.888262,1267.619019,23.813883,43.447446,-19.633563,,,,,,
2,4096,6144,2048,0.092880,0.139320,-15.103264,TRUE,,629.620616,0.986467,640.772126,1259.194463,23.659352,43.153598,-19.494247,,,,,,
3,6144,8192,2048,0.139320,0.185760,-14.032801,TRUE,,630.125417,0.988599,630.781020,1260.325707,34.510463,43.401810,-8.891347,,,,,,
4,8192,10240,2048,0.185760,0.232200,-16.802971,TRUE,,650.524687,0.925597,678.453612,1241.959184,38.331389,34.427160,3.904229,,,,,,
5,10240,12288,2048,0.232200,0.278639,-15.431307,TRUE,,663.584281,0.965968,671.077863,1330.373305,38.842393,33.678080,5.164312,,,,,,
6,12288,14336,2048,0.278639,0.325079,-14.978490,TRUE,,590.020976,0.874416,645.996094,1163.820796,28.388140,39.847621,-11.459482,,,,,,
7,14336,16384,2048,0.325079,0.371519,-16.567488,TRUE,,598.801562,0.885329,580.627085,1167.321827,29.945604,34.384354,-4.438750,,,,,,
8,16384,18432,2048,0.371519,0.417959,-16.076535,TRUE,,627.165503,0.817664,674.569779,1193.953291,39.746843,37.382575,2.364267,,,,,,
9,18432,20480,2048,0.417959,0.464399,-17.018017,TRUE,,630.286900,0.886843,616.435376,1214.735025,30.731064,34.743232,-4.012167,,,,,,
10,20480,22528,2048,0.464399,0.510839,-15.902701,TRUE,,579.172542,0.811821,565.438293,1132.226709,31.776906,38.695199,-6.918294,,,,,,
11,22528,24576,2048,0.510839,0.557279,-16.085851,TRUE,,1181.719678,0.846251,1151.418396,2413.049299,38.814274,-16.832462,55.646736,,,,,,
12,24576,26624,2048,0.557279,0.603719,-16.672190,TRUE,,605.777432,0.721289,667.049051,1162.792969,28.341687,32.376454,-4.034768,,,,,,
13,26624,28672,2048,0.603719,0.650159,-16.266698,TRUE,,623.492614,0.858506,649.168427,1259.754461,34.601272,33.841821,0.759451,,,,,,
14,28672,30720,2048,0.650159,0.696599,-15.330075,TRUE,,573.231740,0.813145,556.936440,1110.926445,35.740711,38.335877,-2.595166,,,,,,
15,30720,32768,2048,0.696599,0.743039,-16.115290,TRUE,,1171.589275,0.661782,1131.899663,2315.599765,37.420222,-14.083011,51.503232,,,,,,
16,32768,34816,2048,0.743039,0.789478,-17.234458,TRUE,,603.029015,0.720483,591.863764,1174.371152,23.826067,31.277296,-7.451228,,,,,,
17,34816,36864,2048,0.789478,0.835918,-16.101930,TRUE,,606.545711,0.858390,645.996094,1207.010864,29.857925,35.015722,-5.157797,,,,,,
18,36864,38912,2048,0.835918,0.882358,-13.896824,TRUE,,1147.063167,0.848695,1142.729599,2283.958588,42.550709,-12.431254,54.981963,,,,,,
19,38912,40960,2048,0.882358,0.928798,-18.487241,TRUE,,597.267112,0.779690,618.948109,1136.129586,29.706316,34.700626,-4.994310,,,,,,
20,40960,43008,2048,0.928798,0.975238,-15.909711,TRUE,,625.207757,0.852096,658.511892,1289.575547,38.272140,32.688890,5.583250,,,,,,
21,43008,45056,2048,0.975238,1.021678,-16.246944,TRUE,,576.855462,0.880153,570.959655,1138.792339,33.308959,39.170830,-5.861871,,,,,,
22,45056,47104,2048,1.021678,1.068118,-17.756743,TRUE,,589.926724,0.901416,622.973539,1170.311879,27.746305,35.967327,-8.221022,,,,,,
23,47104,49152,2048,1.068118,1.114558,-15.805484,TRUE,,631.864354,0.764765,675.688470,1195.724871,40.327834,30.955554,9.372280,,,,,,
24,49152,51200,2048,1.114558,1.160998,-15.325562,TRUE,,614.115768,0.885089,657.875324,1200.082831,37.955365,36.353049,1.602316,,,,,,
25,51200,53248,2048,1.160998,1.207438,-17.161078,TRUE,,588.970638,0.837220,582.739803,1143.115066,29.196089,37.169711,-7.973622,,,,,,
26,53248,55296,2048,1.207438,1.253878,-20.818563,TRUE,,587.679786,0.846088,652.987102,1141.076702,28.118685,31.995679,-3.876994,,,,,,
27,55296,57344,2048,1.253878,1.300317,-23.177768,TRUE,,582.032436,0.874338,572.350380,1138.916024,28.767580,30.361573,-1.593993,,,,,,
28,57344,59392,2048,1.300317,1.346757,-21.689993,TRUE,,577.857952,0.914428,555.490795,1149.778274,30.122221,23.483123,6.639098,,,,,,
29,59392,61440,2048,1.346757,1.393197,-22.193677,TRUE,,571.937735,0.797757,526.698513,1189.394284,29.937016,20.688626,9.248390,,,,,,
30,61440,63488,2048,1.393197,1.439637,-21.375055,TRUE,,432.212487,0.388904,447.707955,847.208240,24.175293,25.454353,-1.279060,,,,,,
31,63488,65536,2048,1.439637,1.486077,-14.485381,TRUE,,425.296950,0.945332,431.637957,850.384686,33.686851,42.561351,-8.874499,,,,,,
32,65536,67584,2048,1.486077,1.532517,-13.021661,TRUE,,437.067863,0.961481,434.344757,879.114732,36.709647,41.428669,-4.719021,,,,,,
33,67584,69632,2048,1.532517,1.578957,-12.538611,TRUE,,440.488078,0.978938,439.364620,881.567912,34.938903,43.998220,-9.059318,,,,,,
34,69632,71680,2048,1.578957,1.625397,-13.637122,TRUE,,876.441558,0.862700,876.247277,1752.329664,43.419675,11.138427,32.281247,,,,,,
35,71680,73728,2048,1.625397,1.671837,-14.826902,TRUE,,843.386079,0.918624,844.184876,1701.012160,41.923715,1.452447,40.471268,,,,,,
36,73728,75776,2048,1.671837,1.718277,-17.266331,TRUE,,434.326908,0.964086,436.757153,871.166834,29.620392,36.575983,-6.955591,,,,,,
37,75776,77824,2048,1.718277,1.764717,-14.448416,TRUE,,458.569791,0.875902,463.584314,933.811806,34.836483,40.774339,-5.937856,,,,,,
38,77824,79872,2048,1.764717,1.811156,-14.175618,TRUE,,863.006670,0.950802,860.738511,1742.579674,41.562753,-2.169263,43.732015,,,,,,
39,79872,81920,2048,1.811156,1.857596,-17.060972,TRUE,,839.663248,0.897729,804.501981,1728.384127,34.609364,-8.494730,43.104094,,,,,,
40,81920,83968,2048,1.857596,1.904036,-15.328505,TRUE,,844.830170,0.922373,844.305571,1743.950864,37.897739,-3.444295,41.342034,,,,,,
41,83968,86016,2048,1.904036,1.950476,-14.883211,TRUE,,930.529218,0.760291,945.031768,1905.251807,40.405898,5.238507,35.167391,,,,,,
42,86016,88064,2048,1.950476,1.996916,-15.132154,TRUE,,910.080940,0.917348,943.518677,1860.715207,37.435393,-6.564505,43.999898,,,,,,
