frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-34.154452,FALSE,low_autocorrelation_clarity,,0.242855,,,,,,,,,,,
1,2048,4096,2048,0.046440,0.092880,-36.277827,TRUE,,990.904273,0.435067,943.907264,2024.121094,-10.270572,-10.411395,0.140823,,,,,,
2,4096,6144,2048,0.092880,0.139320,-37.569015,TRUE,,635.384832,0.493733,593.477447,1248.164324,4.829019,-3.891164,8.720183,,,,,,
3,6144,8192,2048,0.139320,0.185760,-34.675716,FALSE,low_autocorrelation_clarity,,0.246633,,,,,,,,,,,
4,8192,10240,2048,0.185760,0.232200,-29.293974,TRUE,,631.637425,0.795356,628.141885,1256.395910,22.801872,18.183665,4.618208,,,,,,
5,10240,12288,2048,0.232200,0.278639,-18.049097,TRUE,,624.698208,0.978061,626.316017,1248.318200,34.023502,35.897052,-1.873550,,,,,,
6,12288,14336,2048,0.278639,0.325079,-13.907701,TRUE,,638.039852,0.988089,630.135735,1278.753392,38.898004,41.492744,-2.594740,,,,,,
7,14336,16384,2048,0.325079,0.371519,-14.244720,TRUE,,635.374013,0.989487,635.757492,1270.182385,38.835502,40.808484,-1.972982,,,,,,
8,16384,18432,2048,0.371519,0.417959,-16.386430,TRUE,,631.852794,0.988875,632.656857,1262.556267,36.831953,37.576044,-0.744091,,,,,,
9,18432,20480,2048,0.417959,0.464399,-17.751988,TRUE,,636.523725,0.986533,635.422546,1276.177311,36.377259,34.251285,2.125974,,,,,,
10,20480,22528,2048,0.464399,0.510839,-14.472115,TRUE,,638.008193,0.991621,637.850032,1275.877816,33.946594,42.504345,-8.557751,,,,,,
11,22528,24576,2048,0.510839,0.557279,-16.468372,TRUE,,630.778407,0.986770,633.932160,1262.225710,35.577167,39.355586,-3.778418,,,,,,
12,24576,26624,2048,0.557279,0.603719,-14.925311,TRUE,,624.387349,0.964502,635.531086,1235.894785,24.164308,39.006824,-14.842516,,,,,,
13,26624,28672,2048,0.603719,0.650159,-14.922082,TRUE,,622.897186,0.985125,619.903910,1244.276665,33.547070,41.554946,-8.007876,,,,,,
14,28672,30720,2048,0.650159,0.696599,-14.773889,TRUE,,640.895451,0.980898,638.440780,1285.994520,30.909143,40.589112,-9.679969,,,,,,
15,30720,32768,2048,0.696599,0.743039,-18.109725,TRUE,,630.012186,0.972529,634.608907,1259.005799,35.585237,34.258534,1.326703,,,,,,
16,32768,34816,2048,0.743039,0.789478,-18.923958,TRUE,,631.503028,0.943080,649.248426,1281.397152,25.205544,35.435186,-10.229643,,,,,,
17,34816,36864,2048,0.789478,0.835918,-13.581786,TRUE,,619.838376,0.980051,619.654298,1235.097368,31.345257,43.770519,-12.425262,,,,,,
18,36864,38912,2048,0.835918,0.882358,-15.163422,TRUE,,638.964227,0.982424,647.553882,1279.975850,32.255301,41.952444,-9.697143,,,,,,
19,38912,40960,2048,0.882358,0.928798,-18.070686,TRUE,,629.625538,0.975185,636.942997,1247.538446,36.042163,35.202170,0.839993,,,,,,
20,40960,43008,2048,0.928798,0.975238,-18.022523,TRUE,,628.830395,0.978090,632.678837,1253.024529,29.547432,36.890131,-7.342699,,,,,,
21,43008,45056,2048,0.975238,1.021678,-16.355705,TRUE,,637.970267,0.981666,638.025785,1280.060364,34.081351,38.324014,-4.242664,,,,,,
22,45056,47104,2048,1.021678,1.068118,-15.645501,TRUE,,635.731287,0.988253,636.717508,1270.596645,35.104012,39.364062,-4.260050,,,,,,
23,47104,49152,2048,1.068118,1.114558,-16.519368,TRUE,,629.478629,0.970084,630.180307,1248.735925,29.955489,34.948155,-4.992666,,,,,,
24,49152,51200,2048,1.114558,1.160998,-18.950067,TRUE,,630.588089,0.976917,628.107947,1272.401873,32.020128,29.825246,2.194881,,,,,,
25,51200,53248,2048,1.160998,1.207438,-14.650332,TRUE,,639.710165,0.987656,638.159219,1280.824007,33.085330,42.109300,-9.023971,,,,,,
26,53248,55296,2048,1.207438,1.253878,-20.374477,TRUE,,634.339200,0.982940,638.929138,1264.903711,33.702263,31.051895,2.650367,,,,,,
27,55296,57344,2048,1.253878,1.300317,-15.455408,TRUE,,626.043991,0.973827,631.623954,1246.331007,22.103938,39.177775,-17.073836,,,,,,
28,57344,59392,2048,1.300317,1.346757,-15.927601,TRUE,,638.427643,0.985035,628.241299,1280.914531,32.891098,39.686647,-6.795550,,,,,,
29,59392,61440,2048,1.346757,1.393197,-14.122584,TRUE,,642.729526,0.982918,636.103853,1290.245670,33.922053,41.341608,-7.419555,,,,,,
30,61440,63488,2048,1.393197,1.439637,-17.403954,TRUE,,635.342211,0.983120,636.652353,1270.558383,34.808558,34.146418,0.662140,,,,,,
31,63488,65536,2048,1.439637,1.486077,-15.789200,TRUE,,630.164530,0.982523,624.263692,1259.433056,28.287341,42.178040,-13.890699,,,,,,
32,65536,67584,2048,1.486077,1.532517,-17.141553,TRUE,,639.519744,0.986566,629.145523,1282.081814,32.408764,39.156245,-6.747481,,,,,,
33,67584,69632,2048,1.532517,1.578957,-13.843376,TRUE,,644.102825,0.977095,637.545544,1292.763857,30.350642,41.832609,-11.481966,,,,,,
34,69632,71680,2048,1.578957,1.625397,-14.887349,TRUE,,642.101441,0.986830,646.918992,1284.133921,28.725172,42.745242,-14.020070,,,,,,
35,71680,73728,2048,1.625397,1.671837,-16.808467,TRUE,,629.121270,0.975107,634.668380,1251.279656,31.564414,38.088315,-6.523902,,,,,,
36,73728,75776,2048,1.671837,1.718277,-16.039425,TRUE,,639.023409,0.983964,633.587142,1279.621004,32.083601,39.642217,-7.558617,,,,,,
37,75776,77824,2048,1.718277,1.764717,-16.247950,TRUE,,639.638344,0.986077,637.307589,1282.957941,34.199503,38.660575,-4.461072,,,,,,
