frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-44.805670,TRUE,,678.512591,0.630829,624.462891,1313.525391,-3.966211,-16.626641,12.660430,,,,,,
1,2048,4096,2048,0.046440,0.092880,-28.510407,TRUE,,606.688514,0.924433,603.866750,1220.859279,26.070555,11.445495,14.625060,,,,,,
2,4096,6144,2048,0.092880,0.139320,-16.967230,TRUE,,637.266574,0.987500,642.154072,1273.703970,36.568452,37.944212,-1.375760,,,,,,
3,6144,8192,2048,0.139320,0.185760,-16.046595,TRUE,,635.877236,0.990030,637.115759,1270.927283,37.847815,38.396478,-0.548663,,,,,,
4,8192,10240,2048,0.185760,0.232200,-15.309672,TRUE,,640.785101,0.989169,640.387122,1285.850573,41.037033,32.396201,8.640832,,,,,,
5,10240,12288,2048,0.232200,0.278639,-15.857613,TRUE,,641.316207,0.991089,642.351389,1280.829623,39.700667,35.506484,4.194183,,,,,,
6,12288,14336,2048,0.278639,0.325079,-16.356940,TRUE,,635.695778,0.988978,639.129667,1269.371479,37.682944,38.501370,-0.818426,,,,,,
7,14336,16384,2048,0.325079,0.371519,-19.268910,TRUE,,633.432506,0.989170,637.894757,1266.280479,22.694787,37.708091,-15.013304,,,,,,
8,16384,18432,2048,0.371519,0.417959,-16.482004,TRUE,,638.113181,0.990456,639.859189,1275.009673,38.335139,38.067794,0.267345,,,,,,
9,18432,20480,2048,0.417959,0.464399,-16.062329,TRUE,,630.555546,0.989308,635.529240,1260.137158,35.179020,40.938026,-5.759006,,,,,,
10,20480,22528,2048,0.464399,0.510839,-17.989995,TRUE,,638.548486,0.977400,648.631626,1271.163501,33.309136,33.479663,-0.170526,,,,,,
11,22528,24576,2048,0.510839,0.557279,-16.256513,TRUE,,647.585843,0.963188,665.172998,1307.927316,37.598015,34.527534,3.070481,,,,,,
12,24576,26624,2048,0.557279,0.603719,-19.239118,TRUE,,626.770680,0.973674,621.522087,1249.289592,27.250219,36.802645,-9.552426,,,,,,
13,26624,28672,2048,0.603719,0.650159,-19.012008,TRUE,,637.168305,0.977366,647.055972,1275.786406,31.949806,34.547140,-2.597334,,,,,,
14,28672,30720,2048,0.650159,0.696599,-19.012910,TRUE,,638.088407,0.967261,651.224867,1255.161972,32.688685,32.217575,0.471110,,,,,,
15,30720,32768,2048,0.696599,0.743039,-19.613593,TRUE,,627.260439,0.960334,637.760387,1234.421670,31.921087,32.732294,-0.811207,,,,,,
16,32768,34816,2048,0.743039,0.789478,-18.914062,TRUE,,633.369209,0.956707,643.110494,1280.489134,31.317527,35.339146,-4.021618,,,,,,
17,34816,36864,2048,0.789478,0.835918,-18.853951,TRUE,,647.675396,0.955094,665.165380,1311.750557,35.131434,29.932110,5.199324,,,,,,
