frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms_dbfs,valid_h1h2,invalid_reason,f0_hz,autocorr_clarity,h1_frequency_hz,h2_frequency_hz,h1_db,h2_db,h1_minus_h2_db,f1_hz,b1_hz,h1_star_db,h2_star_db,h1_star_minus_h2_star_db,formant_warning
0,0,2048,2048,0.000000,0.046440,-25.199278,TRUE,,582.048401,0.972154,580.518963,1170.256019,29.673894,21.331460,8.342434,,,,,,
1,2048,4096,2048,0.046440,0.092880,-16.962213,TRUE,,582.075448,0.971743,577.702733,1166.086194,36.754446,36.730647,0.023800,,,,,,
2,4096,6144,2048,0.092880,0.139320,-16.171271,TRUE,,589.117528,0.978558,593.817094,1185.405698,36.435275,35.889413,0.545862,,,,,,
3,6144,8192,2048,0.139320,0.185760,-18.960589,TRUE,,606.193690,0.962116,614.631515,1220.259506,34.463793,30.491561,3.972232,,,,,,
4,8192,10240,2048,0.185760,0.232200,-18.047345,TRUE,,627.362651,0.955988,629.838138,1270.278896,35.294071,33.245946,2.048125,,,,,,
5,10240,12288,2048,0.232200,0.278639,-15.705758,TRUE,,635.091821,0.984789,636.621145,1273.382730,40.924549,35.462134,5.462415,,,,,,
6,12288,14336,2048,0.278639,0.325079,-18.094953,TRUE,,618.353945,0.974707,611.377695,1225.782696,36.020344,29.393393,6.626951,,,,,,
7,14336,16384,2048,0.325079,0.371519,-18.222245,TRUE,,610.181903,0.977812,610.795990,1204.156147,37.220580,28.874031,8.346549,,,,,,
8,16384,18432,2048,0.371519,0.417959,-20.281144,TRUE,,613.166187,0.977959,607.426271,1222.650766,34.908496,32.119664,2.788832,,,,,,
9,18432,20480,2048,0.417959,0.464399,-15.532964,TRUE,,637.740731,0.987110,640.110485,1272.751220,40.590560,33.295035,7.295525,,,,,,
10,20480,22528,2048,0.464399,0.510839,-14.463382,TRUE,,641.015954,0.989081,642.778121,1279.968642,42.177276,30.124181,12.053095,,,,,,
11,22528,24576,2048,0.510839,0.557279,-16.279640,TRUE,,636.298935,0.987016,640.667518,1270.015393,39.915657,31.402597,8.513060,,,,,,
12,24576,26624,2048,0.557279,0.603719,-19.489983,TRUE,,618.037686,0.981857,618.816134,1233.157096,33.244090,34.480975,-1.236886,,,,,,
13,26624,28672,2048,0.603719,0.650159,-19.142444,TRUE,,620.067318,0.984328,618.019815,1235.554530,34.555937,34.370054,0.185883,,,,,,
14,28672,30720,2048,0.650159,0.696599,-15.866770,TRUE,,644.266232,0.981573,644.258446,1255.538885,41.655674,29.625824,12.029850,,,,,,
15,30720,32768,2048,0.696599,0.743039,-21.104266,TRUE,,647.515634,0.966446,649.977815,1307.192736,33.414860,29.126048,4.288812,,,,,,
16,32768,34816,2048,0.743039,0.789478,-16.221368,TRUE,,643.382885,0.984814,644.818844,1275.033977,41.209576,31.715881,9.493694,,,,,,
17,34816,36864,2048,0.789478,0.835918,-18.297429,TRUE,,617.422498,0.964286,603.943476,1232.741447,35.309007,29.017237,6.291770,,,,,,
18,36864,38912,2048,0.835918,0.882358,-19.809801,TRUE,,616.605624,0.978107,617.110680,1219.621786,36.229876,31.333315,4.896562,,,,,,
19,38912,40960,2048,0.882358,0.928798,-16.484160,TRUE,,640.576759,0.975697,647.694756,1285.960631,38.752509,34.735756,4.016753,,,,,,
20,40960,43008,2048,0.928798,0.975238,-18.346797,TRUE,,656.092868,0.979083,656.430597,1317.932280,34.855987,30.002382,4.853605,,,,,,
21,43008,45056,2048,0.975238,1.021678,-17.848756,TRUE,,641.742250,0.973870,625.338708,1282.326799,33.217097,34.702788,-1.485691,,,,,,
22,45056,47104,2048,1.021678,1.068118,-17.942684,TRUE,,629.664308,0.944421,653.980197,1262.302062,36.088039,26.141875,9.946164,,,,,,
23,47104,49152,2048,1.068118,1.114558,-24.055898,TRUE,,611.240817,0.940032,620.668850,1197.859434,29.881328,26.344657,3.536671,,,,,,
24,49152,51200,2048,1.114558,1.160998,-16.391844,TRUE,,641.837094,0.973512,644.550049,1290.902038,38.840705,34.190176,4.650529,,,,,,
25,51200,53248,2048,1.160998,1.207438,-18.962079,TRUE,,647.043009,0.978841,652.052395,1300.318335,35.666639,29.028028,6.638611,,,,,,
26,53248,55296,2048,1.207438,1.253878,-16.815529,TRUE,,641.505386,0.982807,647.954787,1267.229903,39.325607,28.878035,10.447572,,,,,,
27,55296,57344,2048,1.253878,1.300317,-21.919622,TRUE,,620.305770,0.973928,608.367242,1239.565658,29.959808,31.033121,-1.073313,,,,,,
28,57344,59392,2048,1.300317,1.346757,-19.638243,TRUE,,638.267320,0.974835,641.823419,1282.761482,35.254755,32.617663,2.637091,,,,,,
29,59392,61440,2048,1.346757,1.393197,-18.755358,TRUE,,654.929599,0.962522,652.507991,1325.441838,30.940881,27.084646,3.856235,,,,,,
