input_file,sampling_rate_hz,duration_s,frame_size_samples,hop_size_samples,fft_size_samples,n_frames_total,n_valid_h1h2_frames,n_valid_corrected_frames,n_corrected_warning_frames,n_h2_above_f1_warning_frames,median_h1_minus_h2_db,mean_h1_minus_h2_db,sd_h1_minus_h2_db,median_h1_star_minus_h2_star_db,mean_h1_star_minus_h2_star_db,sd_h1_star_minus_h2_star_db,framewise_csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,44100,2.693515,2048,2048,2048,58,58,0,0,0,7.350284,7.888533,6.568592,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E01after_tanto-tanto_20160401_caro-mio-ben_01_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E01before_tanto-tanto_20141001_02_mono.wav,44100,1.811156,2048,2048,2048,39,39,0,0,0,2.704680,2.941900,9.023479,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E01before_tanto-tanto_20141001_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E02after_20160401_tanto-tanto_01_44100_mono.wav,44100,1.996916,2048,2048,2048,43,43,0,0,0,-5.269100,-3.895498,11.591549,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E02after_20160401_tanto-tanto_01_44100_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E02before_20141001_tanto-tanto_01_44100_mono.wav,44100,2.043356,2048,2048,2048,44,44,0,0,0,3.909505,5.834740,7.577105,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E02before_20141001_tanto-tanto_01_44100_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E03after_tanto-tanto_20240223_caro-mio-ben_02_mono.wav,44100,2.182676,2048,2048,2048,47,43,0,0,0,-1.688592,0.362665,10.996244,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E03after_tanto-tanto_20240223_caro-mio-ben_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,44100,2.043356,2048,2048,2048,44,38,0,0,0,-0.807824,2.405997,12.105091,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E04after_20240223_tanto-tanto_02_mono.wav,44100,2.554195,2048,2048,2048,55,52,0,0,0,3.649136,9.882824,15.849725,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E04after_20240223_tanto-tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E04before_20220607_tanto-tanto_02_mono.wav,44100,2.600635,2048,2048,2048,56,51,0,0,0,3.139653,4.785523,12.619023,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E04before_20220607_tanto-tanto_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E05after_tanto-tanto240206_0629caro-2_mono.wav,44100,1.811156,2048,2048,2048,39,35,0,0,0,-3.453116,6.930807,21.227643,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E05after_tanto-tanto240206_0629caro-2_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E05before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,44100,2.182676,2048,2048,2048,47,42,0,0,0,-8.111463,-1.598061,19.801638,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E05before_tanto-tanto_20220531_caro-mio-ben_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,44100,2.461315,2048,2048,2048,53,51,0,0,0,0.212266,-0.376700,8.341866,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E06after_tanto-tanto240206_caro-mio-ben_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E06before_tanto-tanto_20220607_caro-mio-ben_02_mono.wav,44100,2.182676,2048,2048,2048,47,45,0,0,0,4.324381,4.732665,10.417072,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E06before_tanto-tanto_20220607_caro-mio-ben_02_mono_h1_h2_framewise.csv
/mnt/data/Acoustic_Analysis_Results_2026-08-18/00_full_2048_frame_wav/E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,44100,1.996916,2048,2048,2048,43,43,0,0,0,-14.549063,-7.762288,15.102378,,,,/mnt/data/Acoustic_Analysis_Results_2026-08-18/03_H1-H2/E07after_tanto-tanto_240206_caro-mio-ben_02_mono_h1_h2_framewise.csv
