file,frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,rms,spr_db,low_band_value,high_band_value,low_peak_freq_hz,high_peak_freq_hz,status
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,0,0,2048,2048,0.0,0.046439909297052155,0.02078336530581819,-23.807208459940398,193.94215326854112,0.8071446400442154,43.06640625,3014.6484375,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,1,2048,4096,2048,0.046439909297052155,0.09287981859410431,0.02238046634786324,-31.38350184325839,249.99957984590154,0.181797997203952,43.06640625,3488.37890625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,2,4096,6144,2048,0.09287981859410431,0.13931972789115646,0.029059378852697913,-41.89641416129036,406.2726064126132,0.02625282987168672,43.06640625,3359.1796875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,3,6144,8192,2048,0.13931972789115646,0.18575963718820862,0.015135179943652566,-41.22322328836244,149.12761027875268,0.011252155612741087,43.06640625,2088.720703125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,4,8192,10240,2048,0.18575963718820862,0.23219954648526078,0.021475857636443288,-17.744588068898107,109.68702367114605,1.843726276748677,43.06640625,3531.4453125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,5,10240,12288,2048,0.23219954648526078,0.2786394557823129,0.030855496099123057,-11.156113619729627,251.94071088582749,19.305763801943694,43.06640625,3445.3125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,6,12288,14336,2048,0.2786394557823129,0.3250793650793651,0.034542874398935705,-17.618945388554888,265.1482624844799,4.587691929562242,43.06640625,3423.779296875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,7,14336,16384,2048,0.3250793650793651,0.37151927437641724,0.04332521704675426,-25.07920554677428,480.44629319370154,1.491847024158192,43.06640625,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,8,16384,18432,2048,0.37151927437641724,0.4179591836734694,0.12500290630990038,-25.29772683483534,4505.575279970553,13.30385696218823,1270.458984375,3832.91015625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,9,18432,20480,2048,0.4179591836734694,0.46439909297052157,0.15147925130380663,-38.19633037751311,7681.325978081556,1.16359851473796,1270.458984375,3229.98046875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,10,20480,22528,2048,0.46439909297052157,0.5108390022675737,0.15851306579283708,-31.48414377683133,13190.377664368958,9.372228160959116,1248.92578125,3122.314453125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,11,22528,24576,2048,0.5108390022675737,0.5572789115646258,0.157267703647029,-33.4695061783435,10784.97737031232,4.851417163622756,1227.392578125,3100.78125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,12,24576,26624,2048,0.5572789115646258,0.603718820861678,0.16448253034828905,-30.479261170444868,14617.72104637015,13.090419153699965,1248.92578125,3122.314453125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,13,26624,28672,2048,0.603718820861678,0.6501587301587302,0.10452340834352537,-17.981952050018204,2306.606919330301,36.70949291888915,1248.92578125,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,14,28672,30720,2048,0.6501587301587302,0.6965986394557823,0.16607484370953118,-26.204501542207836,13233.08848235196,31.71108211111363,1248.92578125,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,15,30720,32768,2048,0.6965986394557823,0.7430385487528345,0.13662015442088535,-27.329594225996445,8799.382163296432,16.2739417518001,1248.92578125,3746.77734375,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,16,32768,34816,2048,0.7430385487528345,0.7894784580498866,0.0981708363304079,-18.241016963052914,1100.4396526095695,16.49926260178256,624.462890625,3811.376953125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,17,34816,36864,2048,0.7894784580498866,0.8359183673469388,0.10792775856496392,-20.0716908976946,2362.5189896511292,23.238399750506748,1291.9921875,3229.98046875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,18,36864,38912,2048,0.8359183673469388,0.8823582766439909,0.12844152970778586,-21.86114322593264,7779.138525604732,50.67773341038133,645.99609375,3273.046875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,19,38912,40960,2048,0.8823582766439909,0.9287981859410431,0.11615445148770907,-25.017366313364597,3921.5596473597943,12.351570845677497,1270.458984375,3186.9140625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,20,40960,43008,2048,0.9287981859410431,0.9752380952380952,0.11414401136170994,-26.883134117044385,3881.0970578421793,7.955016631075636,645.99609375,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,21,43008,45056,2048,0.9752380952380952,1.0216780045351475,0.08854990877103446,-16.710738644462463,1295.027451596429,27.61881939468581,1270.458984375,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,22,45056,47104,2048,1.0216780045351475,1.0681179138321995,0.08281925875906442,-5.814890801623259,1700.1286588116805,445.6487657906156,1270.458984375,3165.380859375,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,23,47104,49152,2048,1.0681179138321995,1.1145578231292517,0.11661249529493385,-10.477028563844197,2857.6721500588064,256.0410184196675,1270.458984375,3186.9140625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,24,49152,51200,2048,1.1145578231292517,1.1609977324263039,0.13365708941398827,-14.834633287652165,4104.8691337281425,134.84535385691336,645.99609375,3208.447265625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,25,51200,53248,2048,1.1609977324263039,1.207437641723356,0.1374634986882971,-16.219268722606493,5481.372453388767,130.90687051579096,645.99609375,3186.9140625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,26,53248,55296,2048,1.207437641723356,1.253877551020408,0.11582403585513389,-10.901819765574672,3453.0226325848816,280.5546352207282,645.99609375,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,27,55296,57344,2048,1.253877551020408,1.3003174603174603,0.09060865120744187,-8.795036317455782,3666.1135338258223,483.8405670990263,1270.458984375,3165.380859375,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,28,57344,59392,2048,1.3003174603174603,1.3467573696145125,0.13210106170961938,-18.775398376082457,7080.042765508285,93.86334851992879,1270.458984375,3165.380859375,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,29,59392,61440,2048,1.3467573696145125,1.3931972789115645,0.0798280205216879,-13.580860151631363,1035.5351235336525,45.4024008649606,1270.458984375,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,30,61440,63488,2048,1.3931972789115645,1.4396371882086167,0.0623202779585599,-20.95494781281717,649.603611154719,5.213791373984133,1205.859375,2433.251953125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,31,63488,65536,2048,1.4396371882086167,1.486077097505669,0.03740375050405749,-18.705593182578383,281.9041384920214,3.797887826018056,602.9296875,2433.251953125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,32,65536,67584,2048,1.486077097505669,1.5325170068027212,0.021183504613404923,-21.238267221293007,136.34262669768293,1.0251913530414232,602.9296875,2756.25,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,33,67584,69632,2048,1.5325170068027212,1.5789569160997732,0.017969156516347125,-27.89362293305046,52.22080468169617,0.08481667953318114,624.462890625,3122.314453125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,34,69632,71680,2048,1.5789569160997732,1.6253968253968254,0.008268103803857436,-27.316467915414854,12.25974040028975,0.022742305154369247,602.9296875,3079.248046875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,35,71680,73728,2048,1.6253968253968254,1.6718367346938776,0.008489780088104382,-35.45313883229972,29.027045930056353,0.008269684803908373,43.06640625,3079.248046875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,36,73728,75776,2048,1.6718367346938776,1.7182766439909296,0.007462107108671165,-24.490910152332543,14.431971385910737,0.051313855147280145,43.06640625,2454.78515625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,37,75776,77824,2048,1.7182766439909296,1.7647165532879818,0.010734716510714145,-34.70572149535848,40.860709417887556,0.01382718434685246,21.533203125,3273.046875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,38,77824,79872,2048,1.7647165532879818,1.811156462585034,0.006377908082207246,-21.869454325683545,10.44065124535409,0.06788630272827853,430.6640625,3919.04296875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,39,79872,81920,2048,1.811156462585034,1.8575963718820863,0.012571298476210942,-25.517506184314254,44.40931853402363,0.12465895745687594,452.197265625,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,40,81920,83968,2048,1.8575963718820863,1.9040362811791383,0.015806037857533057,-18.790899653039265,71.72969344710582,0.9475649968878489,452.197265625,3208.447265625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,41,83968,86016,2048,1.9040362811791383,1.9504761904761905,0.02260262169867793,-25.2581650940431,142.16458759413632,0.4236185019929665,452.197265625,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,42,86016,88064,2048,1.9504761904761905,1.9969160997732427,0.02309436135488593,-20.610490827642206,141.97825044770087,1.233595389157272,882.861328125,3940.576171875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,43,88064,90112,2048,1.9969160997732427,2.043356009070295,0.022334880053649992,-18.3021536752798,103.16165684603534,1.5251162239482483,882.861328125,3962.109375,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,44,90112,92160,2048,2.043356009070295,2.089795918367347,0.020674560500288257,-20.104991312994287,115.19018210646705,1.1243883407092496,882.861328125,3962.109375,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,45,92160,94208,2048,2.089795918367347,2.136235827664399,0.022250098803970518,-14.174772673988617,70.02925261845432,2.677948519869596,452.197265625,3122.314453125,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,46,94208,96256,2048,2.136235827664399,2.182675736961451,0.030194278869078873,-14.889712452289823,172.15404293249026,5.584007347588725,452.197265625,3229.98046875,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,47,96256,98304,2048,2.182675736961451,2.2291156462585033,0.029102942434862375,-16.664026070194,219.32753564916385,4.728142443283766,452.197265625,3186.9140625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,48,98304,100352,2048,2.2291156462585033,2.2755555555555556,0.030848864399792505,-27.510398957120454,256.8726361394901,0.45569886505564855,452.197265625,3186.9140625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,49,100352,102400,2048,2.2755555555555556,2.3219954648526078,0.02138773623388495,-27.57269061063807,158.91368563501848,0.27790236272494506,904.39453125,3143.84765625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,50,102400,104448,2048,2.3219954648526078,2.36843537414966,0.009947395127776938,-22.662310175225286,24.494962609632097,0.1326923126537394,21.533203125,3208.447265625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,51,104448,106496,2048,2.36843537414966,2.414875283446712,0.008261392733029938,-30.373522997551277,20.83254707313461,0.019115694099640212,21.533203125,3208.447265625,included
E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,52,106496,108544,2048,2.414875283446712,2.461315192743764,0.005945760022920554,-19.990068244102545,10.936102582646644,0.10961140660379487,43.06640625,2691.650390625,included
