frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-27.084462712,0.914924024,True,,4748.766362212,4.748766362,
1,2048,4096,2048,0.046439909,0.092879819,False,-14.833727022,0.980201827,True,,1951.803152907,1.951803153,
2,4096,6144,2048,0.092879819,0.139319728,False,-12.716355972,0.990175147,True,,1809.761367535,1.809761368,
3,6144,8192,2048,0.139319728,0.185759637,False,-12.309353763,0.990019184,True,,1480.636786962,1.480636787,
4,8192,10240,2048,0.185759637,0.232199546,False,-11.928846862,0.991473210,True,,1475.737118342,1.475737118,
5,10240,12288,2048,0.232199546,0.278639456,False,-14.132673303,0.988179865,True,,1716.237874732,1.716237875,
6,12288,14336,2048,0.278639456,0.325079365,False,-18.056466459,0.954479879,True,,2277.850171106,2.277850171,
7,14336,16384,2048,0.325079365,0.371519274,False,-17.253491258,0.983120447,True,,2175.652106061,2.175652106,
8,16384,18432,2048,0.371519274,0.417959184,False,-13.834458086,0.926521948,True,,1734.629167208,1.734629167,
9,18432,20480,2048,0.417959184,0.464399093,False,-16.082835191,0.950570609,True,,1830.920944377,1.830920944,
10,20480,22528,2048,0.464399093,0.510839002,False,-13.889217222,0.877469373,True,,1718.638618132,1.718638618,
11,22528,24576,2048,0.510839002,0.557278912,False,-15.595222113,0.947962312,True,,2044.326952135,2.044326952,
12,24576,26624,2048,0.557278912,0.603718821,False,-18.061856872,0.928169749,True,,1862.189791276,1.862189791,
13,26624,28672,2048,0.603718821,0.650158730,False,-16.675895227,0.981382644,True,,1735.796304509,1.735796305,
14,28672,30720,2048,0.650158730,0.696598639,False,-19.200954726,0.960460646,True,,2140.757329843,2.140757330,
15,30720,32768,2048,0.696598639,0.743038549,False,-18.657715241,0.986361680,True,,1921.834474898,1.921834475,
16,32768,34816,2048,0.743038549,0.789478458,False,-14.171271002,0.973133800,True,,1649.199003575,1.649199004,
17,34816,36864,2048,0.789478458,0.835918367,False,-14.569500657,0.986651871,True,,1691.303792577,1.691303793,
18,36864,38912,2048,0.835918367,0.882358277,False,-13.833215073,0.921036188,True,,1921.942899570,1.921942900,
