frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-29.704698079,0.964304040,True,,3823.828814578,3.823828815,
1,2048,4096,2048,0.046439909,0.092879819,False,-21.809438319,0.990086020,True,,2439.117968131,2.439117968,
2,4096,6144,2048,0.092879819,0.139319728,False,-15.868611294,0.990227398,True,,1813.077282849,1.813077283,
3,6144,8192,2048,0.139319728,0.185759637,False,-13.992090586,0.990196087,True,,1692.182587004,1.692182587,
4,8192,10240,2048,0.185759637,0.232199546,False,-13.442300290,0.989730482,True,,1719.665232097,1.719665232,
5,10240,12288,2048,0.232199546,0.278639456,False,-12.838554123,0.989080415,True,,1661.102096979,1.661102097,
6,12288,14336,2048,0.278639456,0.325079365,False,-13.708762711,0.990149404,True,,1642.719608524,1.642719609,
7,14336,16384,2048,0.325079365,0.371519274,False,-14.539238308,0.974556975,True,,1956.733025110,1.956733025,
8,16384,18432,2048,0.371519274,0.417959184,False,-13.153215896,0.979759275,True,,1831.879600317,1.831879600,
9,18432,20480,2048,0.417959184,0.464399093,False,-13.385671706,0.990868644,True,,1773.114253664,1.773114254,
10,20480,22528,2048,0.464399093,0.510839002,False,-16.203350076,0.989697285,True,,1930.516008811,1.930516009,
11,22528,24576,2048,0.510839002,0.557278912,False,-20.123887801,0.984364644,True,,2617.004107065,2.617004107,
12,24576,26624,2048,0.557278912,0.603718821,False,-13.832325543,0.988505650,True,,1932.256447232,1.932256447,
13,26624,28672,2048,0.603718821,0.650158730,False,-16.184015536,0.979721997,True,,2125.001519219,2.125001519,
14,28672,30720,2048,0.650158730,0.696598639,False,-17.146208987,0.983140218,True,,2516.648339925,2.516648340,
15,30720,32768,2048,0.696598639,0.743038549,False,-17.989587622,0.973249634,True,,2362.909853939,2.362909854,
16,32768,34816,2048,0.743038549,0.789478458,False,-17.381744547,0.989150441,True,,2325.795120995,2.325795121,
17,34816,36864,2048,0.789478458,0.835918367,False,-16.344990526,0.983195001,True,,2721.947243853,2.721947244,
18,36864,38912,2048,0.835918367,0.882358277,False,-15.045425386,0.988093092,True,,2214.898573140,2.214898573,
19,38912,40960,2048,0.882358277,0.928798186,False,-15.815005093,0.971659928,True,,2285.795264906,2.285795265,
20,40960,43008,2048,0.928798186,0.975238095,False,-16.368203977,0.989292699,True,,2389.633022550,2.389633023,
21,43008,45056,2048,0.975238095,1.021678005,False,-13.147030126,0.990783336,True,,1997.653489683,1.997653490,
22,45056,47104,2048,1.021678005,1.068117914,False,-11.715730699,0.988073429,True,,1665.704700181,1.665704700,
23,47104,49152,2048,1.068117914,1.114557823,False,-16.263821368,0.987586502,True,,2075.811407192,2.075811407,
24,49152,51200,2048,1.114557823,1.160997732,False,-26.580942735,0.976854207,True,,2311.233611675,2.311233612,
25,51200,53248,2048,1.160997732,1.207437642,False,-33.952616169,0.858988354,True,,2558.288632596,2.558288633,
26,53248,55296,2048,1.207437642,1.253877551,False,-38.040346475,0.939571649,True,,2953.419244387,2.953419244,
27,55296,57344,2048,1.253877551,1.300317460,False,-44.451749031,0.953460307,True,,4064.341971885,4.064341972,
28,57344,59392,2048,1.300317460,1.346757370,False,-39.299073755,0.720843187,True,,3258.463950162,3.258463950,
29,59392,61440,2048,1.346757370,1.393197279,False,-33.233464850,0.969085289,True,,2350.636323211,2.350636323,
30,61440,63488,2048,1.393197279,1.439637188,False,-29.838185763,0.980154269,True,,1856.163811362,1.856163811,
31,63488,65536,2048,1.439637188,1.486077098,False,-30.696348905,0.981784179,True,,2195.961556741,2.195961557,
32,65536,67584,2048,1.486077098,1.532517007,False,-30.811518004,0.981850864,True,,2259.207629665,2.259207630,
33,67584,69632,2048,1.532517007,1.578956916,False,-26.185607785,0.983488642,True,,1820.754660202,1.820754660,
34,69632,71680,2048,1.578956916,1.625396825,False,-24.160084807,0.983798276,True,,1659.088066554,1.659088067,
35,71680,73728,2048,1.625396825,1.671836735,False,-24.194781351,0.981933466,True,,1742.301584368,1.742301584,
36,73728,75776,2048,1.671836735,1.718276644,False,-28.145455542,0.978029031,True,,2439.094488443,2.439094488,
37,75776,77824,2048,1.718276644,1.764716553,False,-26.933357968,0.977987686,True,,2211.756103784,2.211756104,
38,77824,79872,2048,1.764716553,1.811156463,False,-26.813484098,0.981134232,True,,2422.219069600,2.422219070,
