frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-13.650232458,0.978486548,True,,1715.540831744,1.715540832,
1,2048,4096,2048,0.046439909,0.092879819,False,-11.955294100,0.988191501,True,,1462.786225888,1.462786226,
2,4096,6144,2048,0.092879819,0.139319728,False,-12.697480665,0.986879224,True,,1476.948390833,1.476948391,
3,6144,8192,2048,0.139319728,0.185759637,False,-10.849452866,0.987703811,True,,1423.602528252,1.423602528,
4,8192,10240,2048,0.185759637,0.232199546,False,-12.030336211,0.991500567,True,,1489.167324105,1.489167324,
5,10240,12288,2048,0.232199546,0.278639456,False,-10.173359583,0.991626287,True,,1511.798036598,1.511798037,
6,12288,14336,2048,0.278639456,0.325079365,False,-11.207574794,0.991876369,True,,1374.526014254,1.374526014,
7,14336,16384,2048,0.325079365,0.371519274,False,-9.303744775,0.991335526,True,,1527.363596809,1.527363597,
8,16384,18432,2048,0.371519274,0.417959184,False,-12.377760601,0.986173539,True,,1680.683733881,1.680683734,
9,18432,20480,2048,0.417959184,0.464399093,False,-11.273590294,0.988850622,True,,1454.364118690,1.454364119,
10,20480,22528,2048,0.464399093,0.510839002,False,-11.102119423,0.990966225,True,,1413.496136402,1.413496136,
11,22528,24576,2048,0.510839002,0.557278912,False,-13.160718637,0.988331190,True,,1442.675046400,1.442675046,
12,24576,26624,2048,0.557278912,0.603718821,False,-14.863128568,0.989682113,True,,1505.792422264,1.505792422,
13,26624,28672,2048,0.603718821,0.650158730,False,-12.515535966,0.991815974,True,,1453.737028701,1.453737029,
14,28672,30720,2048,0.650158730,0.696598639,False,-10.358238151,0.991620886,True,,1417.665736004,1.417665736,
15,30720,32768,2048,0.696598639,0.743038549,False,-15.329469872,0.990746337,True,,1504.701061118,1.504701061,
16,32768,34816,2048,0.743038549,0.789478458,False,-14.137555108,0.991054233,True,,1514.149053234,1.514149053,
17,34816,36864,2048,0.789478458,0.835918367,False,-12.552100211,0.987040688,True,,1468.111466568,1.468111467,
18,36864,38912,2048,0.835918367,0.882358277,False,-13.215833856,0.991075162,True,,1427.989504529,1.427989505,
19,38912,40960,2048,0.882358277,0.928798186,False,-12.755662691,0.990779533,True,,1404.669749772,1.404669750,
20,40960,43008,2048,0.928798186,0.975238095,False,-10.107373263,0.989944780,True,,1508.703042317,1.508703042,
21,43008,45056,2048,0.975238095,1.021678005,False,-9.668612530,0.990653427,True,,1519.963356656,1.519963357,
22,45056,47104,2048,1.021678005,1.068117914,False,-11.836811656,0.992150645,True,,1463.091976498,1.463091976,
23,47104,49152,2048,1.068117914,1.114557823,False,-11.519562332,0.992091598,True,,1620.020964812,1.620020965,
24,49152,51200,2048,1.114557823,1.160997732,False,-14.133874447,0.990852785,True,,1590.771971326,1.590771971,
25,51200,53248,2048,1.160997732,1.207437642,False,-16.754603280,0.987726039,True,,1673.235006725,1.673235007,
26,53248,55296,2048,1.207437642,1.253877551,False,-14.553837186,0.989668642,True,,1503.515659599,1.503515660,
27,55296,57344,2048,1.253877551,1.300317460,False,-11.638115462,0.988284035,True,,1519.427181211,1.519427181,
28,57344,59392,2048,1.300317460,1.346757370,False,-10.789909608,0.991432706,True,,1576.978648473,1.576978648,
29,59392,61440,2048,1.346757370,1.393197279,False,-18.181254474,0.979549248,True,,1446.985087918,1.446985088,
30,61440,63488,2048,1.393197279,1.439637188,False,-22.831108230,0.982555332,True,,1264.623540955,1.264623541,
31,63488,65536,2048,1.439637188,1.486077098,False,-30.148412896,0.957715609,True,,1443.628943721,1.443628944,
32,65536,67584,2048,1.486077098,1.532517007,False,-35.319960867,0.965848820,True,,1920.798622146,1.920798622,
33,67584,69632,2048,1.532517007,1.578956916,False,-26.862237373,0.621626873,True,,1836.209355609,1.836209356,
34,69632,71680,2048,1.578956916,1.625396825,False,-19.107951278,0.939313302,True,,1099.472611146,1.099472611,
35,71680,73728,2048,1.625396825,1.671836735,False,-18.611647422,0.982593932,True,,1089.166080029,1.089166080,
36,73728,75776,2048,1.671836735,1.718276644,False,-18.265084966,0.981107058,True,,1142.558665635,1.142558666,
37,75776,77824,2048,1.718276644,1.764716553,False,-17.497416324,0.981133651,True,,1295.960020070,1.295960020,
38,77824,79872,2048,1.764716553,1.811156463,False,-13.768878894,0.981768129,True,,1134.437220861,1.134437221,
39,79872,81920,2048,1.811156463,1.857596372,False,-14.834742113,0.977784583,True,,1322.010183411,1.322010183,
40,81920,83968,2048,1.857596372,1.904036281,False,-18.287918300,0.979011478,True,,1686.731443848,1.686731444,
41,83968,86016,2048,1.904036281,1.950476190,False,-13.443560323,0.983627455,True,,1266.626990499,1.266626990,
42,86016,88064,2048,1.950476190,1.996916100,False,-12.876308755,0.983575493,True,,1197.280205355,1.197280205,
