frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-20.711241050,0.967616760,True,,3409.927906504,3.409927907,
1,2048,4096,2048,0.046439909,0.092879819,False,-16.325773269,0.989974416,True,,2358.973815308,2.358973815,
2,4096,6144,2048,0.092879819,0.139319728,False,-14.998374464,0.987722223,True,,2392.607546048,2.392607546,
3,6144,8192,2048,0.139319728,0.185759637,False,-15.280534696,0.984147307,True,,2077.528053122,2.077528053,
4,8192,10240,2048,0.185759637,0.232199546,False,-16.404414253,0.968745154,True,,2244.431763287,2.244431763,
5,10240,12288,2048,0.232199546,0.278639456,False,-14.494094160,0.988532390,True,,2097.887279000,2.097887279,
6,12288,14336,2048,0.278639456,0.325079365,False,-13.216795034,0.989263941,True,,1854.976655361,1.854976655,
7,14336,16384,2048,0.325079365,0.371519274,False,-13.106337585,0.990288935,True,,1703.248496354,1.703248496,
8,16384,18432,2048,0.371519274,0.417959184,False,-13.287824154,0.987285233,True,,1920.169200142,1.920169200,
9,18432,20480,2048,0.417959184,0.464399093,False,-10.542417278,0.991773724,True,,1552.986439728,1.552986440,
10,20480,22528,2048,0.464399093,0.510839002,False,-10.774778271,0.991644433,True,,1547.137374303,1.547137374,
11,22528,24576,2048,0.510839002,0.557278912,False,-11.197340336,0.991342725,True,,1577.549271411,1.577549271,
12,24576,26624,2048,0.557278912,0.603718821,False,-11.774183312,0.991289169,True,,1546.408388179,1.546408388,
13,26624,28672,2048,0.603718821,0.650158730,False,-11.187396415,0.990797657,True,,1453.911150397,1.453911150,
14,28672,30720,2048,0.650158730,0.696598639,False,-13.093447842,0.991011224,True,,1579.519922314,1.579519922,
15,30720,32768,2048,0.696598639,0.743038549,False,-11.398628578,0.991591036,True,,1402.359779013,1.402359779,
16,32768,34816,2048,0.743038549,0.789478458,False,-12.959549221,0.990477475,True,,1519.005987458,1.519005987,
17,34816,36864,2048,0.789478458,0.835918367,False,-12.928207384,0.990320717,True,,1575.346954417,1.575346954,
18,36864,38912,2048,0.835918367,0.882358277,False,-13.596980567,0.989331523,True,,1651.469500109,1.651469500,
19,38912,40960,2048,0.882358277,0.928798186,False,-12.812543171,0.991421733,True,,1553.264005311,1.553264005,
20,40960,43008,2048,0.928798186,0.975238095,False,-12.627662920,0.991562987,True,,1569.905744947,1.569905745,
21,43008,45056,2048,0.975238095,1.021678005,False,-12.635910938,0.991685575,True,,1561.077028694,1.561077029,
22,45056,47104,2048,1.021678005,1.068117914,False,-12.272434798,0.991913063,True,,1419.108078475,1.419108078,
23,47104,49152,2048,1.068117914,1.114557823,False,-12.653614587,0.992082571,True,,1642.586746305,1.642586746,
24,49152,51200,2048,1.114557823,1.160997732,False,-13.034906884,0.990489604,True,,1658.827060734,1.658827061,
25,51200,53248,2048,1.160997732,1.207437642,False,-15.086316385,0.982842936,True,,1624.620194583,1.624620195,
26,53248,55296,2048,1.207437642,1.253877551,False,-26.013479440,0.982166679,True,,2367.366946944,2.367366947,
27,55296,57344,2048,1.253877551,1.300317460,False,-31.196004372,0.958019817,True,,2477.750651170,2.477750651,
28,57344,59392,2048,1.300317460,1.346757370,False,-37.691134294,0.932511280,True,,3961.452101258,3.961452101,
29,59392,61440,2048,1.346757370,1.393197279,False,-41.729138084,0.916886110,True,,4624.955964135,4.624955964,
30,61440,63488,2048,1.393197279,1.439637188,False,-19.363821678,0.983514764,True,,1745.729272507,1.745729273,
31,63488,65536,2048,1.439637188,1.486077098,False,-14.190205397,0.985765936,True,,1235.931136248,1.235931136,
32,65536,67584,2048,1.486077098,1.532517007,False,-14.952525522,0.979451318,True,,1222.953815270,1.222953815,
33,67584,69632,2048,1.532517007,1.578956916,False,-14.666614161,0.973368231,True,,1128.203071441,1.128203071,
34,69632,71680,2048,1.578956916,1.625396825,False,-17.875084488,0.974441721,True,,1616.503100007,1.616503100,
35,71680,73728,2048,1.625396825,1.671836735,False,-16.064781028,0.982565022,True,,1337.052880428,1.337052880,
36,73728,75776,2048,1.671836735,1.718276644,False,-11.850148360,0.984328066,True,,1157.364010721,1.157364011,
37,75776,77824,2048,1.718276644,1.764716553,False,-11.542329663,0.983790605,True,,1160.973901238,1.160973901,
38,77824,79872,2048,1.764716553,1.811156463,False,-16.132225149,0.974052506,True,,1500.976155792,1.500976156,
39,79872,81920,2048,1.811156463,1.857596372,False,-19.418536636,0.975825526,True,,1969.658453238,1.969658453,
40,81920,83968,2048,1.857596372,1.904036281,False,-14.330048477,0.983189148,True,,1343.273847199,1.343273847,
41,83968,86016,2048,1.904036281,1.950476190,False,-15.197090374,0.970697886,True,,1533.159075697,1.533159076,
42,86016,88064,2048,1.950476190,1.996916100,False,-15.714434131,0.964382334,True,,1592.881439423,1.592881439,
43,88064,90112,2048,1.996916100,2.043356009,False,-17.018214525,0.980743797,True,,1486.463451839,1.486463452,
