frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-24.077527060,0.901514921,True,,1543.093929915,1.543093930,
1,2048,4096,2048,0.046439909,0.092879819,False,-25.505649206,0.891291737,True,,1566.353889808,1.566353890,
2,4096,6144,2048,0.092879819,0.139319728,False,-22.803771833,0.966396945,True,,1209.544160423,1.209544160,
3,6144,8192,2048,0.139319728,0.185759637,False,-23.904605224,0.947247754,True,,1305.407833653,1.305407834,
4,8192,10240,2048,0.185759637,0.232199546,False,-24.465421268,0.960479482,True,,1224.404240043,1.224404240,
5,10240,12288,2048,0.232199546,0.278639456,False,-24.115971089,0.932709625,True,,1239.828207269,1.239828207,
6,12288,14336,2048,0.278639456,0.325079365,False,-19.144609393,0.941726549,True,,1723.318254170,1.723318254,
7,14336,16384,2048,0.325079365,0.371519274,False,-16.818147108,0.972692046,True,,1782.129414264,1.782129414,
8,16384,18432,2048,0.371519274,0.417959184,False,-15.555368271,0.959754846,True,,1901.144654807,1.901144655,
9,18432,20480,2048,0.417959184,0.464399093,False,-17.549386914,0.963958997,True,,2119.353390795,2.119353391,
10,20480,22528,2048,0.464399093,0.510839002,False,-15.620194577,0.969784176,True,,1925.157352715,1.925157353,
11,22528,24576,2048,0.510839002,0.557278912,False,-17.029462722,0.975578185,True,,2108.999948141,2.108999948,
12,24576,26624,2048,0.557278912,0.603718821,False,-17.057374418,0.975240636,True,,2078.794354990,2.078794355,
13,26624,28672,2048,0.603718821,0.650158730,False,-16.614918290,0.976260245,True,,1976.849698385,1.976849698,
14,28672,30720,2048,0.650158730,0.696598639,False,-18.422462248,0.980514132,True,,1966.007698533,1.966007699,
15,30720,32768,2048,0.696598639,0.743038549,False,-22.013062655,0.964950968,True,,2249.785112769,2.249785113,
16,32768,34816,2048,0.743038549,0.789478458,False,-20.297124659,0.974568378,True,,2202.071202267,2.202071202,
17,34816,36864,2048,0.789478458,0.835918367,False,-18.734373809,0.972446860,True,,2129.356524520,2.129356525,
18,36864,38912,2048,0.835918367,0.882358277,False,-19.210126480,0.965986385,True,,2319.684058876,2.319684059,
19,38912,40960,2048,0.882358277,0.928798186,False,-18.833734681,0.979584578,True,,1915.758265478,1.915758265,
20,40960,43008,2048,0.928798186,0.975238095,False,-17.001872041,0.974868988,True,,1935.255346054,1.935255346,
21,43008,45056,2048,0.975238095,1.021678005,False,-17.402858356,0.977914658,True,,1896.241804438,1.896241804,
22,45056,47104,2048,1.021678005,1.068117914,False,-18.056704561,0.974487832,True,,2099.962224851,2.099962225,
23,47104,49152,2048,1.068117914,1.114557823,False,-18.727190232,0.979369533,True,,2183.465423339,2.183465423,
24,49152,51200,2048,1.114557823,1.160997732,False,-18.281662954,0.976086666,True,,1828.542685765,1.828542686,
25,51200,53248,2048,1.160997732,1.207437642,False,-19.915740336,0.977910200,True,,1975.890455493,1.975890455,
26,53248,55296,2048,1.207437642,1.253877551,False,-18.966722757,0.968038833,True,,1889.471303098,1.889471303,
27,55296,57344,2048,1.253877551,1.300317460,False,-18.835081239,0.967002104,True,,2139.008016419,2.139008016,
28,57344,59392,2048,1.300317460,1.346757370,False,-22.542489441,0.944156464,True,,1313.293407116,1.313293407,
29,59392,61440,2048,1.346757370,1.393197279,False,-26.240487768,0.917548052,True,,1370.238318958,1.370238319,
30,61440,63488,2048,1.393197279,1.439637188,False,-27.172623622,0.876626660,True,,1158.133112175,1.158133112,
31,63488,65536,2048,1.439637188,1.486077098,False,-32.642328903,0.828947151,True,,2013.858630261,2.013858630,
32,65536,67584,2048,1.486077098,1.532517007,False,-25.277439285,0.847476730,True,,1513.201387030,1.513201387,
33,67584,69632,2048,1.532517007,1.578956916,False,-24.613555294,0.785656678,True,,1768.446841670,1.768446842,
34,69632,71680,2048,1.578956916,1.625396825,False,-26.408089281,0.821935669,True,,1806.241715829,1.806241716,
35,71680,73728,2048,1.625396825,1.671836735,False,-26.245299392,0.798906334,True,,1860.398761878,1.860398762,
36,73728,75776,2048,1.671836735,1.718276644,False,-23.105796422,0.918636999,True,,1709.830994756,1.709830995,
37,75776,77824,2048,1.718276644,1.764716553,False,-23.019022362,0.809353115,True,,1376.817327755,1.376817328,
38,77824,79872,2048,1.764716553,1.811156463,False,-24.197412136,0.869435396,True,,1820.066312326,1.820066312,
39,79872,81920,2048,1.811156463,1.857596372,False,-23.885001388,0.819990014,True,,1865.567519739,1.865567520,
40,81920,83968,2048,1.857596372,1.904036281,False,-22.540823063,0.910293798,True,,1832.317490083,1.832317490,
41,83968,86016,2048,1.904036281,1.950476190,False,-20.677489106,0.856839312,True,,1311.247039750,1.311247040,
42,86016,88064,2048,1.950476190,1.996916100,False,-24.148459672,0.903879674,True,,1200.661395172,1.200661395,
43,88064,90112,2048,1.996916100,2.043356009,False,-25.916505221,0.857884617,True,,1872.676526956,1.872676527,
