frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-41.940173841,0.896939556,True,,5787.662753955,5.787662754,
1,2048,4096,2048,0.046439909,0.092879819,False,-41.258730202,0.931332440,True,,5369.766772129,5.369766772,
2,4096,6144,2048,0.092879819,0.139319728,False,-38.366897811,0.949119642,True,,4918.422096024,4.918422096,
3,6144,8192,2048,0.139319728,0.185759637,False,-36.993358744,0.613056533,True,,5178.653809204,5.178653809,
4,8192,10240,2048,0.185759637,0.232199546,False,-33.874609644,0.782365946,True,,4117.521511362,4.117521511,
5,10240,12288,2048,0.232199546,0.278639456,False,-25.283704839,0.973607983,True,,3009.315787003,3.009315787,
6,12288,14336,2048,0.278639456,0.325079365,False,-20.578927345,0.984918004,True,,3350.869987036,3.350869987,
7,14336,16384,2048,0.325079365,0.371519274,False,-14.865640654,0.988516470,True,,2272.766083885,2.272766084,
8,16384,18432,2048,0.371519274,0.417959184,False,-14.925100175,0.989481154,True,,2185.450273907,2.185450274,
9,18432,20480,2048,0.417959184,0.464399093,False,-15.025678213,0.991035420,True,,1961.504769395,1.961504769,
10,20480,22528,2048,0.464399093,0.510839002,False,-14.641754049,0.991563407,True,,1651.973134852,1.651973135,
11,22528,24576,2048,0.510839002,0.557278912,False,-15.573389271,0.990950077,True,,1776.680448463,1.776680448,
12,24576,26624,2048,0.557278912,0.603718821,False,-16.373104214,0.986421450,True,,1883.128938222,1.883128938,
13,26624,28672,2048,0.603718821,0.650158730,False,-18.120771477,0.989520752,True,,1729.186204150,1.729186204,
14,28672,30720,2048,0.650158730,0.696598639,False,-17.713483327,0.990856355,True,,1738.030772905,1.738030773,
15,30720,32768,2048,0.696598639,0.743038549,False,-16.211679937,0.989460778,True,,1698.787811644,1.698787812,
16,32768,34816,2048,0.743038549,0.789478458,False,-18.437191422,0.990391454,True,,1743.143918418,1.743143918,
17,34816,36864,2048,0.789478458,0.835918367,False,-17.113965919,0.991070890,True,,1781.069490694,1.781069491,
18,36864,38912,2048,0.835918367,0.882358277,False,-15.945515190,0.990445505,True,,1609.974341203,1.609974341,
19,38912,40960,2048,0.882358277,0.928798186,False,-17.852294957,0.989150426,True,,1914.967671780,1.914967672,
20,40960,43008,2048,0.928798186,0.975238095,False,-18.162429890,0.958490848,True,,2123.809262193,2.123809262,
21,43008,45056,2048,0.975238095,1.021678005,False,-17.768220739,0.982252251,True,,1822.981268770,1.822981269,
22,45056,47104,2048,1.021678005,1.068117914,False,-16.733785114,0.978244891,True,,1558.455504508,1.558455505,
23,47104,49152,2048,1.068117914,1.114557823,False,-16.179832238,0.988903296,True,,1464.281957400,1.464281957,
24,49152,51200,2048,1.114557823,1.160997732,False,-19.434682764,0.977260608,True,,1711.715368097,1.711715368,
25,51200,53248,2048,1.160997732,1.207437642,False,-18.630087088,0.973201983,True,,1761.971042464,1.761971042,
26,53248,55296,2048,1.207437642,1.253877551,False,-20.755566824,0.977709669,True,,2190.789546370,2.190789546,
27,55296,57344,2048,1.253877551,1.300317460,False,-16.832948987,0.989216014,True,,1706.811616724,1.706811617,
28,57344,59392,2048,1.300317460,1.346757370,False,-19.245697762,0.977509938,True,,2227.133878664,2.227133879,
29,59392,61440,2048,1.346757370,1.393197279,False,-18.288735285,0.975586148,True,,1909.262083543,1.909262084,
30,61440,63488,2048,1.393197279,1.439637188,False,-20.850407002,0.975127331,True,,2255.920647516,2.255920648,
31,63488,65536,2048,1.439637188,1.486077098,False,-19.948967972,0.988709116,True,,2000.376839284,2.000376839,
32,65536,67584,2048,1.486077098,1.532517007,False,-20.997636542,0.989305260,True,,2236.780351987,2.236780352,
33,67584,69632,2048,1.532517007,1.578956916,False,-19.890675013,0.984162548,True,,2223.772130993,2.223772131,
34,69632,71680,2048,1.578956916,1.625396825,False,-20.629032114,0.984453987,True,,1916.154497281,1.916154497,
35,71680,73728,2048,1.625396825,1.671836735,False,-26.374863930,0.983752579,True,,1811.476448239,1.811476448,
36,73728,75776,2048,1.671836735,1.718276644,False,-32.010389479,0.979560484,True,,2050.822677917,2.050822678,
37,75776,77824,2048,1.718276644,1.764716553,False,-34.900160271,0.975881365,True,,2238.352005058,2.238352005,
38,77824,79872,2048,1.764716553,1.811156463,False,-42.640883047,0.975349014,True,,2707.758942779,2.707758943,
39,79872,81920,2048,1.811156463,1.857596372,False,-44.903263649,0.942259579,True,,3442.320283426,3.442320283,
40,81920,83968,2048,1.857596372,1.904036281,False,-47.572254657,0.838547511,True,,3778.684095645,3.778684096,
41,83968,86016,2048,1.904036281,1.950476190,False,-41.791310337,0.899165308,True,,2932.956403378,2.932956403,
42,86016,88064,2048,1.950476190,1.996916100,False,-31.949702218,0.980791147,True,,2191.006177943,2.191006178,
43,88064,90112,2048,1.996916100,2.043356009,False,-27.443266041,0.981867485,True,,1761.605829549,1.761605830,
44,90112,92160,2048,2.043356009,2.089795918,False,-29.414432872,0.981933510,True,,2076.389394650,2.076389395,
45,92160,94208,2048,2.089795918,2.136235828,False,-27.589911753,0.982745586,True,,1927.875806131,1.927875806,
46,94208,96256,2048,2.136235828,2.182675737,False,-23.517858889,0.982953314,True,,1809.388849389,1.809388849,
47,96256,98304,2048,2.182675737,2.229115646,False,-23.003449107,0.984472210,True,,2002.058477560,2.002058478,
48,98304,100352,2048,2.229115646,2.275555556,False,-24.974606701,0.973849628,True,,2359.519143658,2.359519144,
49,100352,102400,2048,2.275555556,2.321995465,False,-24.645971978,0.936366216,True,,1975.630529169,1.975630529,
50,102400,104448,2048,2.321995465,2.368435374,False,-22.931145302,0.963975465,True,,2240.010433521,2.240010434,
51,104448,106496,2048,2.368435374,2.414875283,False,-21.383714602,0.973983579,True,,1661.504764535,1.661504765,
52,106496,108544,2048,2.414875283,2.461315193,False,-31.511472396,0.909699191,True,,2592.253253573,2.592253254,
53,108544,110592,2048,2.461315193,2.507755102,False,-35.836390875,0.963212117,True,,2317.703981035,2.317703981,
54,110592,112640,2048,2.507755102,2.554195011,False,-39.497702608,0.798959828,True,,4328.716644102,4.328716644,
