frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-27.047329680,0.951266282,True,,1223.898313511,1.223898314,
1,2048,4096,2048,0.046439909,0.092879819,False,-26.347661830,0.960170015,True,,1066.227437877,1.066227438,
2,4096,6144,2048,0.092879819,0.139319728,False,-28.896005397,0.922256722,True,,1359.924160344,1.359924160,
3,6144,8192,2048,0.139319728,0.185759637,False,-29.233927499,0.888370147,True,,1823.415597736,1.823415598,
4,8192,10240,2048,0.185759637,0.232199546,False,-27.931871964,0.935953186,True,,1360.186433353,1.360186433,
5,10240,12288,2048,0.232199546,0.278639456,False,-25.381384374,0.942669999,True,,2429.440306578,2.429440307,
6,12288,14336,2048,0.278639456,0.325079365,False,-19.939551181,0.935858669,True,,2986.784086110,2.986784086,
7,14336,16384,2048,0.325079365,0.371519274,False,-15.862791396,0.972147999,True,,2218.563934381,2.218563934,
8,16384,18432,2048,0.371519274,0.417959184,False,-15.093452200,0.983066991,True,,2260.204518068,2.260204518,
9,18432,20480,2048,0.417959184,0.464399093,False,-15.338537792,0.977362786,True,,1698.745907093,1.698745907,
10,20480,22528,2048,0.464399093,0.510839002,False,-16.136794139,0.990133905,True,,1776.242640765,1.776242641,
11,22528,24576,2048,0.510839002,0.557278912,False,-13.934293837,0.990818282,True,,1515.254418774,1.515254419,
12,24576,26624,2048,0.557278912,0.603718821,False,-13.744519918,0.989808487,True,,1519.863227595,1.519863228,
13,26624,28672,2048,0.603718821,0.650158730,False,-14.000966961,0.988228868,True,,1368.152569113,1.368152569,
14,28672,30720,2048,0.650158730,0.696598639,False,-17.809461445,0.991416635,True,,1575.919081396,1.575919081,
15,30720,32768,2048,0.696598639,0.743038549,False,-18.341386126,0.990625637,True,,1633.888783036,1.633888783,
16,32768,34816,2048,0.743038549,0.789478458,False,-19.057218553,0.990820424,True,,1922.920350675,1.922920351,
17,34816,36864,2048,0.789478458,0.835918367,False,-16.174182508,0.987462366,True,,1691.065247389,1.691065247,
18,36864,38912,2048,0.835918367,0.882358277,False,-17.376122891,0.989532507,True,,1630.581879492,1.630581879,
19,38912,40960,2048,0.882358277,0.928798186,False,-16.908374174,0.988164989,True,,1543.123457646,1.543123458,
20,40960,43008,2048,0.928798186,0.975238095,False,-16.142288467,0.991015625,True,,1302.883239265,1.302883239,
21,43008,45056,2048,0.975238095,1.021678005,False,-18.708076616,0.989953096,True,,1545.517361817,1.545517362,
22,45056,47104,2048,1.021678005,1.068117914,False,-19.928235876,0.987710010,True,,1785.421527210,1.785421527,
23,47104,49152,2048,1.068117914,1.114557823,False,-14.864683638,0.991516740,True,,1322.806959992,1.322806960,
24,49152,51200,2048,1.114557823,1.160997732,False,-15.245520756,0.991884960,True,,1343.618520157,1.343618520,
25,51200,53248,2048,1.160997732,1.207437642,False,-17.996001391,0.985722610,True,,1633.037317877,1.633037318,
26,53248,55296,2048,1.207437642,1.253877551,False,-17.268102067,0.988163315,True,,1607.076829873,1.607076830,
27,55296,57344,2048,1.253877551,1.300317460,False,-16.311104988,0.989192165,True,,1567.261331182,1.567261331,
28,57344,59392,2048,1.300317460,1.346757370,False,-15.796881889,0.984744918,True,,1397.093688598,1.397093689,
29,59392,61440,2048,1.346757370,1.393197279,False,-18.219052365,0.983826442,True,,1544.845757660,1.544845758,
30,61440,63488,2048,1.393197279,1.439637188,False,-20.126653854,0.983937229,True,,1756.268972215,1.756268972,
31,63488,65536,2048,1.439637188,1.486077098,False,-16.427921545,0.981851494,True,,1575.372028836,1.575372029,
32,65536,67584,2048,1.486077098,1.532517007,False,-17.690302911,0.981837005,True,,1613.937772358,1.613937772,
33,67584,69632,2048,1.532517007,1.578956916,False,-20.986616935,0.985065110,True,,1736.801262577,1.736801263,
34,69632,71680,2048,1.578956916,1.625396825,False,-23.064718071,0.987115907,True,,1543.586653345,1.543586653,
35,71680,73728,2048,1.625396825,1.671836735,False,-27.389379837,0.963433783,True,,1701.316099124,1.701316099,
36,73728,75776,2048,1.671836735,1.718276644,False,-30.279849390,0.955495501,True,,1402.528723116,1.402528723,
37,75776,77824,2048,1.718276644,1.764716553,False,-35.366988860,0.938498043,True,,1266.126324328,1.266126324,
38,77824,79872,2048,1.764716553,1.811156463,False,-37.998564249,0.918449945,True,,1297.238466760,1.297238467,
39,79872,81920,2048,1.811156463,1.857596372,False,-42.624698230,0.715353978,True,,2211.562206308,2.211562206,
40,81920,83968,2048,1.857596372,1.904036281,False,-40.409040512,0.651477788,True,,2417.381687449,2.417381687,
41,83968,86016,2048,1.904036281,1.950476190,False,-39.510739060,0.597362724,True,,2006.382062507,2.006382063,
42,86016,88064,2048,1.950476190,1.996916100,False,-34.537527745,0.831958756,True,,1589.772904853,1.589772905,
43,88064,90112,2048,1.996916100,2.043356009,False,-35.428740134,0.783105785,True,,1959.334011456,1.959334011,
44,90112,92160,2048,2.043356009,2.089795918,False,-33.603415103,0.883581832,True,,1977.899017824,1.977899018,
45,92160,94208,2048,2.089795918,2.136235828,False,-31.569867604,0.890661371,True,,1974.846591934,1.974846592,
46,94208,96256,2048,2.136235828,2.182675737,False,-31.665029185,0.943154795,True,,2355.487862462,2.355487862,
47,96256,98304,2048,2.182675737,2.229115646,False,-29.414666107,0.891119231,True,,2197.032877891,2.197032878,
48,98304,100352,2048,2.229115646,2.275555556,False,-26.845779329,0.949131844,True,,2057.261342771,2.057261343,
49,100352,102400,2048,2.275555556,2.321995465,False,-26.818300568,0.913613382,True,,2314.520424388,2.314520424,
50,102400,104448,2048,2.321995465,2.368435374,False,-28.216236998,0.880692268,True,,2272.322336174,2.272322336,
51,104448,106496,2048,2.368435374,2.414875283,False,-28.266647438,0.860900751,True,,2193.275900271,2.193275900,
52,106496,108544,2048,2.414875283,2.461315193,False,-28.593095645,0.939329281,True,,1684.344375572,1.684344376,
53,108544,110592,2048,2.461315193,2.507755102,False,-33.388072111,0.834665830,True,,1374.178644956,1.374178645,
54,110592,112640,2048,2.507755102,2.554195011,False,-34.583082738,0.893654037,True,,2676.306426138,2.676306426,
55,112640,114688,2048,2.554195011,2.600634921,False,-33.070202943,0.847120814,True,,3219.583246732,3.219583247,
