frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-29.897751956,0.979435667,True,,2486.496290509,2.486496291,
1,2048,4096,2048,0.046439909,0.092879819,False,-28.182001902,0.890056230,True,,4110.298833901,4.110298834,
2,4096,6144,2048,0.092879819,0.139319728,False,-17.567719633,0.982558478,True,,2033.204246857,2.033204247,
3,6144,8192,2048,0.139319728,0.185759637,False,-16.174435582,0.986251998,True,,1812.162841152,1.812162841,
4,8192,10240,2048,0.185759637,0.232199546,False,-15.715740751,0.984341824,True,,1883.992145132,1.883992145,
5,10240,12288,2048,0.232199546,0.278639456,False,-15.235581521,0.985756962,True,,1951.485093541,1.951485094,
6,12288,14336,2048,0.278639456,0.325079365,False,-13.566005540,0.987712125,True,,1731.797017927,1.731797018,
7,14336,16384,2048,0.325079365,0.371519274,False,-17.660768798,0.975714499,True,,1777.318019345,1.777318019,
8,16384,18432,2048,0.371519274,0.417959184,False,-20.056536433,0.966460417,True,,1997.850483842,1.997850484,
9,18432,20480,2048,0.417959184,0.464399093,False,-14.055077652,0.969221644,True,,1841.018756156,1.841018756,
10,20480,22528,2048,0.464399093,0.510839002,False,-14.866850998,0.986237064,True,,1679.494460623,1.679494461,
11,22528,24576,2048,0.510839002,0.557278912,False,-22.016563945,0.902243457,True,,1811.479528507,1.811479529,
12,24576,26624,2048,0.557278912,0.603718821,False,-20.314462922,0.962843934,True,,2110.680301781,2.110680302,
13,26624,28672,2048,0.603718821,0.650158730,False,-14.824828130,0.985420073,True,,1910.775236497,1.910775236,
14,28672,30720,2048,0.650158730,0.696598639,False,-16.796942661,0.986402773,True,,1907.577335262,1.907577335,
15,30720,32768,2048,0.696598639,0.743038549,False,-21.345582800,0.973837687,True,,2383.958560306,2.383958560,
16,32768,34816,2048,0.743038549,0.789478458,False,-19.136875490,0.983352911,True,,2106.732931792,2.106732932,
17,34816,36864,2048,0.789478458,0.835918367,False,-16.232513419,0.985759366,True,,1966.434178164,1.966434178,
18,36864,38912,2048,0.835918367,0.882358277,False,-16.745153688,0.983472870,True,,2233.251072810,2.233251073,
19,38912,40960,2048,0.882358277,0.928798186,False,-17.656641304,0.982727174,True,,2223.460806754,2.223460807,
20,40960,43008,2048,0.928798186,0.975238095,False,-17.732860647,0.986850716,True,,2241.704049793,2.241704050,
21,43008,45056,2048,0.975238095,1.021678005,False,-16.322759861,0.985053793,True,,1931.073163801,1.931073164,
22,45056,47104,2048,1.021678005,1.068117914,False,-14.292710935,0.982361336,True,,1864.343508394,1.864343508,
23,47104,49152,2048,1.068117914,1.114557823,False,-20.967922170,0.866906253,True,,1732.487705753,1.732487706,
24,49152,51200,2048,1.114557823,1.160997732,False,-25.360002346,0.738638175,True,,1574.660474556,1.574660475,
25,51200,53248,2048,1.160997732,1.207437642,False,-29.607237780,0.727402118,True,,1625.455004858,1.625455005,
26,53248,55296,2048,1.207437642,1.253877551,False,-32.919985922,0.792042740,True,,1404.665803605,1.404665804,
27,55296,57344,2048,1.253877551,1.300317460,False,-37.189595414,0.722395681,True,,1826.731518068,1.826731518,
28,57344,59392,2048,1.300317460,1.346757370,False,-38.329814768,0.874669276,True,,1915.322304760,1.915322305,
29,59392,61440,2048,1.346757370,1.393197279,False,-39.761839570,0.832588558,True,,3814.333268553,3.814333269,
30,61440,63488,2048,1.393197279,1.439637188,False,-37.604715014,0.943591972,True,,2523.763079975,2.523763080,
31,63488,65536,2048,1.439637188,1.486077098,False,-32.790078003,0.973427497,True,,1657.280538734,1.657280539,
32,65536,67584,2048,1.486077098,1.532517007,False,-31.715437992,0.951710778,True,,1632.177924955,1.632177925,
33,67584,69632,2048,1.532517007,1.578956916,False,-33.499958011,0.924142156,True,,2395.137137065,2.395137137,
34,69632,71680,2048,1.578956916,1.625396825,False,-31.042106464,0.888765997,True,,1984.357682409,1.984357682,
35,71680,73728,2048,1.625396825,1.671836735,False,-20.452938922,0.959028214,True,,1466.900084438,1.466900084,
36,73728,75776,2048,1.671836735,1.718276644,False,-22.909778545,0.892748069,True,,1623.268408847,1.623268409,
37,75776,77824,2048,1.718276644,1.764716553,False,-28.791874517,0.687871275,True,,1858.573087039,1.858573087,
38,77824,79872,2048,1.764716553,1.811156463,False,-25.547496005,0.907582358,True,,1805.188250164,1.805188250,
