frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-24.587416974,0.936001681,True,,1855.291166747,1.855291167,
1,2048,4096,2048,0.046439909,0.092879819,False,-23.945927393,0.948648201,True,,1724.020836196,1.724020836,
2,4096,6144,2048,0.092879819,0.139319728,False,-23.654672342,0.941477168,True,,1108.511174605,1.108511175,
3,6144,8192,2048,0.139319728,0.185759637,False,-24.634266008,0.960690527,True,,1513.366414401,1.513366414,
4,8192,10240,2048,0.185759637,0.232199546,False,-22.883242491,0.782549951,True,,1285.920093185,1.285920093,
5,10240,12288,2048,0.232199546,0.278639456,False,-15.760752715,0.975782173,True,,1397.597643575,1.397597644,
6,12288,14336,2048,0.278639456,0.325079365,False,-15.760970286,0.973744497,True,,1462.477523742,1.462477524,
7,14336,16384,2048,0.325079365,0.371519274,False,-14.146035188,0.977000126,True,,1219.033503722,1.219033504,
8,16384,18432,2048,0.371519274,0.417959184,False,-15.502989654,0.980646886,True,,1322.784736850,1.322784737,
9,18432,20480,2048,0.417959184,0.464399093,False,-16.862768117,0.980349014,True,,1557.926436941,1.557926437,
10,20480,22528,2048,0.464399093,0.510839002,False,-16.703057280,0.982630113,True,,1372.657466577,1.372657467,
11,22528,24576,2048,0.510839002,0.557278912,False,-19.771279006,0.983415517,True,,1518.619481190,1.518619481,
12,24576,26624,2048,0.557278912,0.603718821,False,-15.874897978,0.985640922,True,,1521.455927382,1.521455927,
13,26624,28672,2048,0.603718821,0.650158730,False,-16.642218030,0.964292174,True,,1714.099030559,1.714099031,
14,28672,30720,2048,0.650158730,0.696598639,False,-17.245252131,0.985945428,True,,1606.709206100,1.606709206,
15,30720,32768,2048,0.696598639,0.743038549,False,-18.046325426,0.986222435,True,,1539.485739326,1.539485739,
16,32768,34816,2048,0.743038549,0.789478458,False,-18.736476407,0.979780070,True,,1797.907659053,1.797907659,
17,34816,36864,2048,0.789478458,0.835918367,False,-16.295623834,0.974532465,True,,1732.807139559,1.732807140,
18,36864,38912,2048,0.835918367,0.882358277,False,-15.590579803,0.968228296,True,,1648.856844869,1.648856845,
19,38912,40960,2048,0.882358277,0.928798186,False,-19.431873522,0.911868027,True,,1994.862296525,1.994862297,
20,40960,43008,2048,0.928798186,0.975238095,False,-20.517505956,0.906773452,True,,1764.586674037,1.764586674,
21,43008,45056,2048,0.975238095,1.021678005,False,-15.418816589,0.978696838,True,,1513.516741110,1.513516741,
22,45056,47104,2048,1.021678005,1.068117914,False,-14.359596845,0.988418939,True,,1461.833586103,1.461833586,
23,47104,49152,2048,1.068117914,1.114557823,False,-20.601103675,0.974132178,True,,1574.983344117,1.574983344,
24,49152,51200,2048,1.114557823,1.160997732,False,-14.729789048,0.989470997,True,,1558.806754291,1.558806754,
25,51200,53248,2048,1.160997732,1.207437642,False,-16.085544897,0.988647257,True,,1511.689615451,1.511689615,
26,53248,55296,2048,1.207437642,1.253877551,False,-17.858376816,0.985494925,True,,1693.756089622,1.693756090,
27,55296,57344,2048,1.253877551,1.300317460,False,-16.706994717,0.989846937,True,,1547.547149563,1.547547150,
28,57344,59392,2048,1.300317460,1.346757370,False,-23.871310439,0.977279820,True,,1542.853890376,1.542853890,
29,59392,61440,2048,1.346757370,1.393197279,False,-23.853297365,0.972488113,True,,1379.542618051,1.379542618,
30,61440,63488,2048,1.393197279,1.439637188,False,-29.531282582,0.930894490,True,,1290.314040822,1.290314041,
31,63488,65536,2048,1.439637188,1.486077098,False,-34.997213144,0.850423994,True,,1663.408232153,1.663408232,
32,65536,67584,2048,1.486077098,1.532517007,False,-35.618647655,0.801922124,True,,3028.764282385,3.028764282,
33,67584,69632,2048,1.532517007,1.578956916,False,-35.370317749,0.845367761,True,,1838.311265395,1.838311265,
34,69632,71680,2048,1.578956916,1.625396825,False,-34.862711202,0.924928595,True,,1444.074627925,1.444074628,
35,71680,73728,2048,1.625396825,1.671836735,False,-30.849651470,0.918110487,True,,736.475809259,0.736475809,
36,73728,75776,2048,1.671836735,1.718276644,False,-31.937356290,0.877262631,True,,1218.852062019,1.218852062,
37,75776,77824,2048,1.718276644,1.764716553,False,-30.745451821,0.873779852,True,,1122.936049799,1.122936050,
38,77824,79872,2048,1.764716553,1.811156463,False,-31.665543255,0.856133569,True,,1156.505602018,1.156505602,
39,79872,81920,2048,1.811156463,1.857596372,False,-28.897382313,0.884322487,True,,1095.187105448,1.095187105,
40,81920,83968,2048,1.857596372,1.904036281,False,-28.727066661,0.842327932,True,,1167.075456444,1.167075456,
41,83968,86016,2048,1.904036281,1.950476190,False,-24.490696812,0.938132060,True,,924.933305013,0.924933305,
42,86016,88064,2048,1.950476190,1.996916100,False,-26.936813804,0.889882071,True,,1317.025852553,1.317025853,
43,88064,90112,2048,1.996916100,2.043356009,False,-23.282174537,0.965532863,True,,1211.171237256,1.211171237,
44,90112,92160,2048,2.043356009,2.089795918,False,-26.528343191,0.881036511,True,,1257.055963009,1.257055963,
45,92160,94208,2048,2.089795918,2.136235828,False,-28.058384639,0.872649438,True,,1299.755781525,1.299755782,
46,94208,96256,2048,2.136235828,2.182675737,False,-30.688396713,0.881775113,True,,1672.739716587,1.672739717,
