frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-33.476259327,0.899297231,True,,3763.208475711,3.763208476,
1,2048,4096,2048,0.046439909,0.092879819,False,-33.002870789,0.944245621,True,,2979.626642883,2.979626643,
2,4096,6144,2048,0.092879819,0.139319728,False,-30.734407323,0.964377929,True,,2595.031105397,2.595031105,
3,6144,8192,2048,0.139319728,0.185759637,False,-36.079001625,0.954063624,True,,3649.026107988,3.649026108,
4,8192,10240,2048,0.185759637,0.232199546,False,-33.163810567,0.558564649,True,,5906.923338956,5.906923339,
5,10240,12288,2048,0.232199546,0.278639456,False,-29.893383054,0.612768953,True,,3724.041824375,3.724041824,
6,12288,14336,2048,0.278639456,0.325079365,False,-29.189064967,0.707314237,True,,3848.833025730,3.848833026,
7,14336,16384,2048,0.325079365,0.371519274,False,-27.248726521,0.903120418,True,,2986.474713565,2.986474714,
8,16384,18432,2048,0.371519274,0.417959184,False,-18.058384014,0.976852504,True,,2395.551388894,2.395551389,
9,18432,20480,2048,0.417959184,0.464399093,False,-16.392306326,0.989869133,True,,1505.135885269,1.505135885,
10,20480,22528,2048,0.464399093,0.510839002,False,-15.998933796,0.983925381,True,,1542.854337204,1.542854337,
11,22528,24576,2048,0.510839002,0.557278912,False,-16.067191991,0.985604093,True,,1564.795826516,1.564795827,
12,24576,26624,2048,0.557278912,0.603718821,False,-15.677827871,0.989940907,True,,1650.134803896,1.650134804,
13,26624,28672,2048,0.603718821,0.650158730,False,-19.615993579,0.990296346,True,,1890.088876561,1.890088877,
14,28672,30720,2048,0.650158730,0.696598639,False,-15.593893174,0.988979977,True,,1690.207531155,1.690207531,
15,30720,32768,2048,0.696598639,0.743038549,False,-17.289605380,0.988727394,True,,1726.508906474,1.726508906,
16,32768,34816,2048,0.743038549,0.789478458,False,-20.160575346,0.980521302,True,,1987.194268757,1.987194269,
17,34816,36864,2048,0.789478458,0.835918367,False,-19.337573300,0.986662484,True,,1652.237441222,1.652237441,
18,36864,38912,2048,0.835918367,0.882358277,False,-17.826126842,0.989153237,True,,1602.507113067,1.602507113,
19,38912,40960,2048,0.882358277,0.928798186,False,-18.699505588,0.986186626,True,,1747.345724945,1.747345725,
20,40960,43008,2048,0.928798186,0.975238095,False,-18.851024967,0.985574523,True,,1551.172228130,1.551172228,
21,43008,45056,2048,0.975238095,1.021678005,False,-21.056502617,0.980232810,True,,1877.800589285,1.877800589,
22,45056,47104,2048,1.021678005,1.068117914,False,-21.637423664,0.982152521,True,,2248.913316307,2.248913316,
23,47104,49152,2048,1.068117914,1.114557823,False,-18.665359054,0.984895090,True,,2076.337132226,2.076337132,
24,49152,51200,2048,1.114557823,1.160997732,False,-17.479867790,0.991126941,True,,1623.069110539,1.623069111,
25,51200,53248,2048,1.160997732,1.207437642,False,-17.236452933,0.991511862,True,,1662.140773682,1.662140774,
26,53248,55296,2048,1.207437642,1.253877551,False,-18.724284039,0.987000110,True,,1667.272098568,1.667272099,
27,55296,57344,2048,1.253877551,1.300317460,False,-20.856460845,0.981335464,True,,2096.543113304,2.096543113,
28,57344,59392,2048,1.300317460,1.346757370,False,-17.582023302,0.987582485,True,,1828.218498078,1.828218498,
29,59392,61440,2048,1.346757370,1.393197279,False,-21.957157160,0.978575451,True,,2308.842384498,2.308842384,
30,61440,63488,2048,1.393197279,1.439637188,False,-24.105462189,0.953929937,True,,1970.830636786,1.970830637,
31,63488,65536,2048,1.439637188,1.486077098,False,-28.533877155,0.970912270,True,,1756.838592717,1.756838593,
32,65536,67584,2048,1.486077098,1.532517007,False,-33.477552736,0.934151379,True,,1862.264157582,1.862264158,
33,67584,69632,2048,1.532517007,1.578956916,False,-34.892507189,0.963241269,True,,1672.216108532,1.672216109,
34,69632,71680,2048,1.578956916,1.625396825,False,-41.512242047,0.954438152,True,,2199.664169818,2.199664170,
35,71680,73728,2048,1.625396825,1.671836735,False,-41.421869736,0.924906358,True,,2352.168161227,2.352168161,
36,73728,75776,2048,1.671836735,1.718276644,False,-42.456510938,0.820942022,True,,5541.375098984,5.541375099,
37,75776,77824,2048,1.718276644,1.764716553,False,-39.291621608,0.931027634,True,,2558.804233310,2.558804233,
38,77824,79872,2048,1.764716553,1.811156463,False,-43.860969871,0.858781941,True,,2992.972272418,2.992972272,
39,79872,81920,2048,1.811156463,1.857596372,False,-38.012420282,0.949584229,True,,2129.258804372,2.129258804,
40,81920,83968,2048,1.857596372,1.904036281,False,-36.022320088,0.979733551,True,,2151.120232629,2.151120233,
41,83968,86016,2048,1.904036281,1.950476190,False,-32.915867406,0.967103445,True,,1942.246694579,1.942246695,
42,86016,88064,2048,1.950476190,1.996916100,False,-32.724057454,0.943826421,True,,1865.862256633,1.865862257,
43,88064,90112,2048,1.996916100,2.043356009,False,-32.952699754,0.932246194,True,,1787.979511517,1.787979512,
44,90112,92160,2048,2.043356009,2.089795918,False,-33.676882982,0.947916240,True,,2215.764002426,2.215764002,
45,92160,94208,2048,2.089795918,2.136235828,False,-33.016169987,0.930415061,True,,2012.287934962,2.012287935,
46,94208,96256,2048,2.136235828,2.182675737,False,-30.401750363,0.951386585,True,,1902.061653266,1.902061653,
47,96256,98304,2048,2.182675737,2.229115646,False,-30.721301350,0.965810699,True,,2055.096040554,2.055096041,
48,98304,100352,2048,2.229115646,2.275555556,False,-30.211310691,0.979501958,True,,1838.242993167,1.838242993,
49,100352,102400,2048,2.275555556,2.321995465,False,-33.381556125,0.974564844,True,,2014.833449710,2.014833450,
50,102400,104448,2048,2.321995465,2.368435374,False,-39.927005974,0.929502037,True,,2211.959599009,2.211959599,
51,104448,106496,2048,2.368435374,2.414875283,False,-41.650536707,0.947202234,True,,2796.022358272,2.796022358,
52,106496,108544,2048,2.414875283,2.461315193,False,-44.507529359,0.760268754,True,,3442.081265192,3.442081265,
