frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-27.518172314,0.567180498,True,,5004.480006932,5.004480007,
1,2048,4096,2048,0.046439909,0.092879819,False,-15.492652517,0.918897063,True,,2375.670567253,2.375670567,
2,4096,6144,2048,0.092879819,0.139319728,False,-14.268474351,0.954816395,True,,1944.847406150,1.944847406,
3,6144,8192,2048,0.139319728,0.185759637,False,-15.359439593,0.979293360,True,,1759.526963764,1.759526964,
4,8192,10240,2048,0.185759637,0.232199546,False,-13.163388260,0.986818921,True,,1573.368413045,1.573368413,
5,10240,12288,2048,0.232199546,0.278639456,False,-15.690627347,0.978035942,True,,1571.265648314,1.571265648,
6,12288,14336,2048,0.278639456,0.325079365,False,-13.172778450,0.989204880,True,,1411.732274952,1.411732275,
7,14336,16384,2048,0.325079365,0.371519274,False,-12.735100867,0.990168428,True,,1565.934297469,1.565934297,
8,16384,18432,2048,0.371519274,0.417959184,False,-14.987281741,0.984982671,True,,1692.712011677,1.692712012,
9,18432,20480,2048,0.417959184,0.464399093,False,-13.601303258,0.981839977,True,,1361.647264376,1.361647264,
10,20480,22528,2048,0.464399093,0.510839002,False,-13.895165262,0.972786648,True,,1671.084586373,1.671084586,
11,22528,24576,2048,0.510839002,0.557278912,False,-14.583945341,0.982238093,True,,1583.703144116,1.583703144,
12,24576,26624,2048,0.557278912,0.603718821,False,-16.156853945,0.981270462,True,,1742.786214561,1.742786215,
13,26624,28672,2048,0.603718821,0.650158730,False,-15.406288299,0.905583573,True,,1594.436512878,1.594436513,
14,28672,30720,2048,0.650158730,0.696598639,False,-14.800632658,0.946990116,True,,1434.792904830,1.434792905,
15,30720,32768,2048,0.696598639,0.743038549,False,-14.443809155,0.923329592,True,,1620.709441352,1.620709441,
16,32768,34816,2048,0.743038549,0.789478458,False,-14.987393610,0.938762911,True,,1527.114305084,1.527114305,
17,34816,36864,2048,0.789478458,0.835918367,False,-16.575213082,0.958785290,True,,1701.288704267,1.701288704,
18,36864,38912,2048,0.835918367,0.882358277,False,-15.671123159,0.898841135,True,,1570.412391924,1.570412392,
19,38912,40960,2048,0.882358277,0.928798186,False,-16.912867973,0.936999326,True,,1802.358663953,1.802358664,
20,40960,43008,2048,0.928798186,0.975238095,False,-15.670607522,0.907381344,True,,1627.307963533,1.627307964,
21,43008,45056,2048,0.975238095,1.021678005,False,-14.224836825,0.896185264,True,,1477.955429188,1.477955429,
22,45056,47104,2048,1.021678005,1.068117914,False,-16.867387140,0.976482198,True,,1672.921500667,1.672921501,
23,47104,49152,2048,1.068117914,1.114557823,False,-15.862160788,0.931438367,True,,1524.992512453,1.524992512,
24,49152,51200,2048,1.114557823,1.160997732,False,-14.536990181,0.969393696,True,,1467.260903747,1.467260904,
25,51200,53248,2048,1.160997732,1.207437642,False,-17.371417148,0.906654495,True,,1843.625683708,1.843625684,
26,53248,55296,2048,1.207437642,1.253877551,False,-14.820765493,0.902746662,True,,1538.510421065,1.538510421,
27,55296,57344,2048,1.253877551,1.300317460,False,-16.560799900,0.968863814,True,,1619.766546095,1.619766546,
28,57344,59392,2048,1.300317460,1.346757370,False,-16.166646938,0.862555184,True,,1562.844900200,1.562844900,
29,59392,61440,2048,1.346757370,1.393197279,False,-18.896277835,0.907121399,True,,1823.586459563,1.823586460,
30,61440,63488,2048,1.393197279,1.439637188,False,-15.768975598,0.878643463,True,,1693.664514476,1.693664514,
31,63488,65536,2048,1.439637188,1.486077098,False,-13.352023751,0.955362545,True,,1534.478544111,1.534478544,
32,65536,67584,2048,1.486077098,1.532517007,False,-17.309014993,0.914231965,True,,1752.459039614,1.752459040,
33,67584,69632,2048,1.532517007,1.578956916,False,-18.492001605,0.728433110,True,,1540.238051728,1.540238052,
34,69632,71680,2048,1.578956916,1.625396825,False,-18.205494466,0.915836216,True,,1597.220652623,1.597220653,
35,71680,73728,2048,1.625396825,1.671836735,False,-15.841657751,0.961599568,True,,1532.353313325,1.532353313,
36,73728,75776,2048,1.671836735,1.718276644,False,-19.076925422,0.923441589,True,,1549.038434028,1.549038434,
37,75776,77824,2048,1.718276644,1.764716553,False,-21.836469411,0.882692059,True,,1339.396427070,1.339396427,
38,77824,79872,2048,1.764716553,1.811156463,False,-19.663448820,0.829279549,True,,1152.021721629,1.152021722,
39,79872,81920,2048,1.811156463,1.857596372,False,-26.141467703,0.763030048,True,,1490.444605612,1.490444606,
40,81920,83968,2048,1.857596372,1.904036281,False,-28.434447791,0.918753656,True,,1767.463163592,1.767463164,
41,83968,86016,2048,1.904036281,1.950476190,False,-21.756370219,0.835242611,True,,1408.189672458,1.408189672,
42,86016,88064,2048,1.950476190,1.996916100,False,-19.044799434,0.914534709,True,,1151.377406352,1.151377406,
43,88064,90112,2048,1.996916100,2.043356009,False,-19.130392011,0.833516376,True,,1037.942849237,1.037942849,
44,90112,92160,2048,2.043356009,2.089795918,False,-24.704704381,0.830946751,True,,1202.418628945,1.202418629,
45,92160,94208,2048,2.089795918,2.136235828,False,-27.503542266,0.849764235,True,,3679.741765428,3.679741765,
46,94208,96256,2048,2.136235828,2.182675737,False,-25.926073615,0.843719656,True,,1818.478535394,1.818478535,
47,96256,98304,2048,2.182675737,2.229115646,False,-24.936882335,0.933321339,True,,1651.778917516,1.651778918,
48,98304,100352,2048,2.229115646,2.275555556,False,-24.497551764,0.953081971,True,,1617.155929896,1.617155930,
49,100352,102400,2048,2.275555556,2.321995465,False,-23.100302738,0.967944751,True,,1771.929127154,1.771929127,
50,102400,104448,2048,2.321995465,2.368435374,False,-21.295750771,0.947992567,True,,1673.512902838,1.673512903,
51,104448,106496,2048,2.368435374,2.414875283,False,-18.377113102,0.967673747,True,,1460.680743014,1.460680743,
52,106496,108544,2048,2.414875283,2.461315193,False,-18.332368777,0.952601535,True,,1487.498995156,1.487498995,
53,108544,110592,2048,2.461315193,2.507755102,False,-20.858334362,0.732386040,True,,1750.817731757,1.750817732,
54,110592,112640,2048,2.507755102,2.554195011,False,-20.516408640,0.938670157,True,,1630.051417989,1.630051418,
55,112640,114688,2048,2.554195011,2.600634921,False,-18.829314975,0.869808120,True,,1463.297627664,1.463297628,
56,114688,116736,2048,2.600634921,2.647074830,False,-16.756969971,0.898689581,True,,1387.295918705,1.387295919,
57,116736,118784,2048,2.647074830,2.693514739,False,-20.996818653,0.794326403,True,,1517.011412010,1.517011412,
58,118784,120832,2048,2.693514739,2.739954649,False,-19.983838524,0.887506140,True,,1319.644628624,1.319644629,
59,120832,122880,2048,2.739954649,2.786394558,False,-18.973665704,0.835743554,True,,1397.881177139,1.397881177,
60,122880,124928,2048,2.786394558,2.832834467,False,-24.817734396,0.760329087,True,,1507.910926938,1.507910927,
