frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-14.087530406,0.985046011,True,,1460.960347322,1.460960347,
1,2048,4096,2048,0.046439909,0.092879819,False,-15.080190585,0.983947510,True,,1570.920378795,1.570920379,
2,4096,6144,2048,0.092879819,0.139319728,False,-15.103264333,0.986467381,True,,1702.817404771,1.702817405,
3,6144,8192,2048,0.139319728,0.185759637,False,-14.032801442,0.988599289,True,,1559.270904610,1.559270905,
4,8192,10240,2048,0.185759637,0.232199546,False,-16.802970727,0.925597371,True,,1463.498200057,1.463498200,
5,10240,12288,2048,0.232199546,0.278639456,False,-15.431306765,0.965967956,True,,1447.008548667,1.447008549,
6,12288,14336,2048,0.278639456,0.325079365,False,-14.978490211,0.874415906,True,,1606.082753878,1.606082754,
7,14336,16384,2048,0.325079365,0.371519274,False,-16.567488342,0.885328538,True,,1794.939092141,1.794939092,
8,16384,18432,2048,0.371519274,0.417959184,False,-16.076534780,0.817664185,True,,1507.737902366,1.507737902,
9,18432,20480,2048,0.417959184,0.464399093,False,-17.018016796,0.886843184,True,,1695.859033370,1.695859033,
10,20480,22528,2048,0.464399093,0.510839002,False,-15.902701429,0.811820870,True,,1694.097606148,1.694097606,
11,22528,24576,2048,0.510839002,0.557278912,False,-16.085850717,0.885322429,True,,1790.847847224,1.790847847,
12,24576,26624,2048,0.557278912,0.603718821,False,-16.672190121,0.721288545,True,,1530.363628730,1.530363629,
13,26624,28672,2048,0.603718821,0.650158730,False,-16.266698019,0.858505750,True,,1705.127590928,1.705127591,
14,28672,30720,2048,0.650158730,0.696598639,False,-15.330075293,0.813145400,True,,1584.107771534,1.584107772,
15,30720,32768,2048,0.696598639,0.743038549,False,-16.115290219,0.776837678,True,,1769.942420145,1.769942420,
16,32768,34816,2048,0.743038549,0.789478458,False,-17.234458066,0.720483389,True,,1598.406430291,1.598406430,
17,34816,36864,2048,0.789478458,0.835918367,False,-16.101930331,0.858390082,True,,1942.453091982,1.942453092,
18,36864,38912,2048,0.835918367,0.882358277,False,-13.896823561,0.950680182,True,,1657.620454422,1.657620454,
19,38912,40960,2048,0.882358277,0.928798186,False,-18.487240783,0.779690359,True,,1859.777373290,1.859777373,
20,40960,43008,2048,0.928798186,0.975238095,False,-15.909710703,0.852096281,True,,1487.426704708,1.487426705,
21,43008,45056,2048,0.975238095,1.021678005,False,-16.246943873,0.880153213,True,,1548.463174023,1.548463174,
22,45056,47104,2048,1.021678005,1.068117914,False,-17.756742515,0.901415660,True,,1773.469206767,1.773469207,
23,47104,49152,2048,1.068117914,1.114557823,False,-15.805484443,0.764764847,True,,1466.257004802,1.466257005,
24,49152,51200,2048,1.114557823,1.160997732,False,-15.325562408,0.885089145,True,,1420.580192786,1.420580193,
25,51200,53248,2048,1.160997732,1.207437642,False,-17.161077888,0.837219815,True,,1568.739686075,1.568739686,
26,53248,55296,2048,1.207437642,1.253877551,False,-20.818562944,0.846088085,True,,1670.066404808,1.670066405,
27,55296,57344,2048,1.253877551,1.300317460,False,-23.177767712,0.874338332,True,,1855.304719023,1.855304719,
28,57344,59392,2048,1.300317460,1.346757370,False,-21.689992621,0.914427743,True,,1873.814596221,1.873814596,
29,59392,61440,2048,1.346757370,1.393197279,False,-22.193676634,0.797757337,True,,1855.560064698,1.855560065,
30,61440,63488,2048,1.393197279,1.439637188,False,-21.375054895,0.396127981,True,,2127.960061425,2.127960061,
31,63488,65536,2048,1.439637188,1.486077098,False,-14.485381144,0.945332374,True,,1601.912938290,1.601912938,
32,65536,67584,2048,1.486077098,1.532517007,False,-13.021660914,0.961480650,True,,1599.498921297,1.599498921,
33,67584,69632,2048,1.532517007,1.578956916,False,-12.538610799,0.978938458,True,,1405.587554926,1.405587555,
34,69632,71680,2048,1.578956916,1.625396825,False,-13.637122468,0.980669560,True,,1447.946117021,1.447946117,
35,71680,73728,2048,1.625396825,1.671836735,False,-14.826902395,0.972171807,True,,1506.088026177,1.506088026,
36,73728,75776,2048,1.671836735,1.718276644,False,-17.266331477,0.964086012,True,,1443.423254530,1.443423255,
37,75776,77824,2048,1.718276644,1.764716553,False,-14.448415884,0.875901845,True,,1284.503521731,1.284503522,
38,77824,79872,2048,1.764716553,1.811156463,False,-14.175617709,0.950801907,True,,1421.051421210,1.421051421,
39,79872,81920,2048,1.811156463,1.857596372,False,-17.060971689,0.897728735,True,,1557.759825252,1.557759825,
40,81920,83968,2048,1.857596372,1.904036281,False,-15.328505005,0.922373229,True,,1405.783699735,1.405783700,
41,83968,86016,2048,1.904036281,1.950476190,False,-14.883211433,0.889688014,True,,1347.573382897,1.347573383,
42,86016,88064,2048,1.950476190,1.996916100,False,-15.132154341,0.917347677,True,,1611.896967605,1.611896968,
