frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-44.805669640,0.636992972,True,,3609.263060496,3.609263060,
1,2048,4096,2048,0.046439909,0.092879819,False,-28.510407146,0.924432665,True,,2073.037935808,2.073037936,
2,4096,6144,2048,0.092879819,0.139319728,False,-16.967229624,0.987499790,True,,1525.949657970,1.525949658,
3,6144,8192,2048,0.139319728,0.185759637,False,-16.046595497,0.990030149,True,,1565.978959298,1.565978959,
4,8192,10240,2048,0.185759637,0.232199546,False,-15.309671585,0.989169071,True,,1459.573024138,1.459573024,
5,10240,12288,2048,0.232199546,0.278639456,False,-15.857613004,0.991088913,True,,1543.931685659,1.543931686,
6,12288,14336,2048,0.278639456,0.325079365,False,-16.356940411,0.988977768,True,,1432.863798338,1.432863798,
7,14336,16384,2048,0.325079365,0.371519274,False,-19.268910110,0.989169507,True,,1809.633589557,1.809633590,
8,16384,18432,2048,0.371519274,0.417959184,False,-16.482003583,0.990455726,True,,1472.953945889,1.472953946,
9,18432,20480,2048,0.417959184,0.464399093,False,-16.062329350,0.989308434,True,,1577.965603709,1.577965604,
10,20480,22528,2048,0.464399093,0.510839002,False,-17.989995198,0.977400275,True,,1782.044185162,1.782044185,
11,22528,24576,2048,0.510839002,0.557278912,False,-16.256512984,0.963188022,True,,1449.666678846,1.449666679,
12,24576,26624,2048,0.557278912,0.603718821,False,-19.239117945,0.973673638,True,,1607.020696945,1.607020697,
13,26624,28672,2048,0.603718821,0.650158730,False,-19.012007769,0.977366417,True,,1590.267889694,1.590267890,
14,28672,30720,2048,0.650158730,0.696598639,False,-19.012910125,0.967261409,True,,1475.704048001,1.475704048,
15,30720,32768,2048,0.696598639,0.743038549,False,-19.613592887,0.960334408,True,,1614.534542196,1.614534542,
16,32768,34816,2048,0.743038549,0.789478458,False,-18.914062366,0.956706597,True,,1562.313125382,1.562313125,
17,34816,36864,2048,0.789478458,0.835918367,False,-18.853950694,0.955094289,True,,1418.257181805,1.418257182,
18,36864,38912,2048,0.835918367,0.882358277,False,-20.814112196,0.965810449,True,,1826.055985569,1.826055986,
19,38912,40960,2048,0.882358277,0.928798186,False,-18.122457816,0.951650782,True,,1555.564959059,1.555564959,
20,40960,43008,2048,0.928798186,0.975238095,False,-19.173335123,0.957395144,True,,1430.693463333,1.430693463,
21,43008,45056,2048,0.975238095,1.021678005,False,-21.116175529,0.930115960,True,,1648.752375042,1.648752375,
22,45056,47104,2048,1.021678005,1.068117914,False,-15.657449465,0.983231521,True,,1490.667717698,1.490667718,
23,47104,49152,2048,1.068117914,1.114557823,False,-19.950199734,0.928842896,True,,1413.196272152,1.413196272,
24,49152,51200,2048,1.114557823,1.160997732,False,-22.142604869,0.950898868,True,,1558.100140007,1.558100140,
25,51200,53248,2048,1.160997732,1.207437642,False,-16.002229774,0.952929076,True,,1545.477049259,1.545477049,
26,53248,55296,2048,1.207437642,1.253877551,False,-19.009683317,0.927012438,True,,1372.063790957,1.372063791,
27,55296,57344,2048,1.253877551,1.300317460,False,-21.398311523,0.934907395,True,,1649.293698494,1.649293698,
28,57344,59392,2048,1.300317460,1.346757370,False,-17.575965305,0.959614880,True,,1465.749260298,1.465749260,
29,59392,61440,2048,1.346757370,1.393197279,False,-19.677610317,0.943738980,True,,1408.421127225,1.408421127,
30,61440,63488,2048,1.393197279,1.439637188,False,-24.622299997,0.920688538,True,,1675.653140543,1.675653141,
31,63488,65536,2048,1.439637188,1.486077098,False,-26.594217685,0.957843719,True,,1688.809688703,1.688809689,
32,65536,67584,2048,1.486077098,1.532517007,False,-30.191085009,0.968844710,True,,1632.179509070,1.632179509,
33,67584,69632,2048,1.532517007,1.578956916,False,-35.362023205,0.971277059,True,,1685.854003204,1.685854003,
34,69632,71680,2048,1.578956916,1.625396825,False,-39.683862655,0.973246916,True,,1620.305582751,1.620305583,
35,71680,73728,2048,1.625396825,1.671836735,False,-47.435834661,0.914354962,True,,2799.473956844,2.799473957,
36,73728,75776,2048,1.671836735,1.718276644,False,-48.539949442,0.611468782,True,,2803.280226418,2.803280226,
37,75776,77824,2048,1.718276644,1.764716553,False,-41.957485479,0.925189847,True,,2099.510011094,2.099510011,
38,77824,79872,2048,1.764716553,1.811156463,False,-36.187200080,0.979059351,True,,1671.590511068,1.671590511,
39,79872,81920,2048,1.811156463,1.857596372,False,-32.702846816,0.981627386,True,,1452.674464027,1.452674464,
40,81920,83968,2048,1.857596372,1.904036281,False,-32.494673736,0.982286323,True,,1433.954874274,1.433954874,
41,83968,86016,2048,1.904036281,1.950476190,False,-36.652515852,0.967978028,True,,1756.006529127,1.756006529,
42,86016,88064,2048,1.950476190,1.996916100,False,-32.292671158,0.979809544,True,,1537.567115867,1.537567116,
43,88064,90112,2048,1.996916100,2.043356009,False,-30.641802618,0.981144866,True,,1481.994909166,1.481994909,
44,90112,92160,2048,2.043356009,2.089795918,False,-35.243009166,0.898845932,True,,2143.256223969,2.143256224,
45,92160,94208,2048,2.089795918,2.136235828,False,-36.052775851,0.909950868,True,,1760.848604089,1.760848604,
46,94208,96256,2048,2.136235828,2.182675737,False,-35.569780312,0.917656217,True,,1457.090145608,1.457090146,
47,96256,98304,2048,2.182675737,2.229115646,False,-39.933379776,0.911641653,True,,1524.414227437,1.524414227,
48,98304,100352,2048,2.229115646,2.275555556,False,-43.138437779,0.801727779,True,,1639.595518733,1.639595519,
