frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-25.199277942,0.972154301,True,,1467.127503671,1.467127504,
1,2048,4096,2048,0.046439909,0.092879819,False,-16.962213396,0.971743039,True,,1650.010155207,1.650010155,
2,4096,6144,2048,0.092879819,0.139319728,False,-16.171271445,0.978558200,True,,1354.926677785,1.354926678,
3,6144,8192,2048,0.139319728,0.185759637,False,-18.960589057,0.962116194,True,,1769.948138644,1.769948139,
4,8192,10240,2048,0.185759637,0.232199546,False,-18.047344724,0.955987623,True,,1819.483155481,1.819483155,
5,10240,12288,2048,0.232199546,0.278639456,False,-15.705757566,0.984789119,True,,1472.191617054,1.472191617,
6,12288,14336,2048,0.278639456,0.325079365,False,-18.094953070,0.974706724,True,,1614.171456948,1.614171457,
7,14336,16384,2048,0.325079365,0.371519274,False,-18.222245109,0.977811514,True,,1582.676984142,1.582676984,
8,16384,18432,2048,0.371519274,0.417959184,False,-20.281143675,0.977958742,True,,1804.382377773,1.804382378,
9,18432,20480,2048,0.417959184,0.464399093,False,-15.532963619,0.987110478,True,,1509.070820106,1.509070820,
10,20480,22528,2048,0.464399093,0.510839002,False,-14.463381915,0.989081192,True,,1293.389252047,1.293389252,
11,22528,24576,2048,0.510839002,0.557278912,False,-16.279640220,0.987015780,True,,1490.076170503,1.490076171,
12,24576,26624,2048,0.557278912,0.603718821,False,-19.489983116,0.981856876,True,,1550.253475248,1.550253475,
13,26624,28672,2048,0.603718821,0.650158730,False,-19.142443589,0.984327670,True,,1686.458117664,1.686458118,
14,28672,30720,2048,0.650158730,0.696598639,False,-15.866769887,0.981573291,True,,1423.801217338,1.423801217,
15,30720,32768,2048,0.696598639,0.743038549,False,-21.104265866,0.966446173,True,,1729.234069484,1.729234069,
16,32768,34816,2048,0.743038549,0.789478458,False,-16.221368316,0.984813604,True,,1380.749099192,1.380749099,
17,34816,36864,2048,0.789478458,0.835918367,False,-18.297428926,0.964285978,True,,1580.518321307,1.580518321,
18,36864,38912,2048,0.835918367,0.882358277,False,-19.809800988,0.978107028,True,,1665.709289209,1.665709289,
19,38912,40960,2048,0.882358277,0.928798186,False,-16.484159952,0.975697444,True,,1512.414511064,1.512414511,
20,40960,43008,2048,0.928798186,0.975238095,False,-18.346796656,0.979082613,True,,1607.895595066,1.607895595,
21,43008,45056,2048,0.975238095,1.021678005,False,-17.848756051,0.973869520,True,,1594.984436211,1.594984436,
22,45056,47104,2048,1.021678005,1.068117914,False,-17.942684457,0.944421460,True,,1471.543198496,1.471543198,
23,47104,49152,2048,1.068117914,1.114557823,False,-24.055898469,0.940031577,True,,2026.332543837,2.026332544,
24,49152,51200,2048,1.114557823,1.160997732,False,-16.391844314,0.973511996,True,,1583.242865498,1.583242865,
25,51200,53248,2048,1.160997732,1.207437642,False,-18.962079317,0.978840971,True,,1737.796540840,1.737796541,
26,53248,55296,2048,1.207437642,1.253877551,False,-16.815529061,0.982807243,True,,1525.525813504,1.525525814,
27,55296,57344,2048,1.253877551,1.300317460,False,-21.919622118,0.973928380,True,,1736.372207434,1.736372207,
28,57344,59392,2048,1.300317460,1.346757370,False,-19.638243333,0.974834532,True,,1672.803796240,1.672803796,
29,59392,61440,2048,1.346757370,1.393197279,False,-18.755358252,0.962521741,True,,1666.529433029,1.666529433,
30,61440,63488,2048,1.393197279,1.439637188,False,-16.146521245,0.988720569,True,,1387.245151628,1.387245152,
31,63488,65536,2048,1.439637188,1.486077098,False,-17.892804216,0.973712943,True,,1544.493848455,1.544493848,
32,65536,67584,2048,1.486077098,1.532517007,False,-22.573245536,0.938971659,True,,1641.451476012,1.641451476,
33,67584,69632,2048,1.532517007,1.578956916,False,-23.026478358,0.933460661,True,,1905.949805251,1.905949805,
34,69632,71680,2048,1.578956916,1.625396825,False,-19.694806750,0.948668511,True,,1583.371599727,1.583371600,
35,71680,73728,2048,1.625396825,1.671836735,False,-22.788058632,0.956536963,True,,1996.166113425,1.996166113,
36,73728,75776,2048,1.671836735,1.718276644,False,-22.484889351,0.980386508,True,,1556.213596756,1.556213597,
37,75776,77824,2048,1.718276644,1.764716553,False,-34.025247403,0.812252901,True,,1936.505333845,1.936505334,
38,77824,79872,2048,1.764716553,1.811156463,False,-34.763157687,0.917677966,True,,1720.803907275,1.720803907,
