frame_index,start_sample,end_sample,frame_length_samples,start_time_s,end_time_s,short_final_frame,rms_dbfs,autocorr_voicing_score,is_likely_voiced,voicing_warning,spectral_centroid_hz,spectral_centroid_khz,calculation_warning
0,0,2048,2048,0.000000000,0.046439909,False,-23.030561254,0.857777317,True,,2294.734122186,2.294734122,
1,2048,4096,2048,0.046439909,0.092879819,False,-13.887633196,0.973835683,True,,1797.263038986,1.797263039,
2,4096,6144,2048,0.092879819,0.139319728,False,-15.329231846,0.982245934,True,,1946.200976153,1.946200976,
3,6144,8192,2048,0.139319728,0.185759637,False,-14.673892360,0.985872978,True,,2040.846896202,2.040846896,
4,8192,10240,2048,0.185759637,0.232199546,False,-12.266234924,0.988330117,True,,1634.157602381,1.634157602,
5,10240,12288,2048,0.232199546,0.278639456,False,-16.283719636,0.976053565,True,,1657.067154077,1.657067154,
6,12288,14336,2048,0.278639456,0.325079365,False,-14.830936400,0.980770109,True,,1940.183627570,1.940183628,
7,14336,16384,2048,0.325079365,0.371519274,False,-15.517180644,0.948585083,True,,1570.388530858,1.570388531,
8,16384,18432,2048,0.371519274,0.417959184,False,-16.471244005,0.973314500,True,,1789.312587750,1.789312588,
9,18432,20480,2048,0.417959184,0.464399093,False,-17.385043860,0.919600648,True,,1894.466260420,1.894466260,
10,20480,22528,2048,0.464399093,0.510839002,False,-17.518568012,0.966661661,True,,2028.952759923,2.028952760,
11,22528,24576,2048,0.510839002,0.557278912,False,-18.593976068,0.932978812,True,,1977.073952629,1.977073953,
12,24576,26624,2048,0.557278912,0.603718821,False,-17.066269131,0.937283637,True,,1987.831115011,1.987831115,
13,26624,28672,2048,0.603718821,0.650158730,False,-17.778958545,0.812922727,True,,2086.291304471,2.086291304,
14,28672,30720,2048,0.650158730,0.696598639,False,-17.188186789,0.924933639,True,,2193.197943725,2.193197944,
15,30720,32768,2048,0.696598639,0.743038549,False,-16.469839164,0.886348094,True,,2066.167794704,2.066167795,
16,32768,34816,2048,0.743038549,0.789478458,False,-16.696245138,0.962354022,True,,1914.342807231,1.914342807,
17,34816,36864,2048,0.789478458,0.835918367,False,-18.765862490,0.910731831,True,,2185.228078096,2.185228078,
18,36864,38912,2048,0.835918367,0.882358277,False,-18.001560593,0.951641270,True,,2137.469429589,2.137469430,
19,38912,40960,2048,0.882358277,0.928798186,False,-16.450384353,0.934234503,True,,1959.866300225,1.959866300,
20,40960,43008,2048,0.928798186,0.975238095,False,-16.353029678,0.964394810,True,,1799.680773650,1.799680774,
21,43008,45056,2048,0.975238095,1.021678005,False,-17.659380202,0.959571435,True,,1916.831130062,1.916831130,
22,45056,47104,2048,1.021678005,1.068117914,False,-20.837169375,0.960643140,True,,2205.626955184,2.205626955,
23,47104,49152,2048,1.068117914,1.114557823,False,-16.364362363,0.977168025,True,,2202.874256083,2.202874256,
24,49152,51200,2048,1.114557823,1.160997732,False,-17.500095546,0.979451745,True,,1873.061036009,1.873061036,
25,51200,53248,2048,1.160997732,1.207437642,False,-22.482482872,0.967976381,True,,1858.510826435,1.858510826,
26,53248,55296,2048,1.207437642,1.253877551,False,-25.172030626,0.953136180,True,,1777.648814441,1.777648814,
27,55296,57344,2048,1.253877551,1.300317460,False,-25.389567169,0.971610735,True,,1859.351510589,1.859351511,
28,57344,59392,2048,1.300317460,1.346757370,False,-28.952454053,0.956459404,True,,2893.702702281,2.893702702,
29,59392,61440,2048,1.346757370,1.393197279,False,-22.285332098,0.905301424,True,,2024.982735263,2.024982735,
30,61440,63488,2048,1.393197279,1.439637188,False,-20.211381370,0.932349277,True,,1789.130515870,1.789130516,
31,63488,65536,2048,1.439637188,1.486077098,False,-18.154205374,0.970200095,True,,1721.655781936,1.721655782,
32,65536,67584,2048,1.486077098,1.532517007,False,-13.252955802,0.978917376,True,,1353.192236035,1.353192236,
33,67584,69632,2048,1.532517007,1.578956916,False,-15.190809219,0.979129325,True,,1289.054996039,1.289054996,
34,69632,71680,2048,1.578956916,1.625396825,False,-13.561393301,0.979914486,True,,1498.021026752,1.498021027,
35,71680,73728,2048,1.625396825,1.671836735,False,-17.013339407,0.963692684,True,,1788.338394290,1.788338394,
36,73728,75776,2048,1.671836735,1.718276644,False,-14.823945333,0.960656049,True,,1609.380804519,1.609380805,
37,75776,77824,2048,1.718276644,1.764716553,False,-15.741951982,0.942223946,True,,1768.653715861,1.768653716,
38,77824,79872,2048,1.764716553,1.811156463,False,-16.715100878,0.829386049,True,,1742.379475750,1.742379476,
39,79872,81920,2048,1.811156463,1.857596372,False,-16.680867681,0.947076942,True,,1907.602245537,1.907602246,
40,81920,83968,2048,1.857596372,1.904036281,False,-16.463720459,0.871797371,True,,1752.876687457,1.752876687,
41,83968,86016,2048,1.904036281,1.950476190,False,-15.540694997,0.961393428,True,,1561.303239243,1.561303239,
