Subject,Metric,ReferenceSubject,ReferenceOccasion,N_reference_valid_frames,N_Z1_valid_frames,N_Z2_valid_frames,Z1_cumulative_cost,Z1_path_length,Z1_DTWnorm,Z2_cumulative_cost,Z2_path_length,Z2_DTWnorm,Delta_Z2_minus_Z1,Direction,Status
E01,Q_value,M2025,REF,47,20,35,832.840853020513,54,15.422978759639,697.875003562360,61,11.440573828891,-3.982404930748,approach,computed
E02,Q_value,M2025,REF,47,27,28,757.063969446943,62,12.210709184628,740.106449030639,58,12.760456017770,0.549746833142,divergence,computed
E03,Q_value,M2025,REF,47,0,9,,,,,,,,not_computed,missing_or_no_valid_Z1_series
E04,Q_value,M2025,REF,47,13,17,979.549758000426,51,19.206858000008,749.692927902892,54,13.883202368572,-5.323655631436,approach,computed
E05,Q_value,M2025,REF,47,27,29,700.373428479346,58,12.075403939299,667.341502713231,51,13.085127504181,1.009723564882,divergence,computed
E06,Q_value,M2025,REF,47,3,20,1138.878016616962,47,24.231447162063,783.252648776470,57,13.741274539938,-10.490172622125,approach,computed
E07,Q_value,M2025,REF,47,2,21,1184.591487962855,47,25.204074211976,743.502336175560,49,15.173517064807,-10.030557147168,approach,computed
V01,Q_value,M2025,REF,47,14,26,729.419526485748,49,14.886112785423,809.436965856509,54,14.989573441787,0.103460656364,divergence,computed
V02,Q_value,M2025,REF,47,35,38,663.072683352928,64,10.360510677389,703.841148962154,65,10.828325368649,0.467814691259,divergence,computed
V03,Q_value,M2025,REF,47,40,26,790.098131049875,71,11.128142690843,835.752409955658,58,14.409524309580,3.281381618737,divergence,computed
V04,Q_value,M2025,REF,47,45,70,629.314910102512,62,10.150240485524,769.480156019650,86,8.947443674647,-1.202796810877,approach,computed
V05,Q_value,M2025,REF,47,41,43,701.732162741722,58,12.098830392099,641.165211108060,57,11.248512475580,-0.850317916519,approach,computed
V06,Q_value,M2025,REF,47,45,37,531.210273878827,67,7.928511550430,577.526309378531,56,10.312969810331,2.384458259901,divergence,computed
V07,Q_value,M2025,REF,47,49,49,707.158311255183,64,11.049348613362,626.945217948613,67,9.357391312666,-1.691957300696,approach,computed
V08,Q_value,M2025,REF,47,41,38,598.786241443360,61,9.816167892514,847.165671076763,57,14.862555632926,5.046387740412,divergence,computed
V09,Q_value,M2025,REF,47,17,39,720.878030949041,50,14.417560618981,723.624863173543,68,10.641542105493,-3.776018513488,approach,computed
V10,Q_value,M2025,REF,47,15,22,722.848549497553,50,14.456970989951,865.782372796310,61,14.193153652399,-0.263817337553,approach,computed
V11,Q_value,M2025,REF,47,50,43,661.525900924413,69,9.587331897455,834.933380121139,69,12.100483769872,2.513151872416,divergence,computed
V12,Q_value,M2025,REF,47,23,29,789.806534981896,56,14.103688124677,908.702876973182,70,12.981469671045,-1.122218453631,approach,computed
V13,Q_value,M2025,REF,47,34,32,584.385214534230,54,10.821948417301,543.515182362913,53,10.255003440810,-0.566944976491,approach,computed
