Subject,Metric,ReferenceSubject,ReferenceOccasion,N_reference_valid_frames,N_Z1_valid_frames,N_Z2_valid_frames,Z1_cumulative_cost,Z1_path_length,Z1_DTWnorm,Z2_cumulative_cost,Z2_path_length,Z2_DTWnorm,Delta_Z2_minus_Z1,Direction,Status
E01,SFR,M2025,REF,61,39,58,206.491424233591,73,2.828649647035,191.845605877009,69,2.780371099667,-0.048278547369,approach,computed
E02,SFR,M2025,REF,61,44,43,191.191515296984,80,2.389893941212,299.233136742936,79,3.787761224594,1.397867283382,divergence,computed
E03,SFR,M2025,REF,61,44,47,494.179066033872,97,5.094629546741,218.724630370038,81,2.700304078642,-2.394325468098,approach,computed
E04,SFR,M2025,REF,61,56,55,293.449642551150,99,2.964137803547,248.709520897166,86,2.891971173223,-0.072166630324,approach,computed
E05,SFR,M2025,REF,61,47,39,211.113864081498,82,2.574559318067,224.589020179255,68,3.302779708518,0.728220390451,divergence,computed
E06,SFR,M2025,REF,61,47,53,471.385527101820,99,4.761469970725,249.652831877862,86,2.902939905557,-1.858530065169,approach,computed
E07,SFR,M2025,REF,61,37,43,319.862761016241,82,3.900765378247,189.304814053935,71,2.666264986675,-1.234500391572,approach,computed
V01,SFR,M2025,REF,61,46,43,244.753544507643,90,2.719483827863,244.971840977178,82,2.987461475331,0.267977647469,divergence,computed
V02,SFR,M2025,REF,61,67,52,277.991700971296,106,2.622563216710,259.854318240789,76,3.419135766326,0.796572549616,divergence,computed
V03,SFR,M2025,REF,61,61,50,214.615885640355,86,2.495533553958,226.141694648096,73,3.097831433536,0.602297879578,divergence,computed
V04,SFR,M2025,REF,61,50,76,438.705298515638,90,4.874503316840,371.080125377603,111,3.343064192591,-1.531439124249,approach,computed
V05,SFR,M2025,REF,61,47,47,510.935283965769,86,5.941107953090,308.394723822704,77,4.005126283412,-1.935981669679,approach,computed
V06,SFR,M2025,REF,61,76,49,226.333849979773,97,2.333338659585,187.988617509265,74,2.540386723098,0.207048063513,divergence,computed
V07,SFR,M2025,REF,61,53,53,427.379467355678,94,4.546590078252,255.212722413366,80,3.190159030167,-1.356431048085,approach,computed
V08,SFR,M2025,REF,61,46,48,635.205916818578,87,7.301217434696,259.344859996079,84,3.087438809477,-4.213778625219,approach,computed
V09,SFR,M2025,REF,61,62,68,244.521447993408,104,2.351167769167,206.923650323644,82,2.523459150288,0.172291381121,divergence,computed
V10,SFR,M2025,REF,61,45,46,396.123179281719,81,4.890409620762,337.553546447974,79,4.272829701873,-0.617579918889,approach,computed
V11,SFR,M2025,REF,61,52,52,311.060120051804,83,3.747712289781,271.152052413537,75,3.615360698847,-0.132351590934,approach,computed
V12,SFR,M2025,REF,61,45,39,224.863767878522,71,3.167095322233,236.522815013218,73,3.240038561825,0.072943239592,divergence,computed
V13,SFR,M2025,REF,61,42,44,249.052402723085,76,3.277005298988,221.932555312678,80,2.774156941408,-0.502848357579,approach,computed
